County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
Aleutians East Borough County,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050
Aleutians West Census Area County,37200,42500,47800,53100,57350,61600,65850,70100,22300,25500,28790,34690,40590,46490,52390,58290,59500,68000,76500,84950,91750,98550,105350,112150
Anchorage Borough County,40750,46550,52350,58150,62850,67500,72150,76800,24450,27950,31450,34900,40590,46490,52390,58290,62600,71550,80500,89400,96600,103750,110900,118050
Bethel Census Area County,34650,39600,44550,49500,53500,57450,61400,65350,20800,23800,28790,34690,40590,46490,52390,58290,55450,63400,71300,79200,85550,91900,98250,104550
Bristol Bay Borough County,38250,43700,49150,54600,59000,63350,67750,72100,22950,26200,29500,34690,40590,46490,52390,58290,61150,69900,78650,87350,94350,101350,108350,115350
Denali Borough County,41200,47050,52950,58800,63550,68250,72950,77650,24750,28250,31800,35300,40590,46490,52390,58290,62600,71550,80500,89400,96600,103750,110900,118050
Dillingham Census Area County,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050
Fairbanks North Star Borough County,34250,39150,44050,48900,52850,56750,60650,64550,20550,23500,28790,34690,40590,46490,52390,58290,54800,62600,70450,78250,84550,90800,97050,103300
Haines Borough County,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050
Hoonah-Angoon Census Area County,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050
Juneau Borough County,42350,48400,54450,60450,65300,70150,75000,79800,25400,29000,32650,36250,40590,46490,52390,58290,62600,71550,80500,89400,96600,103750,110900,118050
Kenai Peninsula Borough County,34450,39400,44300,49200,53150,57100,61050,64950,20650,23600,28790,34690,40590,46490,52390,58290,55100,63000,70850,78700,85000,91300,97600,103900
Ketchikan Gateway Borough County,34950,39950,44950,49900,53900,57900,61900,65900,21000,24000,28790,34690,40590,46490,52390,58290,55900,63850,71850,79800,86200,92600,99000,105350
Kodiak Island Borough County,37950,43400,48800,54200,58550,62900,67250,71550,22750,26000,29250,34690,40590,46490,52390,58290,60700,69400,78050,86700,93650,100600,107550,114450
Kusilvak Census Area County,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050
Lake and Peninsula Borough County,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050
Matanuska-Susitna Borough County,33200,37950,42700,47400,51200,55000,58800,62600,19950,22890,28790,34690,40590,46490,52390,58290,53100,60700,68300,75850,81950,88000,94100,100150
Nome Census Area County,32300,36900,41500,46100,49800,53500,57200,60900,19400,22890,28790,34690,40590,46490,52390,58290,51650,59000,66400,73750,79650,85550,91450,97350
North Slope Borough County,32900,37600,42300,46950,50750,54500,58250,62000,19750,22890,28790,34690,40590,46490,52390,58290,52600,60100,67600,75100,81150,87150,93150,99150
Northwest Arctic Borough County,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050
Petersburg Census Area County,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050
Prince of Wales-Hyder Census Area County,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050
Sitka Borough County,35800,40900,46000,51100,55200,59300,63400,67500,21500,24550,28790,34690,40590,46490,52390,58290,57250,65400,73600,81750,88300,94850,101400,107950
Skagway Municipality County,32400,37000,41650,46250,49950,53650,57350,61050,19450,22890,28790,34690,40590,46490,52390,58290,51800,59200,66600,74000,79950,85850,91800,97700
Southeast Fairbanks Census Area County,33100,37800,42550,47250,51050,54850,58600,62400,19850,22890,28790,34690,40590,46490,52390,58290,52950,60500,68050,75600,81650,87700,93750,99800
Valdez-Cordova Census Area County,38600,44100,49600,55100,59550,63950,68350,72750,23150,26450,29750,34690,40590,46490,52390,58290,61750,70550,79350,88150,95250,102300,109350,116400
Wrangell City and Borough County,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050
Yakutat Borough County,32300,36900,41500,46100,49800,53500,57200,60900,19400,22890,28790,34690,40590,46490,52390,58290,51650,59000,66400,73750,79650,85550,91450,97350
Yukon-Koyukuk Census Area County,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050
Copper River Census Area County,32900,37600,42300,46950,50750,54500,58250,62000,19750,22890,28790,34690,40590,46490,52390,58290,52600,60100,67600,75100,81150,87150,93150,99150
Chugach Census Area County,32900,37600,42300,46950,50750,54500,58250,62000,19750,22890,28790,34690,40590,46490,52390,58290,52600,60100,67600,75100,81150,87150,93150,99150
