sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Aleutians East Borough County,2013,-1,-1,1,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,3,VO,-1,Aleutians East Borough County,2013,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Aleutians East Borough County,2013,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,1,All HUD,-1,Aleutians West Census Area County,2016,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,3,VO,-1,Aleutians West Census Area County,2016,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Aleutians West Census Area County,2016,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,1,All HUD,-1,Anchorage Municipality County,2020,-1,-1,3263,-1,6,26,2.3,7436,391,620,15.7,6.9,13,9,39,14,24,28,11,59,24,97,76,12,36,74,42,35,42,17,8,54,17,21,2,53,19,16,12,7,18,46,59,37,36,35,29,13,44,13,22,-1,-1,-1,-1,-1,AK,-1,-1,47,53,47,0,0
9,3,VO,-1,Anchorage Municipality County,2020,-1,-1,1934,-1,6,27,2.3,4507,407,633,15.5,6.7,15,8,39,13,25,28,12,60,23,97,77,12,38,75,45,38,66,19,6,61,19,14,1,52,22,16,7,6,19,41,60,49,32,38,31,17,41,12,24,-1,-1,-1,-1,-1,AK,-1,-1,48,52,48,0,0
9,4,MR,-1,Anchorage Municipality County,2020,-1,-1,65,-1,6,28,1.0,67,178,351,7.8,7.5,52,8,37,2,2,11,14,63,12,100,98,0,2,29,0,33,50,33,5,48,42,6,2,34,14,18,2,0,8,32,3,1,97,3,0,2,41,12,24,-1,-1,-1,-1,-1,AK,-1,-1,66,34,66,0,0
9,1,All HUD,-1,Bethel Census Area County,2050,-1,-1,126,-1,5,25,3.7,468,573,716,24.1,6.5,12,9,17,11,51,48,9,43,33,67,41,37,37,78,60,9,29,4,6,67,10,17,2,98,0,98,0,0,6,88,87,0,13,0,87,19,-1,-1,-1,-1,-1,-1,-1,-1,AK,-1,-1,2,98,2,0,0
9,3,VO,-1,Bethel Census Area County,2050,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Bethel Census Area County,2050,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,1,All HUD,-1,Bristol Bay Borough County,2060,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,3,VO,-1,Bristol Bay Borough County,2060,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Bristol Bay Borough County,2060,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,1,All HUD,-1,Denali Borough County,2068,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,3,VO,-1,Denali Borough County,2068,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Denali Borough County,2068,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,1,All HUD,-1,Dillingham Census Area County,2070,-1,-1,7,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,3,VO,-1,Dillingham Census Area County,2070,-1,-1,2,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Dillingham Census Area County,2070,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
9,1,All HUD,-1,Fairbanks North Star Borough County,2090,-1,-1,891,-1,5,24,2.1,1870,388,572,16.0,7.6,10,9,44,13,25,30,8,61,25,84,61,12,35,74,41,37,28,18,13,52,14,21,2,40,10,21,5,4,9,40,57,43,48,30,22,5,35,13,30,-1,-1,-1,-1,-1,AK,-1,-1,60,40,60,0,0
9,3,VO,-1,Fairbanks North Star Borough County,2090,-1,-1,329,-1,5,34,2.1,691,421,483,16.0,7.6,9,9,41,16,26,30,10,59,24,83,58,14,38,78,46,41,30,20,10,56,16,17,2,40,14,18,4,3,11,30,68,62,45,35,20,7,35,13,31,-1,-1,-1,-1,-1,AK,-1,-1,60,40,60,0,0
9,4,MR,-1,Fairbanks North Star Borough County,2090,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,-4,-4,-4,0,0
