sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Aleutians East Borough County,2013,-1,-1,1,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,aleutians east borough ak,-4,-4,-4,0,0
9,1,All HUD,-1,Aleutians West Census Area County,2016,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,aleutians west census area ak,-4,-4,-4,0,0
9,1,All HUD,-1,Anchorage Municipality County,2020,-1,-1,3628,-1,6,30,2.3,8298,395,614,16.0,7.0,13,10,35,17,26,28,10,61,24,97,74,13,36,74,43,35,40,16,9,53,17,20,2,53,19,16,11,7,14,42,59,39,36,36,28,12,44,13,22,-1,-1,-1,-1,-1,AK,-1,-1,anchorage municipality ak,47,53,47,0,0
9,1,All HUD,-1,Bethel Census Area County,2050,-1,-1,115,-1,5,25,3.6,417,531,734,22.2,6.2,11,11,19,18,40,43,11,46,35,72,57,30,45,75,58,8,13,3,5,70,11,14,3,98,0,98,0,0,2,80,85,0,15,0,85,17,-1,-1,-1,-1,-1,-1,-1,-1,AK,-1,-1,bethel census area ak,2,98,2,0,0
9,1,All HUD,-1,Bristol Bay Borough County,2060,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,bristol bay borough ak,-4,-4,-4,0,0
9,1,All HUD,-1,Denali Borough County,2068,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,denali borough ak,-4,-4,-4,0,0
9,1,All HUD,-1,Dillingham Census Area County,2070,-1,-1,6,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,dillingham census area ak,-4,-4,-4,0,0
9,1,All HUD,-1,Fairbanks North Star Borough County,2090,-1,-1,923,-1,5,27,2.1,1981,395,580,16.4,7.6,11,9,37,18,25,30,6,63,28,93,63,12,36,76,42,36,30,17,12,53,16,19,2,41,11,22,4,4,6,41,58,40,47,32,21,5,36,13,30,-1,-1,-1,-1,-1,AK,-1,-1,fairbanks north star borough ak,59,41,59,0,0
9,1,All HUD,-1,Haines Borough County,2100,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AK,-1,-1,haines borough ak,-4,-4,-4,0,0
9,1,All HUD,-1,Juneau city and Borough County,2110,-1,-1,760,-1,5,24,2.1,1605,408,666,16.9,8.0,13,7,36,15,28,32,6,60,23,97,74,15,30,68,36,35,24,16,11,52,17,20,2,51,2,41,5,3,15,42,70,64,40,34,26,11,28,7,34,-1,-1,-1,-1,-1,AK,-1,-1,juneau city and borough ak,49,51,49,0,0
