gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,AK Alaska,AK Aleutians East Borough 02013,9,Summary of All HUD Programs,1,A,Aleutians East Borough County,2013,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AK,-1,A,aleutians east borough ak,-1,-1,-1,0,0
County,AK Alaska,AK Aleutians West Census Area 02016,9,Summary of All HUD Programs,1,A,Aleutians West Census Area County,2016,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AK,-1,A,aleutians west census area ak,-1,-1,-1,0,0
County,AK Alaska,AK Anchorage Municipality 02020,9,Summary of All HUD Programs,1,A,Anchorage Municipality County,2020,4044.0,99,3708,98,7.03813736377189,11,2.33603487712601,8741.36081152897,419.856425027372,620.608091795373,16789.6898058174,7172.613570269,10,11,27,23,28,22,8,69,27,96,68,11,38,71,40,35,41,16,4,55,20,21,2,60,21,18,16,7,-1.0,51.2145870224904,59,83.4057215051645,37,38,26,12,13,44,22,A,A,A,-1,-1,AK,-1,A,anchorage municipality ak,40,60,40,0,0
County,AK Alaska,AK Bethel Census Area 02050,9,Summary of All HUD Programs,1,A,Bethel Census Area County,2050,141.0,94,127,91,6.25813959026599,15,3.61259488201655,492.036624125959,566.576324040106,913.290694480897,25280.0696979608,6981.07088743403,10,9,15,17,50,39,5,55,31,84,64,23,51,79,62,11,40,5,3,69,15,13,2,97,0,97,0,0,-1.0,81.3167377926522,83,418.254545454546,17,0,83,16,13,77,42,A,A,A,-1,-1,AK,-1,A,bethel census area ak,3,97,3,0,0
County,AK Alaska,AK Bristol Bay Borough 02060,9,Summary of All HUD Programs,1,A,Bristol Bay Borough County,2060,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AK,-1,A,bristol bay borough ak,-1,-1,-1,0,0
County,AK Alaska,AK Denali Borough 02068,9,Summary of All HUD Programs,1,A,Denali Borough County,2068,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AK,-1,A,denali borough ak,-1,-1,-1,0,0
County,AK Alaska,AK Dillingham Census Area 02070,9,Summary of All HUD Programs,1,A,Dillingham Census Area County,2070,6.0,60,5,100,5.47333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,10035.5,-4,-4,-4,-4,-4,-4,-4,-4,27,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,-1.0,28.8666666666667,-4,-4.0,-4,-4,-4,-4,32,93,73,A,A,A,-1,-1,AK,-1,A,dillingham census area ak,0,100,0,0,0
County,AK Alaska,AK Fairbanks North Star Borough 02090,9,Summary of All HUD Programs,1,A,Fairbanks North Star Borough County,2090,1000.0,97,968,98,6.81492394829876,18,2.10147159967411,2062.04875262823,420.984877166323,662.497940038305,17351.0740661387,8215.99529009013,8,9,32,22,29,26,4,69,29,94,62,8,38,75,40,38,49,21,8,53,19,20,2,42,11,23,4,5,-1.0,46.8898474710354,58,124.535388841742,47,31,22,7,13,35,30,A,A,A,-1,-1,AK,-1,A,fairbanks north star borough ak,58,42,58,0,0
County,AK Alaska,AK Haines Borough 02100,9,Summary of All HUD Programs,1,A,Haines Borough County,2100,0.0,-1,0,-1,-1.0,-4,-4.0,-4.0,-4.0,-4.0,-4.0,-1.0,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-1.0,-1.0,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,AK,-1,A,haines borough ak,-1,-1,-1,0,0
County,AK Alaska,AK Juneau City and Borough 02110,9,Summary of All HUD Programs,1,A,Juneau city and Borough County,2110,800.0,97,755,99,6.51325892773005,10,2.06389845550088,1552.42663327344,395.285639260307,702.050937161245,16420.5909757028,7938.29653267994,13,11,30,20,26,22,8,69,20,98,79,11,30,66,33,36,38,19,10,50,18,23,1,54,2,42,7,4,-1.0,54.3769910387931,68,104.612080302413,43,34,23,13,7,29,35,A,A,A,-1,-1,AK,-1,A,juneau city and borough ak,46,54,46,0,0
