Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2016-12-31 00:00:00,County,AK Alaska,"AK Anchorage Municipality, Alaska 02020",9,Summary of All HUD Programs,1,,Anchorage Municipality County,02020,4018,105,4118,98,9,21,2.3,9400,509,678,20220,8858,8,7,16,32,37,26,6,66,27,94,69,10,33,67,34,34,47,18,4,46,23,27,2,65,23,17,16,34,1,6,2,9,8,-1,66,57,93,40,37,23,14,15,52,29,,,,,,AK,,,anchorage municipality ak,66,34,0,0
2016-12-31 00:00:00,County,AK Alaska,"AK Anchorage Municipality, Alaska 02020",9,Public Housing,2,,Anchorage Municipality County,02020,490,94,459,100,11,12,2.5,1153,514,805,24577,9784,6,6,11,30,47,33,6,61,32,86,59,14,42,73,45,21,48,14,3,49,16,32,3,69,18,24,19,31,1,6,2,8,9,-1,85,24,90,34,41,25,5,17,57,28,,,,,,AK,,,anchorage municipality ak,69,31,0,0
2016-12-31 00:00:00,County,AK Alaska,"AK Anchorage Municipality, Alaska 02020",9,Housing Choice Vouchers,3,,Anchorage Municipality County,02020,2756,109,2909,97,9,23,2.3,6824,524,675,19907,8486,8,8,18,29,36,26,6,66,26,95,70,10,34,68,36,37,62,20,4,49,26,21,1,67,27,18,13,33,1,6,1,9,8,-1,64,67,96,35,41,24,18,15,52,29,,,,,,AK,,,anchorage municipality ak,67,33,0,0
2016-12-31 00:00:00,County,AK Alaska,"AK Anchorage Municipality, Alaska 02020",9,Mod Rehab,4,,Anchorage Municipality County,02020,70,99,71,100,5,31,1.0,71,195,721,7862,7862,51,7,16,22,3,10,-1,86,12,100,96,-1,-1,35,-1,20,60,28,1,25,52,21,-1,41,10,21,6,59,-1,3,1,4,1,-1,54,-1,-1,100,-1,-1,-1,17,37,9,,,,,,AK,,,anchorage municipality ak,41,59,0,0
2016-12-31 00:00:00,County,AK Alaska,"AK Anchorage Municipality, Alaska 02020",9,Project Based Section 8,5,,Anchorage Municipality County,02020,464,95,449,100,5,22,2.4,1100,499,728,20920,8539,3,8,13,35,42,33,10,57,27,95,68,17,37,61,32,18,38,11,10,44,11,36,2,67,14,14,25,28,1,3,10,14,8,-1,67,66,75,34,30,36,9,13,48,28,,,,,,AK,,,anchorage municipality ak,67,28,5,0
2016-12-31 00:00:00,County,AK Alaska,"AK Anchorage Municipality, Alaska 02020",9,202/PRAC,8,,Anchorage Municipality County,02020,179,98,176,100,6,16,1.1,192,425,331,18362,16832,-1,7,8,61,24,3,1,96,28,99,74,-1,-1,70,-1,-1,1,1,-1,-1,-1,100,13,46,4,4,37,53,-1,1,1,1,1,-1,65,1,18,100,-1,-1,-1,10,42,46,,,,,,AK,,,anchorage municipality ak,47,53,0,0
2016-12-31 00:00:00,County,AK Alaska,"AK Anchorage Municipality, Alaska 02020",9,811/PRAC,9,,Anchorage Municipality County,02020,60,91,54,100,6,19,1.1,60,402,428,16529,14876,-1,2,28,52,19,9,2,89,25,100,81,2,2,37,4,100,100,90,2,57,35,6,-1,39,17,20,-1,61,-1,2,-1,2,2,-1,52,-1,-1,98,2,-1,-1,17,53,29,,,,,,AK,,,anchorage municipality ak,39,61,0,0
2016-12-31 00:00:00,County,AK Alaska,"AK Bethel Census Area, Alaska 02050",9,Summary of All HUD Programs,1,,Bethel Census Area County,02050,140,96,132,98,8,24,4.0,528,694,842,30948,7737,6,6,11,21,55,48,2,50,41,64,43,36,41,73,58,6,24,4,3,65,16,16,-1,98,-1,95,2,2,-1,1,1,2,2,-1,93,35,89,13,-1,87,17,12,78,66,,,,,,AK,,,bethel census area ak,98,2,0,0
2016-12-31 00:00:00,County,AK Alaska,"AK Bethel Census Area, Alaska 02050",9,Public Housing,2,,Bethel Census Area County,02050,117,98,115,100,8,23,4.4,511,725,805,32589,7334,7,7,12,13,61,53,3,44,42,60,43,41,47,77,66,4,57,3,3,73,18,6,-1,97,-1,94,2,3,-1,1,1,2,3,-1,100,40,89,-1,-1,100,19,11,77,66,,,,,,AK,,,bethel census area ak,97,3,0,0
2016-12-31 00:00:00,County,AK Alaska,"AK Bethel Census Area, Alaska 02050",9,Project Based Section 8,5,,Bethel Census Area County,02050,23,86,17,86,5,35,1.0,17,484,1057,19847,19847,-1,-1,6,76,18,12,-1,88,36,88,47,-1,-1,53,-1,100,7,24,6,12,-1,82,-1,100,-1,100,-1,-1,-1,-1,-1,0,0,-1,45,-1,-1,100,-1,-1,-1,14,80,69,,,,,,AK,,,bethel census area ak,100,0,0,0
2016-12-31 00:00:00,County,AK Alaska,"AK Dillingham Census Area, Alaska 02070",9,Summary of All HUD Programs,1,,Dillingham Census Area County,02070,10,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AK,,,dillingham census area ak,-4,-4,0,0
2016-12-31 00:00:00,County,AK Alaska,"AK Dillingham Census Area, Alaska 02070",9,202/PRAC,8,,Dillingham Census Area County,02070,10,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AK,,,dillingham census area ak,-4,-4,0,0
2016-12-31 00:00:00,County,AK Alaska,"AK Fairbanks North Star Borough, Alaska 02090",9,Summary of All HUD Programs,1,,Fairbanks North Star Borough County,02090,1009,102,1021,99,7,18,2.0,2030,469,730,18840,9476,8,7,17,34,33,25,4,70,28,93,62,9,28,68,31,39,55,24,6,46,24,24,1,44,11,23,4,55,0,4,2,6,5,-1,62,49,114,54,27,19,10,14,38,36,,,,,,AK,,,fairbanks north star borough ak,45,55,0,0
2016-12-31 00:00:00,County,AK Alaska,"AK Fairbanks North Star Borough, Alaska 02090",9,Public Housing,2,,Fairbanks North Star Borough County,02090,165,99,165,100,11,19,3.0,497,505,805,23630,7845,3,5,18,31,44,34,5,61,33,86,56,18,37,72,42,37,43,15,3,56,27,14,1,50,15,27,4,50,-1,2,2,5,7,-1,80,23,125,36,2,61,16,19,43,29,,,,,,AK,,,fairbanks north star borough ak,50,50,0,0
2016-12-31 00:00:00,County,AK Alaska,"AK Fairbanks North Star Borough, Alaska 02090",9,Housing Choice Vouchers,3,,Fairbanks North Star Borough County,02090,410,109,433,97,8,17,1.9,803,489,675,17231,9291,13,7,18,33,29,23,3,71,26,94,68,7,23,66,25,44,67,29,3,45,32,19,0,47,15,22,3,53,1,5,1,7,8,-1,54,65,127,58,29,14,14,14,37,38,,,,,,AK,,,fairbanks north star borough ak,47,53,0,0
