State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
AK,Aleutians East Borough County,32900,37600,42300,47000,50800,54550,58300,62050,19750,24640,31070,37500,43930,50360,56790,62050,52650,60200,67700,75200,81250,87250,93250,99300
AK,Aleutians West Census Area County,39350,45000,50600,56200,60700,65200,69700,74200,23600,27000,31070,37500,43930,50360,56790,63220,62950,71950,80950,89900,97100,104300,111500,118700
AK,Anchorage Borough County,42850,48950,55050,61150,66050,70950,75850,80750,25700,29400,33050,37500,43930,50360,56790,63220,66300,75750,85200,94650,102250,109800,117400,124950
AK,Bethel Census Area County,36700,41950,47200,52400,56600,60800,65000,69200,22050,25200,31070,37500,43930,50360,56790,63220,58700,67100,75500,83850,90600,97300,104000,110700
AK,Bristol Bay Borough County,36350,41550,46750,51900,56100,60250,64400,68550,21850,24950,31070,37500,43930,50360,56790,63220,58150,66450,74750,83050,89700,96350,103000,109650
AK,Chugach Census Area County,39150,44750,50350,55900,60400,64850,69350,73800,23500,26850,31070,37500,43930,50360,56790,63220,62650,71600,80550,89450,96650,103800,110950,118100
AK,Copper River Census Area County,36650,41900,47150,52350,56550,60750,64950,69150,22000,25150,31070,37500,43930,50360,56790,63220,58650,67000,75400,83750,90450,97150,103850,110550
AK,Denali Borough County,43600,49800,56050,62250,67250,72250,77200,82200,26150,29900,33650,37500,43930,50360,56790,63220,66300,75750,85200,94650,102250,109800,117400,124950
AK,Dillingham Census Area County,32900,37600,42300,47000,50800,54550,58300,62050,19750,24640,31070,37500,43930,50360,56790,62050,52650,60200,67700,75200,81250,87250,93250,99300
AK,Fairbanks North Star Borough County,34550,39450,44400,49300,53250,57200,61150,65100,20750,24640,31070,37500,43930,50360,56790,63220,55250,63150,71050,78900,85250,91550,97850,104150
AK,Haines Borough County,34100,38950,43800,48650,52550,56450,60350,64250,20450,24640,31070,37500,43930,50360,56790,63220,54500,62300,70100,77850,84100,90350,96550,102800
AK,Hoonah-Angoon Census Area County,32900,37600,42300,47000,50800,54550,58300,62050,19750,24640,31070,37500,43930,50360,56790,62050,52650,60200,67700,75200,81250,87250,93250,99300
AK,Juneau Borough County,42800,48900,55000,61100,66000,70900,75800,80700,25700,29350,33000,37500,43930,50360,56790,63220,66300,75750,85200,94650,102250,109800,117400,124950
AK,Kenai Peninsula Borough County,36500,41700,46900,52100,56300,60450,64650,68800,21900,25000,31070,37500,43930,50360,56790,63220,58350,66700,75050,83350,90050,96700,103400,110050
AK,Ketchikan Gateway Borough County,37000,42300,47600,52850,57100,61350,65550,69800,22200,25400,31070,37500,43930,50360,56790,63220,59150,67600,76050,84500,91300,98050,104800,111550
AK,Kodiak Island Borough County,38300,43800,49250,54700,59100,63500,67850,72250,23000,26250,31070,37500,43930,50360,56790,63220,61250,70000,78750,87500,94500,101500,108500,115500
AK,Kusilvak Census Area County,32900,37600,42300,47000,50800,54550,58300,62050,19750,24640,31070,37500,43930,50360,56790,62050,52650,60200,67700,75200,81250,87250,93250,99300
AK,Lake and Peninsula Borough County,32900,37600,42300,47000,50800,54550,58300,62050,19750,24640,31070,37500,43930,50360,56790,62050,52650,60200,67700,75200,81250,87250,93250,99300
AK,Matanuska-Susitna Borough County,35150,40200,45200,50200,54250,58250,62250,66300,21100,24640,31070,37500,43930,50360,56790,63220,56250,64250,72300,80300,86750,93150,99600,106000
AK,Nome Census Area County,32900,37600,42300,47000,50800,54550,58300,62050,19750,24640,31070,37500,43930,50360,56790,62050,52650,60200,67700,75200,81250,87250,93250,99300
AK,North Slope Borough County,34800,39800,44750,49700,53700,57700,61650,65650,20900,24640,31070,37500,43930,50360,56790,63220,55650,63600,71550,79500,85900,92250,98600,104950
AK,Northwest Arctic Borough County,34100,38950,43800,48650,52550,56450,60350,64250,20450,24640,31070,37500,43930,50360,56790,63220,54500,62300,70100,77850,84100,90350,96550,102800
AK,Petersburg Census Area County,33300,38050,42800,47550,51400,55200,59000,62800,20000,24640,31070,37500,43930,50360,56790,62800,53300,60900,68500,76100,82200,88300,94400,100500
AK,Prince of Wales-Hyder Census Area County,32900,37600,42300,47000,50800,54550,58300,62050,19750,24640,31070,37500,43930,50360,56790,62050,52650,60200,67700,75200,81250,87250,93250,99300
AK,Sitka Borough County,37900,43300,48700,54100,58450,62800,67100,71450,22750,26000,31070,37500,43930,50360,56790,63220,60600,69250,77900,86550,93500,100400,107350,114250
AK,Skagway Municipality County,34300,39200,44100,48950,52900,56800,60700,64650,20550,24640,31070,37500,43930,50360,56790,63220,54850,62650,70500,78300,84600,90850,97100,103400
AK,Southeast Fairbanks Census Area County,32900,37600,42300,47000,50800,54550,58300,62050,19750,24640,31070,37500,43930,50360,56790,62050,52650,60200,67700,75200,81250,87250,93250,99300
AK,Wrangell City and Borough County,32900,37600,42300,47000,50800,54550,58300,62050,19750,24640,31070,37500,43930,50360,56790,62050,52650,60200,67700,75200,81250,87250,93250,99300
AK,Yakutat Borough County,32900,37600,42300,47000,50800,54550,58300,62050,19750,24640,31070,37500,43930,50360,56790,62050,52650,60200,67700,75200,81250,87250,93250,99300
AK,Yukon-Koyukuk Census Area County,32900,37600,42300,47000,50800,54550,58300,62050,19750,24640,31070,37500,43930,50360,56790,62050,52650,60200,67700,75200,81250,87250,93250,99300
