State code,PUMA,County code,State abbr.,County_Name,allocation factor
1,100,1033,AL,Colbert AL,0.3129
1,100,1059,AL,Franklin AL,0.1756
1,100,1077,AL,Lauderdale AL,0.5115
1,200,1083,AL,Limestone AL,1.0
1,500,1103,AL,Morgan AL,1.0
1,600,1079,AL,Lawrence AL,0.2115
1,600,1103,AL,Morgan AL,0.7885
1,200,1089,AL,Madison AL,1.0
1,301,1089,AL,Madison AL,1.0
1,302,1089,AL,Madison AL,1.0
1,400,1089,AL,Madison AL,1.0
1,500,1089,AL,Madison AL,1.0
1,200,1089,AL,Madison AL,1.0
1,301,1089,AL,Madison AL,1.0
1,200,1089,AL,Madison AL,1.0
1,302,1089,AL,Madison AL,1.0
1,500,1089,AL,Madison AL,1.0
1,302,1089,AL,Madison AL,1.0
1,500,1089,AL,Madison AL,0.1219
1,500,1095,AL,Marshall AL,0.8781
1,400,1049,AL,DeKalb AL,0.5764
1,400,1071,AL,Jackson AL,0.4236
1,500,1071,AL,Jackson AL,1.0
1,900,1049,AL,DeKalb AL,1.0
1,1000,1049,AL,DeKalb AL,1.0
1,900,1055,AL,Etowah AL,1.0
1,1000,1019,AL,Cherokee AL,1.0
1,1100,1055,AL,Etowah AL,1.0
1,900,1015,AL,Calhoun AL,1.0
1,1000,1015,AL,Calhoun AL,1.0
1,1100,1015,AL,Calhoun AL,1.0
1,800,1009,AL,Blount AL,0.3932
1,800,1115,AL,St. Clair AL,0.6068
1,1304,1009,AL,Blount AL,1.0
1,100,1093,AL,Marion AL,1.0
1,500,1043,AL,Cullman AL,1.0
1,700,1043,AL,Cullman AL,0.7905
1,700,1133,AL,Winston AL,0.2095
1,1400,1093,AL,Marion AL,0.9887
1,1400,1133,AL,Winston AL,0.0113
1,1400,1057,AL,Fayette AL,0.5388
1,1400,1075,AL,Lamar AL,0.4612
1,1500,1007,AL,Bibb AL,0.0016
1,1500,1065,AL,Hale AL,0.0028
1,1500,1107,AL,Pickens AL,0.9956
1,1700,1007,AL,Bibb AL,0.2914
1,1700,1063,AL,Greene AL,0.1012
1,1700,1065,AL,Hale AL,0.1928
1,1700,1091,AL,Marengo AL,0.2529
1,1700,1119,AL,Sumter AL,0.1616
1,1500,1125,AL,Tuscaloosa AL,1.0
