fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
643,764,914,1156,1494,1,Autauga County,55035,AL,1
772,777,1017,1348,1715,1,Baldwin County,203360,AL,1
532,536,705,871,980,1,Barbour County,26200,AL,0
765,820,943,1220,1316,1,Bibb County,22580,AL,1
765,820,943,1220,1316,1,Blount County,57665,AL,1
589,602,783,968,1158,1,Bullock County,10480,AL,0
530,619,705,871,1043,1,Butler County,20125,AL,0
562,565,744,988,1111,1,Calhoun County,115525,AL,1
655,659,861,1074,1168,1,Chambers County,33895,AL,0
530,536,705,982,1006,1,Cherokee County,25855,AL,0
583,619,705,978,982,1,Chilton County,43805,AL,1
530,536,705,871,1182,1,Choctaw County,13190,AL,0
530,550,705,1001,1207,1,Clarke County,24625,AL,0
495,609,705,961,1120,1,Clay County,13405,AL,0
530,564,705,974,1043,1,Cleburne County,14940,AL,0
546,586,727,1033,1154,1,Coffee County,51075,AL,0
525,575,751,935,1173,1,Colbert County,54435,AL,1
530,619,705,982,1043,1,Conecuh County,12650,AL,0
550,563,732,905,1083,1,Coosa County,10955,AL,0
530,536,705,929,1145,1,Covington County,37520,AL,0
530,536,705,871,1043,1,Crenshaw County,13865,AL,0
559,607,747,1009,1013,1,Cullman County,81705,AL,0
595,599,705,1001,1207,1,Dale County,49395,AL,0
529,561,738,912,1001,1,Dallas County,40755,AL,0
468,555,705,953,1054,1,DeKalb County,71195,AL,0
643,764,914,1156,1494,1,Elmore County,80990,AL,1
530,573,705,883,1160,1,Escambia County,37620,AL,0
547,580,710,894,970,1,Etowah County,103130,AL,1
530,609,705,871,1043,1,Fayette County,16655,AL,0
530,588,705,871,1171,1,Franklin County,31505,AL,0
561,565,705,929,1043,1,Geneva County,26570,AL,1
562,565,705,871,956,1,Greene County,8535,AL,1
758,762,927,1162,1257,1,Hale County,14995,AL,1
540,543,705,931,1112,1,Henry County,17110,AL,1
561,565,705,929,1043,1,Houston County,104110,AL,1
530,595,705,871,1043,1,Jackson County,52325,AL,0
765,820,943,1220,1316,1,Jefferson County,659460,AL,1
530,589,705,915,956,1,Lamar County,14020,AL,0
525,575,751,935,1173,1,Lauderdale County,92590,AL,1
554,592,720,946,1009,1,Lawrence County,33290,AL,1
672,706,924,1222,1383,1,Lee County,156595,AL,1
647,757,897,1189,1428,1,Limestone County,91695,AL,1
643,764,914,1156,1494,1,Lowndes County,10360,AL,1
546,552,726,915,1243,1,Macon County,19360,AL,0
647,757,897,1189,1428,1,Madison County,353215,AL,1
530,619,705,906,1043,1,Marengo County,19745,AL,0
530,536,705,932,1206,1,Marion County,30060,AL,0
550,553,715,957,970,1,Marshall County,94740,AL,0
662,690,861,1148,1244,1,Mobile County,414330,AL,1
530,619,705,922,1040,1,Monroe County,21745,AL,0
643,764,914,1156,1494,1,Montgomery County,227120,AL,1
554,592,720,946,1009,1,Morgan County,119155,AL,1
540,630,718,888,1062,1,Perry County,9680,AL,0
535,538,705,952,956,1,Pickens County,20170,AL,1
634,666,843,1051,1247,1,Pike County,33285,AL,0
530,619,705,953,956,1,Randolph County,22530,AL,0
654,724,827,1122,1415,1,Russell County,58480,AL,1
765,820,943,1220,1316,1,St. Clair County,86935,AL,1
765,820,943,1220,1316,1,Shelby County,208720,AL,1
637,652,848,1048,1150,1,Sumter County,13085,AL,0
553,557,733,966,1081,1,Talladega County,80890,AL,0
527,545,717,981,1181,1,Tallapoosa County,40755,AL,0
758,762,927,1162,1257,1,Tuscaloosa County,204425,AL,1
530,536,705,900,956,1,Walker County,64925,AL,0
543,566,705,901,956,1,Washington County,16745,AL,1
573,587,763,943,1035,1,Wilcox County,10920,AL,0
530,536,705,980,984,1,Winston County,23970,AL,0
