Name,Subsidized units available,% Minority,%White Non-Hispanic
Walker County,659,0,0
Marengo County,22,0,0
Lawrence County,7,0,0
Coosa County,4,0,0
Clay County,11,0,0
Clarke County,3,0,0
Winston County,49,4,96
Cullman County,194,4,96
Cherokee County,29,5,95
DeKalb County,235,8,92
Marshall County,817,9,91
Franklin County,107,10,90
Jackson County,179,12,88
Blount County,50,13,88
Cleburne County,15,25,75
Marion County,62,31,69
Geneva County,75,44,56
Fayette County,44,47,53
Lauderdale County,691,49,51
Etowah County,280,50,50
Lamar County,43,55,45
Covington County,104,56,44
Colbert County,421,59,41
Tallapoosa County,271,61,39
Monroe County,64,61,39
Shelby County,249,63,37
Coffee County,318,63,37
St. Clair County,137,67,33
Baldwin County,374,69,31
Crenshaw County,134,73,27
Elmore County,111,76,24
Randolph County,33,78,22
Henry County,84,78,22
Barbour County,354,82,18
Calhoun County,717,83,17
Butler County,186,83,17
Morgan County,817,84,16
Pike County,611,86,14
Limestone County,264,87,13
Pickens County,87,88,12
Madison County,2007,88,12
Dale County,554,88,12
Talladega County,535,92,8
Houston County,1202,92,8
Escambia County,139,92,8
Tuscaloosa County,2403,93,7
Russell County,907,93,7
Autauga County,90,93,7
Lee County,1171,95,5
Mobile County,7338,96,4
Macon County,294,96,4
Dallas County,1098,96,4
Sumter County,104,97,3
Perry County,53,97,3
Jefferson County,9299,97,3
Chambers County,153,97,3
Lowndes County,345,98,2
Bullock County,443,98,2
Montgomery County,3006,99,1
Conecuh County,101,99,1
