sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Marengo County,1091,-1,-1,434,-1,5,17,2.3,1006,194,389,10.0,4.3,20,47,15,12,6,30,7,56,25,94,74,8,48,86,55,33,48,18,15,55,15,15,2,95,94,0,0,1,17,86,92,77,27,42,31,17,53,30,40,-1,-1,-1,-1,-1,AL,-1,-1,marengo al,5,95,5,0,0
9,1,All HUD,-1,Marion County,1093,-1,-1,884,-1,4,34,1.7,1533,193,339,11.4,6.6,14,45,21,9,12,26,2,68,32,85,59,9,19,69,22,42,21,22,9,38,17,36,4,12,11,0,0,0,1,54,93,32,37,38,25,33,6,14,48,-1,-1,-1,-1,-1,AL,-1,-1,marion al,88,12,88,0,0
9,1,All HUD,-1,Marshall County,1095,-1,-1,2071,-1,5,36,2.0,4187,202,311,10.5,5.3,19,43,21,10,6,26,7,60,26,92,68,11,32,79,37,35,17,16,10,42,17,30,3,8,6,0,0,2,5,47,86,48,24,45,31,30,7,12,46,-1,-1,-1,-1,-1,AL,-1,-1,marshall al,92,8,92,0,0
9,1,All HUD,-1,Mobile County,1097,-1,-1,10653,-1,5,17,2.5,26229,217,504,9.8,4.0,25,37,20,12,6,35,12,48,23,96,72,9,48,87,56,22,25,11,13,55,13,20,2,86,84,0,0,2,23,71,92,67,29,34,37,14,65,32,46,-1,-1,-1,-1,-1,AL,-1,-1,mobile al,14,86,14,0,0
9,1,All HUD,-1,Monroe County,1099,-1,-1,271,-1,5,31,2.3,632,156,386,8.2,3.5,41,31,17,6,4,25,4,61,19,95,78,8,51,87,57,19,49,11,27,48,10,16,0,82,80,0,0,2,29,32,100,73,30,42,29,15,44,22,58,-1,-1,-1,-1,-1,AL,-1,-1,monroe al,18,82,18,0,0
9,1,All HUD,-1,Montgomery County,1101,-1,-1,4314,-1,6,21,2.4,10409,229,488,10.3,4.3,20,39,21,13,7,32,18,48,22,97,76,9,46,88,55,25,23,12,12,55,11,21,3,87,84,0,0,2,29,76,81,33,32,29,39,12,76,34,43,-1,-1,-1,-1,-1,AL,-1,-1,montgomery al,13,87,13,0,0
9,1,All HUD,-1,Morgan County,1103,-1,-1,1858,-1,5,30,2.0,3769,208,360,10.2,5.1,24,36,23,10,7,28,7,59,23,95,72,7,39,84,43,28,32,16,12,44,14,29,4,51,50,0,0,1,6,57,73,20,39,33,28,14,33,20,48,-1,-1,-1,-1,-1,AL,-1,-1,morgan al,49,51,49,0,0
9,1,All HUD,-1,Perry County,1105,-1,-1,225,-1,5,16,2.8,630,208,389,11.1,3.9,21,40,15,12,11,36,8,52,26,91,67,13,55,85,65,26,65,13,10,64,15,12,1,100,99,0,0,1,17,79,97,105,22,28,50,13,67,33,37,-1,-1,-1,-1,-1,AL,-1,-1,perry al,0,100,0,0,0
9,1,All HUD,-1,Pickens County,1107,-1,-1,424,-1,5,33,2.2,922,196,297,10.2,4.7,20,44,17,10,9,33,17,50,27,90,68,11,37,84,47,27,24,14,15,53,13,19,2,83,79,0,0,3,3,74,100,85,35,33,31,16,43,24,54,-1,-1,-1,-1,-1,AL,-1,-1,pickens al,17,83,17,0,0
9,1,All HUD,-1,Pike County,1109,-1,-1,987,-1,6,32,2.1,2101,178,293,9.1,4.2,26,44,17,8,5,30,14,56,25,93,73,6,44,85,49,30,30,15,15,51,15,19,3,81,81,0,0,1,4,59,55,55,25,33,42,29,38,20,42,-1,-1,-1,-1,-1,AL,-1,-1,pike al,19,81,19,0,0
