sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Pike County,1109,-1,-1,942.0,-1.0,5.0,24.0,2.1,2024.0,183.0,363.0,9.6,4.5,24.0,41.0,20.0,9.0,7.0,30.0,15.0,53.0,26.0,91.0,70.0,7.0,43.0,85.0,49.0,28.0,36.0,15.0,14.0,52.0,15.0,20.0,2.0,82.0,81.0,0.0,0.0,1.0,7.0,63.0,53.0,54.0,26.0,31.0,43.0,28.0,42,23,44,-1,-1,-1,-1,-1,AL,-1,-1,pike al,18.0,82.0,18.0,0,0
9,1,All HUD,-1,Randolph County,1111,-1,-1,179.0,-1.0,5.0,20.0,1.7,303.0,209.0,435.0,11.0,6.5,9.0,49.0,23.0,9.0,10.0,26.0,5.0,69.0,32.0,91.0,58.0,7.0,24.0,82.0,30.0,28.0,12.0,13.0,12.0,31.0,14.0,43.0,7.0,58.0,56.0,0.0,1.0,1.0,5.0,68.0,74.0,26.0,47.0,30.0,23.0,22.0,38,17,56,-1,-1,-1,-1,-1,AL,-1,-1,randolph al,42.0,58.0,42.0,0,0
9,1,All HUD,-1,Russell County,1113,-1,-1,1531.0,-1.0,5.0,32.0,2.2,3429.0,203.0,425.0,10.1,4.5,28.0,34.0,19.0,10.0,9.0,36.0,11.0,48.0,24.0,92.0,70.0,8.0,45.0,84.0,50.0,18.0,21.0,9.0,15.0,50.0,14.0,20.0,2.0,87.0,79.0,0.0,0.0,8.0,3.0,65.0,93.0,67.0,29.0,41.0,30.0,17.0,48,32,30,-1,-1,-1,-1,-1,AL,-1,-1,russell al,13.0,87.0,13.0,0,0
9,1,All HUD,-1,St. Clair County,1115,-1,-1,289.0,-1.0,4.0,25.0,2.0,579.0,245.0,440.0,11.5,5.8,11.0,43.0,22.0,16.0,9.0,29.0,7.0,62.0,24.0,97.0,70.0,8.0,35.0,80.0,40.0,44.0,27.0,21.0,9.0,47.0,16.0,28.0,1.0,40.0,36.0,0.0,0.0,3.0,4.0,48.0,89.0,63.0,24.0,44.0,32.0,31.0,12,12,56,-1,-1,-1,-1,-1,AL,-1,-1,st. clair al,60.0,40.0,60.0,0,0
9,1,All HUD,-1,Shelby County,1117,-1,-1,503.0,-1.0,5.0,20.0,2.1,1080.0,235.0,448.0,13.3,6.2,13.0,36.0,22.0,13.0,17.0,28.0,8.0,61.0,27.0,90.0,65.0,10.0,34.0,82.0,41.0,38.0,31.0,19.0,7.0,44.0,17.0,32.0,3.0,49.0,45.0,0.0,0.0,3.0,15.0,72.0,99.0,55.0,29.0,36.0,34.0,22.0,14,9,65,-1,-1,-1,-1,-1,AL,-1,-1,shelby al,51.0,49.0,51.0,0,0
9,1,All HUD,-1,Sumter County,1119,-1,-1,430.0,-1.0,6.0,24.0,2.2,955.0,197.0,409.0,8.6,3.9,26.0,48.0,13.0,10.0,3.0,23.0,12.0,62.0,23.0,95.0,78.0,9.0,43.0,80.0,50.0,34.0,44.0,17.0,15.0,53.0,15.0,17.0,2.0,98.0,97.0,0.0,0.0,0.0,4.0,74.0,100.0,99.0,32.0,31.0,36.0,19.0,64,34,38,-1,-1,-1,-1,-1,AL,-1,-1,sumter al,2.0,98.0,2.0,0,0
9,1,All HUD,-1,Talladega County,1121,-1,-1,1721.0,-1.0,5.0,30.0,2.0,3459.0,195.0,404.0,9.9,4.9,23.0,41.0,19.0,10.0,7.0,26.0,7.0,65.0,26.0,92.0,68.0,8.0,35.0,80.0,40.0,37.0,22.0,18.0,11.0,46.0,17.0,26.0,3.0,70.0,68.0,0.0,0.0,2.0,5.0,68.0,61.0,76.0,44.0,26.0,30.0,14.0,43,28,43,-1,-1,-1,-1,-1,AL,-1,-1,talladega al,30.0,70.0,30.0,0,0
9,1,All HUD,-1,Tallapoosa County,1123,-1,-1,914.0,-1.0,4.0,26.0,2.0,1869.0,229.0,414.0,11.1,5.4,16.0,36.0,23.0,15.0,10.0,28.0,13.0,59.0,30.0,85.0,56.0,6.0,42.0,83.0,45.0,30.0,20.0,15.0,15.0,45.0,14.0,26.0,3.0,73.0,71.0,0.0,0.0,2.0,4.0,54.0,86.0,26.0,31.0,36.0,33.0,24.0,35,18,56,-1,-1,-1,-1,-1,AL,-1,-1,tallapoosa al,27.0,73.0,27.0,0,0
9,1,All HUD,-1,Tuscaloosa County,1125,-1,-1,3528.0,-1.0,5.0,15.0,2.3,8171.0,246.0,524.0,11.0,4.7,17.0,39.0,22.0,13.0,9.0,32.0,10.0,55.0,24.0,95.0,73.0,8.0,47.0,87.0,54.0,31.0,23.0,15.0,13.0,53.0,14.0,20.0,2.0,86.0,84.0,0.0,0.0,2.0,17.0,73.0,93.0,79.0,27.0,35.0,38.0,17.0,53,25,41,-1,-1,-1,-1,-1,AL,-1,-1,tuscaloosa al,14.0,86.0,14.0,0,0
9,1,All HUD,-1,Walker County,1127,-1,-1,1208.0,-1.0,5.0,34.0,1.8,2211.0,207.0,368.0,11.4,6.3,14.0,45.0,20.0,10.0,11.0,28.0,6.0,64.0,32.0,86.0,61.0,11.0,26.0,74.0,30.0,41.0,30.0,22.0,9.0,43.0,20.0,28.0,1.0,24.0,21.0,0.0,0.0,2.0,5.0,48.0,86.0,37.0,42.0,33.0,25.0,21.0,14,18,52,-1,-1,-1,-1,-1,AL,-1,-1,walker al,76.0,24.0,76.0,0,0
