State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
AL,Autauga County,26050,29800,33500,37200,40200,43200,46150,49150,15650,19720,24860,30000,35140,40280,45420,49150,41650,47600,53550,59500,64300,69050,73800,78550
AL,Baldwin County,31700,36200,40750,45250,48900,52500,56150,59750,19050,21750,24860,30000,35140,40280,45420,50560,50700,57950,65200,72400,78200,84000,89800,95600
AL,Barbour County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Bibb County,31450,35950,40450,44900,48500,52100,55700,59300,18900,21600,24860,30000,35140,40280,45420,50560,50300,57500,64700,71850,77600,83350,89100,94850
AL,Blount County,31450,35950,40450,44900,48500,52100,55700,59300,18900,21600,24860,30000,35140,40280,45420,50560,50300,57500,64700,71850,77600,83350,89100,94850
AL,Bullock County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Butler County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Calhoun County,25500,29150,32800,36400,39350,42250,45150,48050,15300,19720,24860,30000,35140,40280,45150,48050,40800,46600,52450,58250,62950,67600,72250,76900
AL,Chambers County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Cherokee County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Chilton County,23450,26800,30150,33450,36150,38850,41500,44200,14580,19720,24860,30000,35140,38850,41500,44200,37450,42800,48150,53500,57800,62100,66350,70650
AL,Choctaw County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Clarke County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Clay County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Cleburne County,23150,26450,29750,33050,35700,38350,41000,43650,14580,19720,24860,30000,35140,38350,41000,43650,37050,42350,47650,52900,57150,61400,65600,69850
AL,Coffee County,27850,31800,35800,39750,42950,46150,49300,52500,16700,19720,24860,30000,35140,40280,45420,50560,44550,50900,57250,63600,68700,73800,78900,84000
AL,Colbert County,25300,28900,32500,36100,39000,41900,44800,47700,15200,19720,24860,30000,35140,40280,44800,47700,40450,46200,52000,57750,62400,67000,71650,76250
AL,Conecuh County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Coosa County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Covington County,23450,26800,30150,33450,36150,38850,41500,44200,14580,19720,24860,30000,35140,38850,41500,44200,37450,42800,48150,53500,57800,62100,66350,70650
AL,Crenshaw County,23800,27200,30600,34000,36750,39450,42200,44900,14580,19720,24860,30000,35140,39450,42200,44900,38050,43500,48950,54350,58700,63050,67400,71750
AL,Cullman County,23750,27150,30550,33900,36650,39350,42050,44750,14580,19720,24860,30000,35140,39350,42050,44750,38000,43400,48850,54250,58600,62950,67300,71650
AL,Dale County,23650,27000,30400,33750,36450,39150,41850,44550,14580,19720,24860,30000,35140,39150,41850,44550,37800,43200,48600,54000,58350,62650,67000,71300
AL,Dallas County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,DeKalb County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Elmore County,26050,29800,33500,37200,40200,43200,46150,49150,15650,19720,24860,30000,35140,40280,45420,49150,41650,47600,53550,59500,64300,69050,73800,78550
AL,Escambia County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Etowah County,23000,26300,29600,32850,35500,38150,40750,43400,14580,19720,24860,30000,35140,38150,40750,43400,36800,42050,47300,52550,56800,61000,65200,69400
AL,Fayette County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Franklin County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Geneva County,23800,27200,30600,34000,36750,39450,42200,44900,14580,19720,24860,30000,35140,39450,42200,44900,38100,43550,49000,54400,58800,63150,67500,71850
AL,Greene County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Hale County,28750,32850,36950,41050,44350,47650,50950,54200,17300,19750,24860,30000,35140,40280,45420,50560,46000,52600,59150,65700,71000,76250,81500,86750
AL,Henry County,25000,28600,32150,35700,38600,41450,44300,47150,15000,19720,24860,30000,35140,40280,44300,47150,40000,45700,51400,57100,61700,66250,70850,75400
AL,Houston County,23800,27200,30600,34000,36750,39450,42200,44900,14580,19720,24860,30000,35140,39450,42200,44900,38100,43550,49000,54400,58800,63150,67500,71850
AL,Jackson County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Jefferson County,31450,35950,40450,44900,48500,52100,55700,59300,18900,21600,24860,30000,35140,40280,45420,50560,50300,57500,64700,71850,77600,83350,89100,94850
AL,Lamar County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Lauderdale County,25300,28900,32500,36100,39000,41900,44800,47700,15200,19720,24860,30000,35140,40280,44800,47700,40450,46200,52000,57750,62400,67000,71650,76250
AL,Lawrence County,26150,29900,33650,37350,40350,43350,46350,49350,15700,19720,24860,30000,35140,40280,45420,49350,41850,47800,53800,59750,64550,69350,74100,78900
AL,Lee County,29400,33600,37800,41950,45350,48700,52050,55400,17650,20150,24860,30000,35140,40280,45420,50560,47000,53700,60400,67100,72500,77850,83250,88600
AL,Limestone County,34350,39250,44150,49050,53000,56900,60850,64750,20650,23600,26550,30000,35140,40280,45420,50560,54950,62800,70650,78500,84800,91100,97350,103650
AL,Lowndes County,26050,29800,33500,37200,40200,43200,46150,49150,15650,19720,24860,30000,35140,40280,45420,49150,41650,47600,53550,59500,64300,69050,73800,78550
AL,Macon County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Madison County,34350,39250,44150,49050,53000,56900,60850,64750,20650,23600,26550,30000,35140,40280,45420,50560,54950,62800,70650,78500,84800,91100,97350,103650
AL,Marengo County,22950,26200,29500,32750,35400,38000,40650,43250,14580,19720,24860,30000,35140,38000,40650,43250,36700,41950,47200,52400,56600,60800,65000,69200
AL,Marion County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Marshall County,23500,26850,30200,33550,36250,38950,41650,44300,14580,19720,24860,30000,35140,38950,41650,44300,37600,43000,48350,53700,58000,62300,66600,70900
AL,Mobile County,24200,27650,31100,34550,37350,40100,42850,45650,14580,19720,24860,30000,35140,40100,42850,45650,38750,44250,49800,55300,59750,64150,68600,73000
AL,Monroe County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Montgomery County,26050,29800,33500,37200,40200,43200,46150,49150,15650,19720,24860,30000,35140,40280,45420,49150,41650,47600,53550,59500,64300,69050,73800,78550
AL,Morgan County,26150,29900,33650,37350,40350,43350,46350,49350,15700,19720,24860,30000,35140,40280,45420,49350,41850,47800,53800,59750,64550,69350,74100,78900
AL,Perry County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Pickens County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Pike County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Randolph County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Russell County,25050,28600,32200,35750,38650,41500,44350,47200,15050,19720,24860,30000,35140,40280,44350,47200,40050,45800,51500,57200,61800,66400,70950,75550
AL,St. Clair County,31450,35950,40450,44900,48500,52100,55700,59300,18900,21600,24860,30000,35140,40280,45420,50560,50300,57500,64700,71850,77600,83350,89100,94850
AL,Shelby County,31450,35950,40450,44900,48500,52100,55700,59300,18900,21600,24860,30000,35140,40280,45420,50560,50300,57500,64700,71850,77600,83350,89100,94850
AL,Sumter County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Talladega County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Tallapoosa County,23450,26800,30150,33450,36150,38850,41500,44200,14580,19720,24860,30000,35140,38850,41500,44200,37450,42800,48150,53500,57800,62100,66350,70650
AL,Tuscaloosa County,28750,32850,36950,41050,44350,47650,50950,54200,17300,19750,24860,30000,35140,40280,45420,50560,46000,52600,59150,65700,71000,76250,81500,86750
AL,Walker County,23700,27050,30450,33800,36550,39250,41950,44650,14580,19720,24860,30000,35140,39250,41950,44650,37900,43300,48700,54100,58450,62800,67100,71450
AL,Washington County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Wilcox County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AL,Winston County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
