State code,PUMA,County code,State abbr.,County_Name,allocation factor
5,100,5007,AR,Benton AR,1.0
5,200,5007,AR,Benton AR,1.0
5,300,5007,AR,Benton AR,1.0
5,100,5007,AR,Benton AR,1.0
5,100,5143,AR,Washington AR,1.0
5,200,5143,AR,Washington AR,1.0
5,300,5143,AR,Washington AR,1.0
5,1400,5143,AR,Washington AR,1.0
5,200,5143,AR,Washington AR,1.0
5,100,5015,AR,Carroll AR,0.5868
5,100,5087,AR,Madison AR,0.4132
5,200,5087,AR,Madison AR,1.0
5,300,5005,AR,Baxter AR,0.2683
5,300,5009,AR,Boone AR,0.2434
5,300,5015,AR,Carroll AR,0.1822
5,300,5087,AR,Madison AR,0.101
5,300,5089,AR,Marion AR,0.1096
5,300,5101,AR,Newton AR,0.046
5,300,5129,AR,Searcy AR,0.0496
5,400,5005,AR,Baxter AR,0.6988
5,400,5129,AR,Searcy AR,0.3012
5,1300,5087,AR,Madison AR,0.3988
5,1300,5101,AR,Newton AR,0.5202
5,1300,5129,AR,Searcy AR,0.081
5,1500,5087,AR,Madison AR,1.0
5,300,5049,AR,Fulton AR,0.0956
5,300,5065,AR,Izard AR,0.7266
5,300,5137,AR,Stone AR,0.0843
5,300,5141,AR,Van Buren AR,0.0935
5,400,5023,AR,Cleburne AR,0.2117
5,400,5049,AR,Fulton AR,0.1051
5,400,5063,AR,Independence AR,0.3303
5,400,5065,AR,Izard AR,0.1104
5,400,5137,AR,Stone AR,0.1077
5,400,5141,AR,Van Buren AR,0.1347
5,500,5063,AR,Independence AR,1.0
5,800,5023,AR,Cleburne AR,0.5796
5,800,5063,AR,Independence AR,0.4204
5,1100,5023,AR,Cleburne AR,0.4858
5,1100,5141,AR,Van Buren AR,0.5142
5,1300,5141,AR,Van Buren AR,1.0
5,400,5075,AR,Lawrence AR,0.0094
5,400,5121,AR,Randolph AR,0.0042
5,400,5135,AR,Sharp AR,0.9864
5,500,5021,AR,Clay AR,0.153
5,500,5055,AR,Greene AR,0.4808
5,500,5075,AR,Lawrence AR,0.1685
5,500,5121,AR,Randolph AR,0.1945
5,500,5135,AR,Sharp AR,0.0032
5,600,5055,AR,Greene AR,1.0
5,800,5075,AR,Lawrence AR,1.0
5,600,5035,AR,Crittenden AR,0.5416
5,600,5037,AR,Cross AR,0.0001
5,600,5077,AR,Lee AR,0.0001
5,600,5093,AR,Mississippi AR,0.4572
5,600,5123,AR,St. Francis AR,0.0009
5,700,5035,AR,Crittenden AR,0.001
5,700,5037,AR,Cross AR,0.2583
5,700,5077,AR,Lee AR,0.1319
5,700,5093,AR,Mississippi AR,0.0013
5,700,5107,AR,Phillips AR,0.2544
5,700,5123,AR,St. Francis AR,0.3531
5,800,5037,AR,Cross AR,0.2
5,800,5123,AR,St. Francis AR,0.8
5,1800,5107,AR,Phillips AR,1.0
5,500,5031,AR,Craighead AR,0.9997
5,500,5111,AR,Poinsett AR,0.0003
5,600,5031,AR,Craighead AR,0.975
5,600,5111,AR,Poinsett AR,0.025
5,700,5031,AR,Craighead AR,0.0133
5,700,5111,AR,Poinsett AR,0.9867
5,800,5031,AR,Craighead AR,1.0
5,400,5067,AR,Jackson AR,0.3935
5,400,5145,AR,White AR,0.6065
5,500,5067,AR,Jackson AR,1.0
5,700,5067,AR,Jackson AR,0.0053
5,700,5095,AR,Monroe AR,0.9754
5,700,5117,AR,Prairie AR,0.0078
5,700,5147,AR,Woodruff AR,0.0114
5,800,5067,AR,Jackson AR,0.1536
5,800,5095,AR,Monroe AR,0.0009
5,800,5117,AR,Prairie AR,0.0763
5,800,5145,AR,White AR,0.711
5,800,5147,AR,Woodruff AR,0.0582
5,1100,5117,AR,Prairie AR,0.1419
5,1100,5145,AR,White AR,0.8581
5,1700,5117,AR,Prairie AR,1.0
5,1800,5095,AR,Monroe AR,0.9573
5,1800,5117,AR,Prairie AR,0.0427
5,400,5045,AR,Faulkner AR,1.0
5,800,5045,AR,Faulkner AR,0.1584
5,800,5085,AR,Lonoke AR,0.8416
5,900,5045,AR,Faulkner AR,0.4815
5,900,5085,AR,Lonoke AR,0.5185
5,1100,5045,AR,Faulkner AR,0.6286
5,1100,5085,AR,Lonoke AR,0.3714
5,1300,5045,AR,Faulkner AR,1.0
5,1700,5085,AR,Lonoke AR,1.0
5,300,5071,AR,Johnson AR,0.4837
5,300,5115,AR,Pope AR,0.5163
5,400,5029,AR,Conway AR,0.7815
5,400,5115,AR,Pope AR,0.2185
5,1100,5029,AR,Conway AR,1.0
5,1300,5029,AR,Conway AR,0.1577
5,1300,5071,AR,Johnson AR,0.1972
5,1300,5115,AR,Pope AR,0.4899
5,1300,5149,AR,Yell AR,0.1552
5,1500,5071,AR,Johnson AR,0.4899
5,1500,5149,AR,Yell AR,0.5101
5,200,5033,AR,Crawford AR,1.0
5,300,5047,AR,Franklin AR,1.0
5,1300,5047,AR,Franklin AR,1.0
5,1400,5033,AR,Crawford AR,0.3185
5,1400,5047,AR,Franklin AR,0.0011
5,1400,5131,AR,Sebastian AR,0.6804
5,1500,5033,AR,Crawford AR,0.0247
5,1500,5047,AR,Franklin AR,0.9317
5,1500,5131,AR,Sebastian AR,0.0436
5,1300,5083,AR,Logan AR,0.4421
5,1300,5127,AR,Scott AR,0.5579
5,1400,5083,AR,Logan AR,0.4482
5,1400,5127,AR,Scott AR,0.5518
5,1500,5061,AR,Howard AR,0.1562
5,1500,5081,AR,Little River AR,0.0001
5,1500,5083,AR,Logan AR,0.2699
5,1500,5113,AR,Polk AR,0.2473
5,1500,5127,AR,Scott AR,0.1232
5,1500,5133,AR,Sevier AR,0.2033
5,1600,5113,AR,Polk AR,0.975
5,1600,5127,AR,Scott AR,0.025
5,2000,5061,AR,Howard AR,0.0125
5,2000,5081,AR,Little River AR,0.2168
5,2000,5091,AR,Miller AR,0.7688
5,2000,5133,AR,Sevier AR,0.0018
5,1200,5051,AR,Garland AR,0.6882
5,1200,5059,AR,Hot Spring AR,0.3118
5,1300,5051,AR,Garland AR,0.4821
5,1300,5097,AR,Montgomery AR,0.5179
5,1500,5097,AR,Montgomery AR,0.2063
5,1500,5109,AR,Pike AR,0.7937
5,1600,5019,AR,Clark AR,0.1317
5,1600,5051,AR,Garland AR,0.6139
5,1600,5059,AR,Hot Spring AR,0.2007
5,1600,5097,AR,Montgomery AR,0.0514
5,1600,5109,AR,Pike AR,0.0023
5,1700,5059,AR,Hot Spring AR,1.0
5,1900,5019,AR,Clark AR,0.6327
5,1900,5059,AR,Hot Spring AR,0.3673
