County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
Arkansas County,21300,24350,27400,30400,32850,35300,37700,40150,13590,18310,23030,27750,32470,35300,37700,40150,34100,38950,43800,48650,52550,56450,60350,64250
Ashley County,21200,24200,27250,30250,32700,35100,37550,39950,13590,18310,23030,27750,32470,35100,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
Baxter County,21100,24100,27100,30100,32550,34950,37350,39750,13590,18310,23030,27750,32470,34950,37350,39750,33750,38550,43350,48150,52050,55900,59750,63600
Benton County,29300,33500,37700,41850,45200,48550,51900,55250,17600,20100,23030,27750,32470,37190,41910,46630,46900,53600,60300,66950,72350,77700,83050,88400
Boone County,21100,24100,27100,30100,32550,34950,37350,39750,13590,18310,23030,27750,32470,34950,37350,39750,33750,38550,43350,48150,52050,55900,59750,63600
Bradley County,21100,24100,27100,30100,32550,34950,37350,39750,13590,18310,23030,27750,32470,34950,37350,39750,33750,38550,43350,48150,52050,55900,59750,63600
Calhoun County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100
Carroll County,22050,25200,28350,31450,34000,36500,39000,41550,13590,18310,23030,27750,32470,36500,39000,41550,35250,40250,45300,50300,54350,58350,62400,66400
Chicot County,21100,24100,27100,30100,32550,34950,37350,39750,13590,18310,23030,27750,32470,34950,37350,39750,33750,38550,43350,48150,52050,55900,59750,63600
Clark County,22900,26150,29400,32650,35300,37900,40500,43100,13750,18310,23030,27750,32470,37190,40500,43100,36600,41800,47050,52250,56450,60650,64800,69000
Clay County,21100,24100,27100,30100,32550,34950,37350,39750,13590,18310,23030,27750,32470,34950,37350,39750,33750,38550,43350,48150,52050,55900,59750,63600
Cleburne County,21450,24500,27550,30600,33050,35500,37950,40400,13590,18310,23030,27750,32470,35500,37950,40400,34300,39200,44100,48950,52900,56800,60700,64650
Cleveland County,21100,24100,27100,30100,32550,34950,37350,39750,13590,18310,23030,27750,32470,34950,37350,39750,33750,38550,43350,48150,52050,55900,59750,63600
Columbia County,21100,24100,27100,30100,32550,34950,37350,39750,13590,18310,23030,27750,32470,34950,37350,39750,33750,38550,43350,48150,52050,55900,59750,63600
Conway County,21450,24500,27550,30600,33050,35500,37950,40400,13590,18310,23030,27750,32470,35500,37950,40400,34300,39200,44100,48950,52900,56800,60700,64650
Craighead County,23100,26400,29700,32950,35600,38250,40900,43500,13850,18310,23030,27750,32470,37190,40900,43500,36900,42200,47450,52700,56950,61150,65350,69600
Crawford County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
Crittenden County,26900,30750,34600,38400,41500,44550,47650,50700,16150,18450,23030,27750,32470,37190,41910,46630,43050,49200,55350,61450,66400,71300,76200,81150
Cross County,22300,25450,28650,31800,34350,36900,39450,42000,13590,18310,23030,27750,32470,36900,39450,42000,35650,40750,45850,50900,55000,59050,63150,67200
Dallas County,21100,24100,27100,30100,32550,34950,37350,39750,13590,18310,23030,27750,32470,34950,37350,39750,33750,38550,43350,48150,52050,55900,59750,63600
Desha County,21100,24100,27100,30100,32550,34950,37350,39750,13590,18310,23030,27750,32470,34950,37350,39750,33750,38550,43350,48150,52050,55900,59750,63600
