sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Arkansas County,5001,-1,-1,620,-1,5,35,2.4,1486,221,343,9.2,3.9,24,42,19,9,5,29,17,53,26,93,66,12,45,86,54,22,28,11,15,55,13,17,3,59,59,0,0,0,9,42,98,69,21,36,43,22,32,20,52,-1,-1,-1,-1,-1,AR,-1,-1,arkansas ar,41,59,41,0,0
9,1,All HUD,-1,Ashley County,5003,-1,-1,396,-1,5,23,2.1,821,238,259,10.2,4.9,7,51,29,10,3,27,7,66,29,96,64,7,40,87,46,37,20,18,6,46,14,33,4,73,73,0,0,0,17,57,90,45,35,35,30,18,31,16,57,-1,-1,-1,-1,-1,AR,-1,-1,ashley ar,27,73,27,0,0
9,1,All HUD,-1,Baxter County,5005,-1,-1,492,-1,5,37,1.8,867,210,266,9.6,5.5,11,52,28,8,1,17,2,78,30,94,54,9,26,79,32,51,24,26,8,41,18,33,5,1,0,1,0,1,13,38,82,37,45,33,22,22,3,10,57,-1,-1,-1,-1,-1,AR,-1,-1,baxter ar,99,1,99,0,0
9,1,All HUD,-1,Benton County,5007,-1,-1,904,-1,5,29,1.8,1615,228,282,10.7,6.0,13,41,30,12,4,18,0,78,25,99,67,7,24,80,28,48,16,21,7,35,13,45,8,8,2,1,0,4,27,40,88,49,52,30,17,14,18,13,52,-1,-1,-1,-1,-1,AR,-1,-1,benton ar,92,8,92,0,0
9,1,All HUD,-1,Boone County,5009,-1,-1,657,-1,6,41,1.9,1243,188,271,8.8,4.7,20,51,23,5,1,23,2,69,26,97,67,10,28,76,33,42,27,21,12,47,15,26,3,1,0,0,0,1,6,32,75,23,43,39,18,18,4,16,55,-1,-1,-1,-1,-1,AR,-1,-1,boone ar,99,1,99,0,0
9,1,All HUD,-1,Bradley County,5011,-1,-1,267,-1,6,26,2.0,540,208,285,9.7,4.8,12,49,27,9,2,29,0,70,30,92,59,10,33,81,40,37,0,15,9,48,20,22,4,86,86,0,0,0,13,67,95,76,49,26,25,3,42,28,58,-1,-1,-1,-1,-1,AR,-1,-1,bradley ar,14,86,14,0,0
9,1,All HUD,-1,Calhoun County,5013,-1,-1,20,-1,6,50,1.5,30,217,233,9.3,6.2,0,70,25,5,0,5,0,95,31,100,55,5,20,80,25,77,100,57,5,40,20,35,0,40,40,0,0,0,17,15,95,-2,20,60,20,60,22,14,44,-1,-1,-1,-1,-1,AR,-1,-1,calhoun ar,60,40,60,0,0
9,1,All HUD,-1,Carroll County,5015,-1,-1,246,-1,5,37,1.7,426,213,234,10.4,6.0,12,46,30,7,5,21,2,74,32,92,52,8,22,71,26,46,17,22,9,37,17,38,4,2,0,1,0,0,7,30,91,53,57,27,17,13,16,17,55,-1,-1,-1,-1,-1,AR,-1,-1,carroll ar,98,2,98,0,0
9,1,All HUD,-1,Chicot County,5017,-1,-1,256,-1,6,29,2.0,513,203,339,8.8,4.4,14,53,25,7,1,29,1,70,28,96,63,7,39,77,45,28,19,13,8,46,14,32,5,80,79,0,0,1,7,38,80,45,49,29,22,7,68,32,48,-1,-1,-1,-1,-1,AR,-1,-1,chicot ar,20,80,20,0,0
9,1,All HUD,-1,Clark County,5019,-1,-1,485,-1,6,29,2.0,962,194,346,8.7,4.4,24,46,20,8,3,31,4,64,25,96,70,10,32,77,40,24,28,14,21,44,12,22,4,64,63,0,0,1,12,43,100,75,33,41,25,19,28,21,49,-1,-1,-1,-1,-1,AR,-1,-1,clark ar,36,64,36,0,0
9,1,All HUD,-1,Clay County,5021,-1,-1,249,-1,4,31,1.7,411,212,304,9.9,6.1,10,53,28,4,4,17,4,76,31,92,56,8,20,76,24,44,30,25,4,35,17,45,4,0,0,0,0,0,5,45,68,10,55,32,14,12,1,17,63,-1,-1,-1,-1,-1,AR,-1,-1,clay ar,100,0,100,0,0
9,1,All HUD,-1,Cleburne County,5023,-1,-1,213,-1,5,32,2.1,456,242,277,10.4,4.9,7,54,24,10,4,22,2,74,29,95,60,15,31,79,41,42,29,20,2,50,15,33,4,0,0,0,0,0,6,39,85,25,39,32,29,13,3,13,60,-1,-1,-1,-1,-1,AR,-1,-1,cleburne ar,100,0,100,0,0
