gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,AR Arkansas,AR Arkansas County 05001,9,Summary of All HUD Programs,1,A,Arkansas County,5001,768.0,80,602,93,5.79255784199777,16,2.38500072546232,1554.32995546342,240.401418603704,427.475813968027,10174.6561450345,4264.75084333031,20,39,21,14,6,28,13,56,27,94,65,6,54,86,56,21,31,11,12,58,14,16,2,62,61,0,0,1,7.50484823434697,48.3988773764071,98,164.576543538397,20,35,45,20,22,36,53,A,A,A,-1,-1,AR,-1,A,arkansas ar,38,62,38,0,0
County,AR Arkansas,AR Ashley County 05003,9,Summary of All HUD Programs,1,A,Ashley County,5003,470.0,91,401,96,5.98802725233083,15,1.9585919651261,799.67282719031,258.134186717999,295.944087399447,10985.4047474025,5608.82763893866,2,51,32,10,5,21,5,72,30,97,58,1,41,85,41,39,19,19,5,43,16,36,6,75,75,0,0,1,11.0305935113166,60.4531889880769,90,146.917488538923,37,33,30,21,18,33,60,A,A,A,-1,-1,AR,-1,A,ashley ar,25,75,25,0,0
County,AR Arkansas,AR Baxter County 05005,9,Summary of All HUD Programs,1,A,Baxter County,5005,588.0,95,457,95,5.53961326804217,17,1.7272795394946,874.858944960441,221.658736572195,326.756377041856,9738.03793043049,5637.78919842923,12,46,34,7,2,14,1,85,30,95,53,4,28,78,29,49,28,27,6,42,17,34,5,2,0,0,1,1,18.9910413462728,40.4440026584928,80,87.7362712695371,41,35,24,27,12,3,64,A,A,A,-1,-1,AR,-1,A,baxter ar,98,2,98,0,0
County,AR Arkansas,AR Benton County 05007,9,Summary of All HUD Programs,1,A,Benton County,5007,1018.0,90,854,94,5.82030119429299,11,1.78562311413224,1625.11386661864,229.08168352558,311.050459385863,10424.3201783788,5830.62994638429,11,43,30,12,4,13,0,87,25,99,70,5,24,79,26,52,21,23,5,33,16,46,8,9,3,2,1,4,14.3313294232649,46.8285480151453,88,81.4397789817932,53,28,19,15,13,19,54,A,A,A,-1,-1,AR,-1,A,benton ar,91,9,91,0,0
County,AR Arkansas,AR Boone County 05009,9,Summary of All HUD Programs,1,A,Boone County,5009,699.0,95,685,98,5.11303944832134,23,1.83929716090013,1252.21398956376,210.552430229559,307.760827144395,9251.22734950961,5031.85428459208,17,47,24,10,2,21,2,76,26,98,67,8,28,72,29,43,28,22,9,47,17,28,3,1,0,0,0,1,8.02839743227936,33.1530783715684,76,82.3184010810441,42,41,17,20,17,4,56,A,A,A,-1,-1,AR,-1,A,boone ar,99,1,99,0,0
County,AR Arkansas,AR Bradley County 05011,9,Summary of All HUD Programs,1,A,Bradley County,5011,282.0,89,259,99,5.40854157992799,17,1.99689234184239,509.207547169811,224.128712952686,348.92652608213,10126.4130061249,5071.08610411212,14,46,23,12,5,26,2,72,29,93,62,3,38,77,38,37,6,16,11,44,21,25,4,88,88,0,0,0,8.54120397428404,66.5376073224536,94,60.0316299790355,52,25,23,4,28,38,58,A,A,A,-1,-1,AR,-1,A,bradley ar,12,88,12,0,0
County,AR Arkansas,AR Calhoun County 05013,9,Summary of All HUD Programs,1,A,Calhoun County,5013,26.0,75,16,81,8.32916666666667,13,1.625,32.1176470588235,242.625,252.1875,10404.8125,6402.96153846154,13,44,31,13,0,19,13,69,32,100,38,0,31,75,31,55,100,46,0,31,38,31,6,56,56,0,0,0,18.7833333333333,26.2541666666667,94,118.466666666667,25,50,25,44,16,24,55,A,A,A,-1,-1,AR,-1,A,calhoun ar,44,56,44,0,0
County,AR Arkansas,AR Carroll County 05015,9,Summary of All HUD Programs,1,A,Carroll County,5015,301.0,94,241,95,5.86492475066139,16,1.71509741292645,436.173139158575,226.530661847982,284.97764431524,10968.2974349838,6395.1454607285,9,44,32,8,6,17,1,82,33,93,52,6,20,69,21,49,20,24,2,40,19,39,3,2,0,1,0,1,11.4722279927292,32.2460520864704,89,67.8342089187538,57,29,14,14,17,17,57,A,A,A,-1,-1,AR,-1,A,carroll ar,98,2,98,0,0
County,AR Arkansas,AR Chicot County 05017,9,Summary of All HUD Programs,1,A,Chicot County,5017,377.0,63,252,98,5.78519376587814,15,2.0703202361872,508.664928040013,225.80273726765,376.705668909444,9605.77813884116,4639.75474467256,12,52,25,10,1,22,3,75,28,97,64,3,40,76,41,34,14,15,3,49,16,32,5,85,84,0,0,0,17.992,50.3246035523351,80,137.049477108413,49,27,24,9,34,71,51,A,A,A,-1,-1,AR,-1,A,chicot ar,15,85,15,0,0
County,AR Arkansas,AR Clark County 05019,9,Summary of All HUD Programs,1,A,Clark County,5019,549.0,87,456,95,6.686584960278,19,1.94944965811192,924.105220984311,204.381977226937,379.303464883606,9286.00604269272,4763.39873874272,21,44,20,11,4,30,3,66,25,95,67,2,42,77,42,25,28,15,18,45,16,21,3,66,65,0,0,1,15.3042652465346,45.4650247403034,97,66.8222778162569,34,39,27,20,21,27,49,A,A,A,-1,-1,AR,-1,A,clark ar,34,66,34,0,0
