gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,AR Arkansas,AR Arkansas County 05001,9,Summary of All HUD Programs,1,A,Arkansas County,5001,733.0,73,504,92,5.64786585220509,13,2.23237675440217,1255.59840551606,250.161849220978,430.553321629534,10937.7613508561,4899.60367544916,17,38,23,14,7,27,11,59,26,95,68,4,49,85,51,24,32,13,12,51,18,19,2,67,66,0,0,1,15.1596444444444,58.2080171516888,97,148.896516315808,24,35,41,22,25,41,70,A,A,A,-1,-1,AR,-1,A,arkansas ar,33,67,33,0,0
County,AR Arkansas,AR Arkansas County 05001,9,Housing Choice Vouchers,3,A,Arkansas County,5001,435.0,59,227,88,5.82466960352421,5,2.64317180616739,683.193277310924,268.991189427312,441.686098654706,10684.0660792951,4042.13833333333,18,39,20,14,9,26,19,50,24,95,71,4,63,93,64,20,48,10,7,64,19,10,1,70,70,0,0,1,22.0722222222222,68.5911894273125,100,209.792035398229,8,37,56,25,23,39,73,A,A,A,-1,-1,AR,-1,A,arkansas ar,30,70,30,0,0
County,AR Arkansas,AR Arkansas County 05001,9,Public Housing,2,A,Arkansas County,5001,116.0,89,103,100,5.57831715210356,20,2.00970873786408,207.0,244.106796116505,427.0,13020.1553398058,6478.62801932367,20,29,17,17,17,32,14,54,31,86,57,6,35,77,38,32,18,22,13,41,25,21,1,44,44,0,0,0,10.6619047619048,49.7411003236246,86,155.247191011236,39,22,39,19,19,22,68,A,A,A,-1,-1,AR,-1,A,arkansas ar,56,44,56,0,0
County,AR Arkansas,AR Arkansas County 05001,9,Mod Rehab,4,A,Arkansas County,5001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AR,-1,A,arkansas ar,-1,-1,-1,0,0
County,AR Arkansas,AR Arkansas County 05001,9,Section 8 NC/SR,5,A,Arkansas County,5001,40.0,98,39,98,4.57446224256293,16,1.83478260869565,108.205128205128,254.363844393593,505.53043478261,11617.8370709382,6331.99650785732,10,30,42,16,2,17,0,81,29,98,56,2,37,84,35,13,27,11,2,33,7,58,7,46,46,0,0,2,-1.0,58.5583829138064,100,81.9862700228835,44,28,28,16,18,35,82,A,A,A,-1,-1,AR,-1,A,arkansas ar,54,46,54,0,0
County,AR Arkansas,AR Arkansas County 05001,9,Section 236,6,A,Arkansas County,5001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AR,-1,A,arkansas ar,-1,-1,-1,0,0
County,AR Arkansas,AR Arkansas County 05001,9,Multi-Family Other,7,A,Arkansas County,5001,142.0,93,135,95,5.8222848200313,22,1.8112676056338,257.2,218.534741784038,382.084507042254,9606.63615023475,5303.81933644376,16,47,25,12,1,30,0,70,24,98,74,4,41,78,43,29,33,17,24,42,16,17,2,86,85,0,1,0,-1.0,45.3040845070423,100,62.3483568075118,33,45,22,21,36,62,61,A,A,A,-1,-1,AR,-1,A,arkansas ar,14,86,14,0,0
County,AR Arkansas,AR Arkansas County 05001,9,LIHTC,8,A,Arkansas County,5001,84.0,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AR,-1,A,arkansas ar,-1,-1,-1,0,0
County,AR Arkansas,AR Ashley County 05003,9,Summary of All HUD Programs,1,A,Ashley County,5003,480.0,91,392,96,5.55459710869225,11,1.86024406075931,764.56030897207,281.986997497519,261.32189415042,11978.394147862,6439.15193739292,1,47,31,16,6,21,2,72,31,94,57,0,38,80,37,43,29,24,9,41,16,35,3,73,73,0,0,0,9.81867045762253,69.1000692628307,89,130.948771172369,40,32,28,22,18,35,73,A,A,A,-1,-1,AR,-1,A,ashley ar,27,73,27,0,0
County,AR Arkansas,AR Ashley County 05003,9,Housing Choice Vouchers,3,A,Ashley County,5003,220.0,91,198,99,5.15498084291189,10,2.09090909090909,420.272727272726,314.545454545456,273.969230769232,12188.7777777778,5829.41545893721,0,41,36,18,5,20,1,71,31,97,57,1,48,86,47,48,51,28,5,57,19,20,2,77,77,0,0,0,10.9983333333333,74.957070707071,99,161.744897959184,18,44,38,36,19,34,72,A,A,A,-1,-1,AR,-1,A,ashley ar,23,77,23,0,0
