Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2016-12-31 00:00:00,County,AR Arkansas,"AR Arkansas County, Arkansas 05001",9,Summary of All HUD Programs,1,,Arkansas County,05001,764,68,515,100,5,21,2.1,1106,267,429,12099,5634,14,36,23,14,12,29,0,71,29,91,63,2,51,84,52,26,37,15,11,51,18,20,3,67,66,0,0,33,0,-1,1,1,0,10,65,97,136,25,35,40,24,24,41,70,,,,,,AR,,,arkansas ar,67,33,0,0
2016-12-31 00:00:00,County,AR Arkansas,"AR Arkansas County, Arkansas 05001",9,Public Housing,2,,Arkansas County,05001,116,94,109,100,5,21,1.9,207,274,333,14683,7732,12,29,23,17,19,37,-1,61,35,83,56,3,40,76,41,35,29,23,13,41,20,26,1,45,44,1,-1,55,-1,-1,-1,0,0,4,57,88,122,35,22,43,28,24,22,71,,,,,,AR,,,arkansas ar,45,55,0,0
2016-12-31 00:00:00,County,AR Arkansas,"AR Arkansas County, Arkansas 05001",9,Housing Choice Vouchers,3,,Arkansas County,05001,450,50,210,93,5,18,2.5,525,296,452,12262,4905,12,37,22,15,13,33,-1,67,28,92,63,2,65,93,66,17,50,9,7,66,19,8,1,72,71,-1,-1,28,0,-1,-1,0,0,12,78,99,199,9,37,54,29,23,38,72,,,,,,AR,,,arkansas ar,72,28,0,0
2016-12-31 00:00:00,County,AR Arkansas,"AR Arkansas County, Arkansas 05001",9,Project Based Section 8,5,,Arkansas County,05001,168,92,166,100,6,26,2.1,343,227,485,10419,5042,20,37,22,12,8,22,1,77,25,94,66,3,50,85,49,24,38,14,16,43,16,25,3,73,71,-1,1,27,-1,-1,2,2,1,-1,50,100,79,24,47,29,20,27,56,67,,,,,,AR,,,arkansas ar,73,27,0,0
2016-12-31 00:00:00,County,AR Arkansas,"AR Arkansas County, Arkansas 05001",9,202/PRAC,8,,Arkansas County,05001,16,97,16,100,7,19,1.0,16,269,250,11254,11254,-1,56,25,13,6,-1,-1,100,31,94,63,-1,-1,63,-1,100,27,31,-1,-1,6,94,25,75,75,-1,-1,25,-1,-1,-1,0,0,-1,70,100,53,100,-1,-1,-1,31,68,60,,,,,,AR,,,arkansas ar,75,25,0,0
2016-12-31 00:00:00,County,AR Arkansas,"AR Arkansas County, Arkansas 05001",9,811/PRAC,9,,Arkansas County,05001,14,96,14,100,6,21,1.1,15,245,383,10424,9729,-1,43,50,7,-1,-1,-1,100,29,100,79,-1,-1,43,-1,100,100,93,14,50,29,7,-1,71,71,-1,-1,21,-1,-1,-1,0,0,-1,89,100,63,100,-1,-1,-1,17,26,73,,,,,,AR,,,arkansas ar,71,21,8,0
2016-12-31 00:00:00,County,AR Arkansas,"AR Ashley County, Arkansas 05003",9,Summary of All HUD Programs,1,,Ashley County,05003,449,91,402,98,6,18,1.9,750,286,292,12089,6480,2,48,29,13,9,25,-1,75,31,93,59,1,38,80,37,44,35,26,9,42,18,31,3,74,74,-1,-1,26,-1,0,-1,0,0,6,72,90,128,37,33,31,24,23,36,74,,,,,,AR,,,ashley ar,74,26,0,0
2016-12-31 00:00:00,County,AR Arkansas,"AR Ashley County, Arkansas 05003",9,Public Housing,2,,Ashley County,05003,124,100,124,100,5,25,2.0,252,277,274,12832,6314,2,52,19,15,14,35,-1,65,33,87,60,-1,47,77,44,32,50,21,18,44,20,18,2,85,85,-1,-1,15,-1,-1,-1,0,0,5,65,92,105,35,34,31,17,23,41,80,,,,,,AR,,,ashley ar,85,15,0,0
2016-12-31 00:00:00,County,AR Arkansas,"AR Ashley County, Arkansas 05003",9,Housing Choice Vouchers,3,,Ashley County,05003,219,95,200,97,6,13,2.1,418,303,331,12030,5756,3,45,30,14,9,28,-1,73,30,95,61,2,48,86,47,46,53,28,7,54,20,20,1,82,82,-1,-1,19,-1,-1,-1,0,0,8,80,100,153,13,45,43,37,22,34,71,,,,,,AR,,,ashley ar,82,18,0,0
2016-12-31 00:00:00,County,AR Arkansas,"AR Ashley County, Arkansas 05003",9,Project Based Section 8,5,,Ashley County,05003,30,99,30,100,5,7,1.0,30,263,306,11777,11777,-1,43,40,17,-1,3,-1,97,34,93,43,-1,-1,73,-1,100,30,47,-1,7,17,77,10,30,27,-1,-1,70,-1,3,-1,3,0,-1,68,-1,-1,100,-1,-1,-1,26,34,68,,,,,,AR,,,ashley ar,30,70,0,0
2016-12-31 00:00:00,County,AR Arkansas,"AR Ashley County, Arkansas 05003",9,202/PRAC,8,,Ashley County,05003,64,61,38,97,7,26,1.0,39,255,159,10824,10546,-1,50,47,-1,3,-1,-1,100,31,97,55,-1,-1,79,-1,-1,8,8,-1,-1,-1,100,13,42,42,-1,-1,58,-1,-1,-1,0,0,-1,68,100,77,100,-1,-1,-1,21,32,72,,,,,,AR,,,ashley ar,42,58,0,0
