State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
AR,Arkansas County,22550,25750,28950,32150,34750,37300,39900,42450,14580,19720,24860,30000,34750,37300,39900,42450,36050,41200,46350,51450,55600,59700,63800,67950
AR,Ashley County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Baxter County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Benton County,31050,35450,39900,44300,47850,51400,54950,58500,18650,21300,24860,30000,35140,40280,45420,50560,49650,56750,63850,70900,76600,82250,87950,93600
AR,Boone County,22300,25500,28700,31850,34400,36950,39500,42050,14580,19720,24860,30000,34400,36950,39500,42050,35700,40800,45900,50950,55050,59150,63200,67300
AR,Bradley County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Calhoun County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AR,Carroll County,23350,26650,30000,33300,36000,38650,41300,44000,14580,19720,24860,30000,35140,38650,41300,44000,37300,42600,47950,53250,57550,61800,66050,70300
AR,Chicot County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Clark County,24200,27650,31100,34550,37350,40100,42850,45650,14580,19720,24860,30000,35140,40100,42850,45650,38750,44250,49800,55300,59750,64150,68600,73000
AR,Clay County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Cleburne County,22400,25600,28800,32000,34600,37150,39700,42250,14580,19720,24860,30000,34600,37150,39700,42250,35850,41000,46100,51200,55300,59400,63500,67600
AR,Cleveland County,22300,25500,28700,31850,34400,36950,39500,42050,14580,19720,24860,30000,34400,36950,39500,42050,35700,40800,45900,50950,55050,59150,63200,67300
AR,Columbia County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Conway County,22600,25800,29050,32250,34850,37450,40000,42600,14580,19720,24860,30000,34850,37450,40000,42600,36150,41300,46450,51600,55750,59900,64000,68150
AR,Craighead County,24450,27950,31450,34900,37700,40500,43300,46100,14700,19720,24860,30000,35140,40280,43300,46100,39100,44650,50250,55800,60300,64750,69200,73700
AR,Crawford County,22500,25700,28900,32100,34700,37250,39850,42400,14580,19720,24860,30000,34700,37250,39850,42400,35950,41100,46250,51350,55500,59600,63700,67800
AR,Crittenden County,28350,32400,36450,40500,43750,47000,50250,53500,17050,19720,24860,30000,35140,40280,45420,50560,45400,51850,58350,64800,70000,75200,80400,85550
AR,Cross County,23600,26950,30300,33650,36350,39050,41750,44450,14580,19720,24860,30000,35140,39050,41750,44450,37700,43100,48500,53850,58200,62500,66800,71100
AR,Dallas County,22300,25500,28700,31850,34400,36950,39500,42050,14580,19720,24860,30000,34400,36950,39500,42050,35700,40800,45900,50950,55050,59150,63200,67300
AR,Desha County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Drew County,23450,26800,30150,33450,36150,38850,41500,44200,14580,19720,24860,30000,35140,38850,41500,44200,37450,42800,48150,53500,57800,62100,66350,70650
AR,Faulkner County,29050,33200,37350,41500,44850,48150,51500,54800,17450,19950,24860,30000,35140,40280,45420,50560,46500,53150,59800,66400,71750,77050,82350,87650
AR,Franklin County,22300,25500,28700,31850,34400,36950,39500,42050,14580,19720,24860,30000,34400,36950,39500,42050,35700,40800,45900,50950,55050,59150,63200,67300
AR,Fulton County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Garland County,22400,25600,28800,32000,34600,37150,39700,42250,14580,19720,24860,30000,34600,37150,39700,42250,35850,41000,46100,51200,55300,59400,63500,67600
AR,Grant County,26550,30350,34150,37900,40950,44000,47000,50050,15950,19720,24860,30000,35140,40280,45420,50050,42450,48500,54550,60600,65450,70300,75150,80000
AR,Greene County,22850,26100,29350,32600,35250,37850,40450,43050,14580,19720,24860,30000,35140,37850,40450,43050,36550,41750,46950,52150,56350,60500,64700,68850
AR,Hempstead County,22300,25500,28700,31850,34400,36950,39500,42050,14580,19720,24860,30000,34400,36950,39500,42050,35700,40800,45900,50950,55050,59150,63200,67300
AR,Hot Spring County,22300,25500,28700,31850,34400,36950,39500,42050,14580,19720,24860,30000,34400,36950,39500,42050,35700,40800,45900,50950,55050,59150,63200,67300
AR,Howard County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Independence County,22450,25650,28850,32050,34650,37200,39750,42350,14580,19720,24860,30000,34650,37200,39750,42350,35950,41050,46200,51300,55450,59550,63650,67750
AR,Izard County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Jackson County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Jefferson County,22300,25500,28700,31850,34400,36950,39500,42050,14580,19720,24860,30000,34400,36950,39500,42050,35700,40800,45900,50950,55050,59150,63200,67300
AR,Johnson County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Lafayette County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Lawrence County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Lee County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Lincoln County,22300,25500,28700,31850,34400,36950,39500,42050,14580,19720,24860,30000,34400,36950,39500,42050,35700,40800,45900,50950,55050,59150,63200,67300
AR,Little River County,23700,27100,30500,33850,36600,39300,42000,44700,14580,19720,24860,30000,35140,39300,42000,44700,37950,43350,48750,54150,58500,62850,67150,71500
AR,Logan County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Lonoke County,29050,33200,37350,41500,44850,48150,51500,54800,17450,19950,24860,30000,35140,40280,45420,50560,46500,53150,59800,66400,71750,77050,82350,87650
AR,Madison County,31050,35450,39900,44300,47850,51400,54950,58500,18650,21300,24860,30000,35140,40280,45420,50560,49650,56750,63850,70900,76600,82250,87950,93600
AR,Marion County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Miller County,25250,28850,32450,36050,38950,41850,44750,47600,15200,19720,24860,30000,35140,40280,44750,47600,40400,46150,51900,57650,62300,66900,71500,76100
AR,Mississippi County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Monroe County,22300,25500,28700,31850,34400,36950,39500,42050,14580,19720,24860,30000,34400,36950,39500,42050,35700,40800,45900,50950,55050,59150,63200,67300
AR,Montgomery County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Nevada County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Newton County,22300,25500,28700,31850,34400,36950,39500,42050,14580,19720,24860,30000,34400,36950,39500,42050,35700,40800,45900,50950,55050,59150,63200,67300
AR,Ouachita County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Perry County,29050,33200,37350,41500,44850,48150,51500,54800,17450,19950,24860,30000,35140,40280,45420,50560,46500,53150,59800,66400,71750,77050,82350,87650
AR,Phillips County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Pike County,22300,25500,28700,31850,34400,36950,39500,42050,14580,19720,24860,30000,34400,36950,39500,42050,35700,40800,45900,50950,55050,59150,63200,67300
AR,Poinsett County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Polk County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Pope County,22400,25600,28800,32000,34600,37150,39700,42250,14580,19720,24860,30000,34600,37150,39700,42250,35850,41000,46100,51200,55300,59400,63500,67600
AR,Prairie County,22400,25600,28800,32000,34600,37150,39700,42250,14580,19720,24860,30000,34600,37150,39700,42250,35850,41000,46100,51200,55300,59400,63500,67600
AR,Pulaski County,29050,33200,37350,41500,44850,48150,51500,54800,17450,19950,24860,30000,35140,40280,45420,50560,46500,53150,59800,66400,71750,77050,82350,87650
AR,Randolph County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,St. Francis County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Saline County,29050,33200,37350,41500,44850,48150,51500,54800,17450,19950,24860,30000,35140,40280,45420,50560,46500,53150,59800,66400,71750,77050,82350,87650
AR,Scott County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Searcy County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Sebastian County,22500,25700,28900,32100,34700,37250,39850,42400,14580,19720,24860,30000,34700,37250,39850,42400,35950,41100,46250,51350,55500,59600,63700,67800
AR,Sevier County,22700,25950,29200,32400,35000,37600,40200,42800,14580,19720,24860,30000,35000,37600,40200,42800,36300,41450,46650,51800,55950,60100,64250,68400
AR,Sharp County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Stone County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Union County,23100,26400,29700,33000,35650,38300,40950,43600,14580,19720,24860,30000,35140,38300,40950,43600,37000,42250,47550,52800,57050,61250,65500,69700
AR,Van Buren County,22200,25400,28550,31700,34250,36800,39350,41850,14580,19720,24860,30000,34250,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950
AR,Washington County,31050,35450,39900,44300,47850,51400,54950,58500,18650,21300,24860,30000,35140,40280,45420,50560,49650,56750,63850,70900,76600,82250,87950,93600
AR,White County,22600,25800,29050,32250,34850,37450,40000,42600,14580,19720,24860,30000,34850,37450,40000,42600,36100,41250,46400,51550,55700,59800,63950,68050
AR,Woodruff County,22300,25500,28700,31850,34400,36950,39500,42050,14580,19720,24860,30000,34400,36950,39500,42050,35700,40800,45900,50950,55050,59150,63200,67300
AR,Yell County,22300,25500,28700,31850,34400,36950,39500,42050,14580,19720,24860,30000,34400,36950,39500,42050,35700,40800,45900,50950,55050,59150,63200,67300
