sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Apache County,4001,-1,-1,114,-1,4,14,3.3,380,228,620,10.5,3.2,18,39,24,12,7,18,26,53,25,85,58,41,19,80,53,7,7,4,6,47,10,37,4,76,0,68,0,8,-2,60,72,52,29,12,59,10,6,3,18,-1,-1,-1,-1,-1,AZ,-1,-1,24,76,24,0,0
9,1,All HUD,-1,Cochise County,4003,-1,-1,844,-1,6,19,2.2,1863,208,386,8.9,4.1,19,49,22,7,3,22,18,58,20,81,61,14,32,79,41,30,26,13,7,43,13,37,4,65,5,0,3,57,23,53,94,63,38,31,31,15,52,23,43,-1,-1,-1,-1,-1,AZ,-1,-1,35,65,35,0,0
9,1,All HUD,-1,Coconino County,4005,-1,-1,771,-1,4,23,2.7,2072,282,509,15.5,5.8,13,29,21,13,24,47,4,44,31,85,59,19,41,82,55,30,36,13,7,63,14,16,2,62,7,32,0,23,15,65,66,34,24,32,44,13,33,18,36,-1,-1,-1,-1,-1,AZ,-1,-1,38,62,38,0,0
9,1,All HUD,-1,Gila County,4007,-1,-1,111,-1,4,21,2.3,258,238,485,10.1,4.4,12,42,33,6,6,20,15,64,25,80,49,13,34,80,39,35,26,15,12,39,11,39,3,41,1,1,2,37,41,46,71,26,39,37,24,10,29,11,54,-1,-1,-1,-1,-1,AZ,-1,-1,59,41,59,0,0
9,1,All HUD,-1,Graham County,4009,-1,-1,31,-1,7,35,1.0,32,198,569,8.8,8.5,0,81,16,3,0,0,0,100,24,77,52,0,0,45,0,100,0,6,0,6,0,94,3,48,0,0,0,48,-2,33,0,0,100,0,0,0,43,13,71,-1,-1,-1,-1,-1,AZ,-1,-1,52,48,52,0,0
9,1,All HUD,-1,Greenlee County,4011,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,1,All HUD,-1,La Paz County,4012,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,1,All HUD,-1,Maricopa County,4013,-1,-1,19796,-1,5,16,2.4,48084,270,513,11.7,4.9,16,39,22,10,13,23,13,61,23,96,76,14,33,79,43,39,29,17,6,50,14,31,4,59,25,2,2,31,22,63,63,19,43,25,32,8,52,22,39,-1,-1,-1,-1,-1,AZ,-1,-1,41,59,41,0,0
9,1,All HUD,-1,Mohave County,4015,-1,-1,405,-1,5,18,1.7,701,257,510,11.2,6.5,5,46,31,13,5,15,4,79,24,99,77,8,17,76,22,71,32,33,1,36,16,46,8,11,1,2,0,7,30,48,67,0,51,30,19,20,16,12,50,-1,-1,-1,-1,-1,AZ,-1,-1,89,11,89,0,0
9,1,All HUD,-1,Navajo County,4017,-1,-1,216,-1,5,33,2.7,587,225,459,10.6,3.9,23,33,25,11,8,31,11,52,27,84,54,18,43,86,56,28,11,9,11,50,18,21,1,50,4,34,0,12,33,33,75,16,31,36,34,8,53,22,49,-1,-1,-1,-1,-1,AZ,-1,-1,50,50,50,0,0
9,1,All HUD,-1,Pima County,4019,-1,-1,8057,-1,5,23,2.5,19759,236,415,10.4,4.3,21,41,19,11,8,26,11,58,22,97,75,14,36,80,47,34,41,16,7,52,16,25,3,68,11,2,1,53,18,71,67,6,42,30,28,6,56,24,35,-1,-1,-1,-1,-1,AZ,-1,-1,32,68,32,0,0
9,1,All HUD,-1,Pinal County,4021,-1,-1,1031,-1,5,37,2.5,2620,260,429,11.4,4.5,15,40,23,11,12,31,10,58,22,98,77,16,38,82,48,39,41,17,9,52,15,24,2,55,14,4,0,37,25,40,89,34,22,37,41,23,49,18,39,-1,-1,-1,-1,-1,AZ,-1,-1,45,55,45,0,0
9,1,All HUD,-1,Santa Cruz County,4023,-1,-1,421,-1,5,15,2.7,1136,199,317,9.4,3.5,19,45,21,11,3,39,8,50,22,88,68,21,33,82,47,12,2,5,2,47,15,36,5,97,0,0,0,97,26,83,88,0,35,28,38,6,93,33,44,-1,-1,-1,-1,-1,AZ,-1,-1,3,97,3,0,0
9,1,All HUD,-1,Yavapai County,4025,-1,-1,336,-1,5,14,1.2,415,244,447,10.5,8.6,2,51,37,7,3,5,2,92,27,86,51,2,6,72,7,71,9,19,0,15,8,77,11,8,1,1,2,4,29,55,60,17,85,8,7,5,15,12,48,-1,-1,-1,-1,-1,AZ,-1,-1,92,8,92,0,0
9,1,All HUD,-1,Yuma County,4027,-1,-1,2122,-1,6,26,3.0,6393,271,473,12.1,4.0,15,32,25,15,14,48,15,37,32,84,52,25,43,86,62,15,23,7,8,60,11,21,2,77,3,0,0,74,20,53,94,36,21,31,47,8,53,17,36,-1,-1,-1,-1,-1,AZ,-1,-1,23,77,23,0,0
9,1,All HUD,-1,Missing County,4999,-1,-1,1,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,3,VO,-1,Apache County,4001,-1,-1,37,-1,1,0,4.6,171,253,542,12.3,2.7,27,30,19,8,16,24,38,27,24,84,62,65,19,89,78,3,14,1,0,70,11,19,0,97,0,97,0,0,-2,76,100,115,3,5,92,16,0,0,0,-1,-1,-1,-1,-1,AZ,-1,-1,3,97,3,0,0
9,3,VO,-1,Cochise County,4003,-1,-1,478,-1,6,18,2.3,1080,214,371,8.9,4.0,18,54,18,6,4,23,17,58,18,73,60,15,31,79,43,40,49,19,5,50,19,26,2,67,6,1,2,59,26,52,95,108,29,36,36,25,55,25,44,-1,-1,-1,-1,-1,AZ,-1,-1,33,67,33,0,0
9,3,VO,-1,Coconino County,4005,-1,-1,354,-1,4,26,2.5,884,279,638,12.3,5.0,17,33,24,12,14,38,5,52,25,94,68,14,44,81,53,40,53,18,7,65,16,13,0,53,6,24,1,23,17,50,83,118,23,44,34,17,32,16,38,-1,-1,-1,-1,-1,AZ,-1,-1,47,53,47,0,0
9,3,VO,-1,Gila County,4007,-1,-1,57,-1,4,16,2.9,165,253,439,10.2,3.5,14,49,19,9,9,19,25,54,24,82,61,18,46,84,53,40,90,19,5,61,16,18,0,54,0,2,0,53,41,40,93,135,16,42,42,18,30,10,54,-1,-1,-1,-1,-1,AZ,-1,-1,46,54,46,0,0
9,3,VO,-1,Graham County,4009,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,3,VO,-1,Greenlee County,4011,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,3,VO,-1,La Paz County,4012,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,3,VO,-1,Maricopa County,4013,-1,-1,10359,-1,5,13,2.8,28873,312,607,12.5,4.5,16,37,20,11,16,27,15,53,23,95,74,17,41,85,55,40,59,19,4,64,16,17,1,63,31,2,1,29,24,67,88,113,28,31,42,10,44,16,43,-1,-1,-1,-1,-1,AZ,-1,-1,37,63,37,0,0
9,3,VO,-1,Mohave County,4015,-1,-1,299,-1,5,19,2.0,592,263,493,11.2,5.6,6,49,26,13,6,21,6,71,23,98,80,11,23,76,30,70,65,37,1,49,21,28,3,13,2,3,0,8,30,42,91,69,34,40,26,28,16,13,44,-1,-1,-1,-1,-1,AZ,-1,-1,87,13,87,0,0
9,3,VO,-1,Navajo County,4017,-1,-1,78,-1,5,51,2.9,225,246,376,10.9,3.9,14,38,28,12,8,26,9,60,26,79,44,13,47,87,56,45,21,14,8,56,18,18,0,51,9,22,0,21,37,27,86,86,29,25,46,12,40,17,43,-1,-1,-1,-1,-1,AZ,-1,-1,49,51,49,0,0
9,3,VO,-1,Pima County,4019,-1,-1,4877,-1,5,26,2.7,13034,249,465,10.5,4.0,24,37,19,11,9,30,12,51,22,96,75,17,42,85,55,32,74,16,7,60,17,16,2,72,13,2,1,56,20,76,87,94,34,35,31,7,54,21,38,-1,-1,-1,-1,-1,AZ,-1,-1,28,72,28,0,0
9,3,VO,-1,Pinal County,4021,-1,-1,634,-1,5,37,2.6,1638,292,454,12.1,4.7,12,37,24,12,14,31,7,59,23,98,74,18,37,84,50,45,48,20,7,56,17,20,1,53,19,3,0,30,31,35,96,87,14,39,47,31,44,17,39,-1,-1,-1,-1,-1,AZ,-1,-1,47,53,47,0,0
9,3,VO,-1,Santa Cruz County,4023,-1,-1,178,-1,5,15,2.3,409,221,348,9.5,4.2,16,48,20,14,2,37,5,54,24,91,69,16,33,85,45,17,3,8,1,44,17,38,5,95,0,0,0,95,43,71,98,74,38,34,28,5,91,31,45,-1,-1,-1,-1,-1,AZ,-1,-1,5,95,5,0,0
9,3,VO,-1,Yavapai County,4025,-1,-1,75,-1,4,9,1.9,145,304,507,11.7,6.1,7,56,17,8,12,24,11,64,27,83,67,9,28,77,33,63,75,34,1,60,23,16,1,9,3,0,0,7,29,57,87,107,39,32,29,21,14,11,52,-1,-1,-1,-1,-1,AZ,-1,-1,91,9,91,0,0
9,3,VO,-1,Yuma County,4027,-1,-1,1491,-1,6,27,3.0,4542,282,481,12.1,4.0,16,31,23,15,15,51,16,33,32,84,53,25,47,86,66,16,35,8,10,63,13,14,1,79,4,0,0,75,22,49,96,106,16,35,48,10,48,15,36,-1,-1,-1,-1,-1,AZ,-1,-1,21,79,21,0,0
9,3,VO,-1,Missing County,4999,-1,-1,1,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Apache County,4001,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Cochise County,4003,-1,-1,137,-1,3,34,2.9,397,157,539,7.4,2.6,34,45,15,5,1,28,34,34,17,95,82,18,49,74,57,9,24,5,12,55,9,24,1,92,1,0,0,91,10,43,100,95,23,26,52,3,55,25,44,-1,-1,-1,-1,-1,AZ,-1,-1,8,92,8,0,0
9,4,MR,-1,Coconino County,4005,-1,-1,11,-1,3,64,1.0,11,172,399,7.6,7.6,0,91,9,0,0,0,0,100,20,100,100,0,0,9,0,100,100,100,0,82,9,9,0,27,9,18,0,0,0,30,0,0,100,0,0,0,32,16,38,-1,-1,-1,-1,-1,AZ,-1,-1,73,27,73,0,0
9,4,MR,-1,Gila County,4007,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Graham County,4009,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Greenlee County,4011,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,La Paz County,4012,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Maricopa County,4013,-1,-1,112,-1,6,42,1.1,118,155,217,7.5,7.2,34,53,12,2,0,15,7,57,14,100,96,1,1,29,2,62,67,59,4,53,28,16,1,38,17,12,2,7,3,27,4,2,96,4,0,1,44,16,43,-1,-1,-1,-1,-1,AZ,-1,-1,62,38,62,0,0
9,4,MR,-1,Mohave County,4015,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Navajo County,4017,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Pima County,4019,-1,-1,106,-1,2,24,1.1,114,185,328,7.9,7.4,23,60,13,3,1,7,0,81,19,99,91,0,0,38,0,85,100,87,1,40,43,16,1,46,11,0,1,34,14,53,29,8,92,8,0,2,54,21,38,-1,-1,-1,-1,-1,AZ,-1,-1,54,46,54,0,0
9,4,MR,-1,Pinal County,4021,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Santa Cruz County,4023,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Yavapai County,4025,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Yuma County,4027,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,4,MR,-1,Missing County,4999,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,6,S236,-1,Apache County,4001,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,7,MF/Other,-1,Apache County,4001,0,0,4,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,6,S236,-1,Cochise County,4003,0,0,1,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,6,S236,-1,Coconino County,4005,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,7,MF/Other,-1,Coconino County,4005,0,0,4,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,6,S236,-1,Gila County,4007,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,7,MF/Other,-1,Gila County,4007,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,6,S236,-1,Graham County,4009,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,7,MF/Other,-1,Graham County,4009,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,5,S8 NC/SR,-1,Greenlee County,4011,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,6,S236,-1,Greenlee County,4011,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,7,MF/Other,-1,Greenlee County,4011,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,5,S8 NC/SR,-1,La Paz County,4012,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,6,S236,-1,La Paz County,4012,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
9,7,MF/Other,-1,La Paz County,4012,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,AZ,-1,-1,-4,-4,-4,0,0
