gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,AZ Arizona,AZ Apache County 04001,9,Summary of All HUD Programs,1,A,Apache County,4001,101.0,91,95,95,7.20344659715652,21,3.0058479494293,313.19799820063,254.026184255173,638.688976125581,10341.9739569845,3406.84312272586,8,54,22,8,8,11,35,53,27,91,69,23,31,78,44,13,8,4,8,41,12,39,4,73,0,69,0,4,-1.0,61.878874319051,69,113.873775525957,30,15,55,14,32,56,57,A,A,A,-1,-1,AZ,-1,A,apache az,27,73,27,0,0
County,AZ Arizona,AZ Cochise County 04003,9,Summary of All HUD Programs,1,A,Cochise County,4003,1238.0,84,921,98,6.06906254613297,13,2.18039477833533,2016.34659972303,222.812000439487,480.001251444712,9799.51952544249,4489.10506986234,18,44,24,8,7,18,14,67,24,96,75,4,39,78,39,35,30,16,4,41,18,37,4,63,7,1,3,55,19.5130344324502,58.539608814735,94,113.957737384051,36,33,31,18,25,56,45,A,A,A,-1,-1,AZ,-1,A,cochise az,37,63,37,0,0
County,AZ Arizona,AZ Coconino County 04005,9,Summary of All HUD Programs,1,A,Coconino County,4005,814.0,95,770,97,4.92931820622774,9,2.61174079969162,2019.88631180441,311.352043461871,624.785779423231,14447.519332042,5519.32912870145,14,29,21,15,22,35,1,64,26,91,68,9,50,81,52,31,53,16,6,60,16,18,2,61,6,33,1,22,18.7218459093419,69.7153575010448,76,102.740398437086,25,34,41,13,20,35,38,A,A,A,-1,-1,AZ,-1,A,coconino az,39,61,39,0,0
County,AZ Arizona,AZ Gila County 04007,9,Summary of All HUD Programs,1,A,Gila County,4007,114.0,85,98,96,3.44096847656718,7,2.05758463040016,211.931216931217,258.411183027688,557.337494220988,10636.9625776956,5169.63551366871,11,39,33,13,4,12,9,75,27,97,61,11,25,81,30,41,23,19,12,27,19,43,3,38,1,2,0,39,-1.0,51.1006010171058,65,123.278368794326,51,30,20,8,12,30,56,A,A,A,-1,-1,AZ,-1,A,gila az,62,38,62,0,0
County,AZ Arizona,AZ Graham County 04009,9,Summary of All HUD Programs,1,A,Graham County,4009,52.0,85,40,89,6.68236627788009,16,1.48596685082873,67.4272980501393,256.53898096992,573.155801104972,10301.7447759361,6932.6881485888,5,48,38,7,2,7,5,89,30,95,55,2,14,66,16,66,17,24,0,18,15,67,3,28,0,2,0,26,-1.0,39.8775445058318,34,113.066666666667,80,9,11,7,14,40,68,A,A,A,-1,-1,AZ,-1,A,graham az,72,28,72,0,0
County,AZ Arizona,AZ Greenlee County 04011,9,Summary of All HUD Programs,1,A,Greenlee County,4011,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AZ,-1,A,greenlee az,-1,-1,-1,0,0
County,AZ Arizona,AZ La Paz County 04012,9,Summary of All HUD Programs,1,A,Paz County,4012,1.0,100,1,100,2.0,-4,-4.0,-4.0,-4.0,-4.0,-4.0,11471.0,-4,-4,-4,-4,-4,-4,-4,-4,64,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,-1.0,36.5666666666667,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,AZ,-1,A,paz az,0,100,0,0,0
County,AZ Arizona,AZ Maricopa County 04013,9,Summary of All HUD Programs,1,A,Maricopa County,4013,23434.0,91,21559,97,5.95221772730228,10,2.43236134276506,51727.5584195413,271.834752872903,632.376696281377,11107.2339332508,4559.64760155182,19,36,23,11,11,17,14,68,20,98,81,5,39,77,40,39,32,18,3,49,17,32,4,62,28,3,2,31,25.4927026620813,72.8913305308457,64,152.095010618361,44,24,32,7,22,53,40,A,A,A,-1,-1,AZ,-1,A,maricopa az,38,62,38,0,0
County,AZ Arizona,AZ Mohave County 04015,9,Summary of All HUD Programs,1,A,Mohave County,4015,447.0,99,480,100,6.45996100741296,6,1.57769844118283,711.384227129336,269.351155212952,555.949512537658,11994.1250332456,7586.38707003896,6,36,36,15,7,7,6,87,28,96,61,4,16,76,17,72,29,34,1,27,19,53,8,13,2,2,0,9,36.7111111111111,62.3727582810966,69,86.5414906073412,55,25,20,25,12,16,52,A,A,A,-1,-1,AZ,-1,A,mohave az,87,13,87,0,0
County,AZ Arizona,AZ Navajo County 04017,9,Summary of All HUD Programs,1,A,Navajo County,4017,247.0,93,233,98,5.20406360318313,11,2.45470687488781,584.409059829061,246.862200323101,535.98747083109,10271.867465087,4153.81356519684,19,36,24,14,7,21,15,62,28,93,63,7,45,81,47,36,38,18,8,47,24,20,0,43,3,30,0,12,32.8521586642956,45.4795930832285,79,106.622201663012,26,37,38,18,23,53,53,A,A,A,-1,-1,AZ,-1,A,navajo az,57,43,57,0,0
County,AZ Arizona,AZ No county code 04999,9,Summary of All HUD Programs,1,A,Missing County,4999,1.0,92,1,100,1.03333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8328.0,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,40.0333333333333,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,AZ,-1,A,nan az,100,0,100,0,0
County,AZ Arizona,AZ Pima County 04019,9,Summary of All HUD Programs,1,A,Pima County,4019,8940.0,96,8523,99,5.4951968154652,12,2.42880857476672,20225.6997868276,243.695972115967,510.178472458737,10177.4966247673,4188.12430818199,22,37,21,11,9,21,4,74,21,98,79,5,42,78,43,33,42,17,5,50,18,28,3,67,13,4,1,53,20.8599995421168,77.6869007850295,65,121.045213353598,41,29,30,7,24,55,36,A,A,A,-1,-1,AZ,-1,A,pima az,33,67,33,0,0
