State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
AZ,Apache County,16500,18850,21200,23550,25450,27350,29250,31100,12060,16240,20420,23550,25450,27350,29250,31100,26400,30200,33950,37700,40750,43750,46750,49800
AZ,Cochise County,19600,22400,25200,27950,30200,32450,34700,36900,12060,16240,20420,24600,28780,32450,34700,36900,31300,35800,40250,44700,48300,51900,55450,59050
AZ,Coconino County,22000,25150,28300,31400,33950,36450,38950,41450,13200,16240,20420,24600,28780,32960,37140,41320,35200,40200,45250,50250,54300,58300,62350,66350
AZ,Gila County,17850,20400,22950,25500,27550,29600,31650,33700,12060,16240,20420,24600,27550,29600,31650,33700,28600,32650,36750,40800,44100,47350,50600,53900
AZ,Graham County,19200,21950,24700,27400,29600,31800,34000,36200,12060,16240,20420,24600,28780,31800,34000,36200,30700,35100,39500,43850,47400,50900,54400,57900
AZ,Greenlee County,18900,21600,24300,27000,29200,31350,33500,35650,12060,16240,20420,24600,28780,31350,33500,35650,30250,34600,38900,43200,46700,50150,53600,57050
AZ,La Paz County,16500,18850,21200,23550,25450,27350,29250,31100,12060,16240,20420,23550,25450,27350,29250,31100,26400,30200,33950,37700,40750,43750,46750,49800
AZ,Maricopa County,23200,26500,29800,33100,35750,38400,41050,43700,13900,16240,20420,24600,28780,32960,37140,41320,37100,42400,47700,52950,57200,61450,65700,69900
AZ,Mohave County,16500,18850,21200,23550,25450,27350,29250,31100,12060,16240,20420,23550,25450,27350,29250,31100,26400,30200,33950,37700,40750,43750,46750,49800
AZ,Navajo County,16500,18850,21200,23550,25450,27350,29250,31100,12060,16240,20420,23550,25450,27350,29250,31100,26400,30200,33950,37700,40750,43750,46750,49800
AZ,Pima County,20800,23750,26700,29650,32050,34400,36800,39150,12500,16240,20420,24600,28780,32960,36800,39150,33250,38000,42750,47450,51250,55050,58850,62650
AZ,Pinal County,23200,26500,29800,33100,35750,38400,41050,43700,13900,16240,20420,24600,28780,32960,37140,41320,37100,42400,47700,52950,57200,61450,65700,69900
AZ,Santa Cruz County,16500,18850,21200,23550,25450,27350,29250,31100,12060,16240,20420,23550,25450,27350,29250,31100,26400,30200,33950,37700,40750,43750,46750,49800
AZ,Yavapai County,19200,21950,24700,27400,29600,31800,34000,36200,12060,16240,20420,24600,28780,31800,34000,36200,30700,35100,39500,43850,47400,50900,54400,57900
AZ,Yuma County,17750,20300,22850,25350,27400,29450,31450,33500,12060,16240,20420,24600,27400,29450,31450,33500,28400,32450,36500,40550,43800,47050,50300,53550
