sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Alameda County,6001,-1,-1,18215,-1,6,10,2.2,39164,390,872,15.6,7.2,6,24,32,17,21,24,12,63,22,96,81,15,21,73,30,34,25,17,3,40,15,42,6,74,41,3,21,9,88,83,80,21,49,28,23,8,67,17,30,-1,-1,-1,-1,-1,CA,-1,-1,26,74,26,0,0
9,1,All HUD,-1,Alpine County,6003,-1,-1,3,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,CA,-1,-1,-4,-4,-4,0,0
9,1,All HUD,-1,Amador County,6005,-1,-1,157,-1,5,14,1.9,302,334,568,13.6,7.1,4,21,40,17,17,24,8,68,26,94,66,11,28,85,38,38,20,20,8,33,27,31,6,10,0,3,0,7,25,61,98,45,48,40,12,9,11,8,65,-1,-1,-1,-1,-1,CA,-1,-1,90,10,90,0,0
9,1,All HUD,-1,Butte County,6007,-1,-1,2694,-1,4,26,2.5,6696,331,409,13.6,5.5,6,22,41,14,16,22,13,64,31,93,56,22,26,75,39,47,55,21,9,50,18,22,3,32,6,2,11,13,34,53,99,57,38,34,28,12,24,27,36,-1,-1,-1,-1,-1,CA,-1,-1,68,32,68,0,0
9,1,All HUD,-1,Calaveras County,6009,-1,-1,89,-1,6,9,2.2,193,398,553,14.0,6.4,3,25,47,9,16,24,4,71,22,69,53,19,15,78,28,50,36,25,1,48,22,28,3,10,1,1,0,8,-2,86,85,32,43,31,26,15,9,11,50,-1,-1,-1,-1,-1,CA,-1,-1,90,10,90,0,0
9,1,All HUD,-1,Colusa County,6011,-1,-1,125,-1,7,19,2.4,303,306,415,12.1,5.0,6,34,32,21,6,29,10,60,18,61,43,20,29,73,40,26,15,10,10,46,12,31,2,38,1,0,1,37,18,54,100,55,45,26,30,8,51,15,53,-1,-1,-1,-1,-1,CA,-1,-1,62,38,62,0,0
9,1,All HUD,-1,Contra Costa County,6013,-1,-1,13041,-1,5,6,2.4,30928,418,826,16.0,6.7,7,24,30,15,24,28,12,58,22,96,80,17,30,79,41,33,46,19,3,51,16,29,4,68,48,1,9,10,30,90,90,33,35,32,33,14,59,13,46,-1,-1,-1,-1,-1,CA,-1,-1,32,68,32,0,0
9,1,All HUD,-1,Del Norte County,6015,-1,-1,593,-1,5,28,2.3,1389,360,377,13.3,5.7,4,25,42,15,14,21,18,61,29,85,53,20,25,77,40,50,63,25,7,50,21,22,2,21,1,9,7,4,13,53,85,1,32,45,24,17,25,24,38,-1,-1,-1,-1,-1,CA,-1,-1,79,21,79,0,0
9,1,All HUD,-1,El Dorado County,6017,-1,-1,731,-1,6,12,1.9,1354,336,542,13.9,7.5,3,22,43,18,15,17,8,74,27,96,70,9,25,78,31,53,16,23,4,40,14,43,7,17,1,2,1,13,21,62,98,74,50,36,14,13,19,11,49,-1,-1,-1,-1,-1,CA,-1,-1,83,17,83,0,0
9,1,All HUD,-1,Fresno County,6019,-1,-1,17553,-1,5,24,3.0,52435,326,455,12.5,4.2,8,36,28,15,12,30,26,41,27,95,67,24,41,80,56,22,44,10,13,59,13,15,1,83,27,1,7,47,12,59,94,42,24,41,35,9,71,32,37,-1,-1,-1,-1,-1,CA,-1,-1,17,83,17,0,0
9,1,All HUD,-1,Glenn County,6021,-1,-1,196,-1,5,20,2.1,403,320,445,12.4,6.0,7,29,39,17,9,17,14,67,25,79,47,10,27,79,33,43,16,18,13,37,15,34,7,22,2,2,4,14,10,39,99,44,48,37,14,5,37,21,53,-1,-1,-1,-1,-1,CA,-1,-1,78,22,78,0,0
9,1,All HUD,-1,Humboldt County,6023,-1,-1,1675,-1,5,9,2.1,3508,341,445,13.9,6.6,4,21,43,17,15,20,8,71,31,84,51,16,24,76,34,52,41,25,5,47,18,30,5,19,3,5,5,5,22,81,78,25,43,35,22,12,19,23,39,-1,-1,-1,-1,-1,CA,-1,-1,81,19,81,0,0
9,1,All HUD,-1,Imperial County,6025,-1,-1,2951,-1,6,15,2.7,8012,320,353,13.2,4.8,5,29,37,15,14,32,17,50,25,77,54,27,26,76,45,21,35,11,4,48,18,30,2,95,3,0,0,92,26,83,97,54,35,37,28,7,84,26,39,-1,-1,-1,-1,-1,CA,-1,-1,5,95,5,0,0
9,1,All HUD,-1,Inyo County,6027,-1,-1,23,-1,6,22,1.8,41,400,393,13.3,7.5,4,26,43,9,17,22,0,78,26,83,52,13,13,70,22,62,40,37,4,35,17,43,0,4,0,0,0,4,25,61,96,30,43,39,17,13,33,15,34,-1,-1,-1,-1,-1,CA,-1,-1,96,4,96,0,0
9,1,All HUD,-1,Kern County,6029,-1,-1,4863,-1,5,22,2.7,13103,320,407,13.4,5.0,6,27,36,17,14,29,20,50,30,93,61,19,37,81,49,29,40,13,9,54,15,22,1,71,31,2,1,38,22,58,93,51,29,38,33,13,64,30,41,-1,-1,-1,-1,-1,CA,-1,-1,29,71,29,0,0
9,1,All HUD,-1,Kings County,6031,-1,-1,1152,-1,6,23,2.9,3314,319,442,12.9,4.5,8,29,33,16,14,30,24,45,24,78,53,27,36,80,55,28,53,13,14,56,14,17,1,72,18,1,2,52,25,51,98,65,25,34,41,9,63,26,48,-1,-1,-1,-1,-1,CA,-1,-1,28,72,28,0,0
9,1,All HUD,-1,Lake County,6033,-1,-1,453,-1,5,19,1.8,798,357,499,11.8,6.7,5,28,48,13,6,11,9,78,27,86,61,7,23,76,27,61,24,27,5,36,18,41,6,26,11,4,1,9,11,54,99,64,56,26,17,9,19,21,37,-1,-1,-1,-1,-1,CA,-1,-1,74,26,74,0,0
9,1,All HUD,-1,Lassen County,6035,-1,-1,142,-1,5,15,1.8,250,362,457,13.1,7.5,0,23,49,16,11,8,10,82,30,83,47,14,11,83,22,45,11,15,4,23,9,64,4,8,1,2,1,4,32,47,100,83,65,23,13,8,21,16,46,-1,-1,-1,-1,-1,CA,-1,-1,92,8,92,0,0
9,1,All HUD,-1,Los Angeles County,6037,-1,-1,121298,-1,7,6,2.2,263732,347,651,13.7,6.3,7,28,33,17,16,25,13,62,24,96,75,15,22,76,33,28,38,18,2,40,16,41,5,76,38,0,11,27,44,94,89,25,48,33,19,8,80,27,23,-1,-1,-1,-1,-1,CA,-1,-1,24,76,24,0,0
9,1,All HUD,-1,Madera County,6039,-1,-1,1084,-1,3,20,3.0,3306,358,391,14.3,4.7,4,25,34,18,19,38,18,44,31,92,57,28,35,77,51,20,53,11,6,57,14,24,2,76,11,0,0,65,28,63,98,66,28,25,47,9,74,34,44,-1,-1,-1,-1,-1,CA,-1,-1,24,76,24,0,0
9,1,All HUD,-1,Marin County,6041,-1,-1,3347,-1,6,10,1.8,5940,369,872,15.6,8.8,6,22,36,15,21,25,6,68,17,98,89,10,18,69,24,51,7,21,2,39,24,35,5,38,18,1,9,10,19,96,81,34,55,28,17,11,31,10,39,-1,-1,-1,-1,-1,CA,-1,-1,62,38,62,0,0
9,1,All HUD,-1,Mariposa County,6043,-1,-1,126,-1,5,24,1.9,237,376,428,14.0,7.5,6,12,48,21,13,24,7,67,29,73,40,9,24,78,28,53,68,35,2,46,22,30,2,10,0,7,0,2,11,60,100,-2,35,48,17,22,14,14,47,-1,-1,-1,-1,-1,CA,-1,-1,90,10,90,0,0
9,1,All HUD,-1,Mendocino County,6045,-1,-1,1266,-1,5,11,1.9,2438,327,475,13.0,6.8,5,25,44,14,12,21,10,68,28,82,52,14,20,75,29,49,32,24,4,41,20,35,5,16,2,2,1,11,21,73,98,49,48,33,18,12,29,19,35,-1,-1,-1,-1,-1,CA,-1,-1,84,16,84,0,0
9,1,All HUD,-1,Merced County,6047,-1,-1,3469,-1,5,24,3.0,10558,362,440,14.0,4.6,8,27,30,16,18,29,21,47,30,92,58,27,36,76,51,25,51,12,10,59,13,18,2,74,16,1,10,47,16,53,94,55,26,31,43,10,65,27,41,-1,-1,-1,-1,-1,CA,-1,-1,26,74,26,0,0
9,1,All HUD,-1,Modoc County,6049,-1,-1,132,-1,5,20,2.0,267,241,402,11.0,5.4,16,31,33,15,5,32,15,45,21,86,65,11,36,80,41,28,24,14,25,41,18,16,1,19,0,7,0,12,8,36,100,44,15,78,7,26,20,24,51,-1,-1,-1,-1,-1,CA,-1,-1,81,19,81,0,0
