gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,CA California,CA Alameda County 06001,9,Summary of All HUD Programs,1,A,Alameda County,6001,33684.0,97,27903,84,8.06070338769542,4,2.23270052140053,70788.7430473857,399.45460432853,1000.02333562207,15712.5555624533,7032.5636105182,9,14,38,16,23,25,13,61,21,97,84,7,31,74,33,32,40,20,2,43,20,36,5,87,56,2,23,7,61.9560215613709,103.459361428071,86,78.0297745148899,38,32,30,14,19,75,31,A,A,A,-1,-1,CA,-1,A,alameda ca,13,87,13,0,0
County,CA California,CA Alpine County 06003,9,Summary of All HUD Programs,1,A,Alpine County,6003,4.0,84,3,95,6.08888888888889,-4,-4.0,-4.0,-4.0,-4.0,-4.0,4633.71428571429,-4,-4,-4,-4,-4,-4,-4,-4,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,57.4111111111111,-4,-4.0,-4,-4,-4,-4,19,28,60,A,A,A,-1,-1,CA,-1,A,alpine ca,100,0,100,0,0
County,CA California,CA Amador County 06005,9,Summary of All HUD Programs,1,A,Amador County,6005,179.0,94,161,98,5.37082368097696,9,1.96278920674294,321.00979911808,351.380586704462,575.739218512602,14258.5871540784,7239.26103168437,4,17,43,15,20,21,9,70,26,97,70,4,33,79,33,41,30,22,4,37,25,35,6,10,0,7,0,5,40.9666666666667,72.0580696676809,100,86.9284976268601,46,40,14,9,8,11,67,A,A,A,-1,-1,CA,-1,A,amador ca,90,10,90,0,0
County,CA California,CA Butte County 06007,9,Summary of All HUD Programs,1,A,Butte County,6007,3024.0,98,2830,98,5.23832933982204,6,2.50724545405435,7329.01371265997,337.527778793304,479.008428182463,13813.2562755533,5503.7048506057,6,14,47,16,16,18,13,67,29,94,61,16,31,74,37,48,55,23,7,51,19,23,3,33,6,3,14,12,21.6292357842273,61.6867609448684,100,66.1215440855024,36,35,30,12,27,25,37,A,A,A,-1,-1,CA,-1,A,butte ca,67,33,67,0,0
County,CA California,CA Calaveras County 06009,9,Summary of All HUD Programs,1,A,Calaveras County,6009,93.0,89,80,97,6.72520252694166,6,1.68673355629877,144.554140127389,375.336603493125,592.616499442586,12389.3679672984,7345.18378497467,5,13,59,16,7,5,6,89,26,99,74,4,18,77,21,66,47,39,0,33,31,36,5,13,1,3,0,10,39.85,98.3571856806639,87,141.421757679181,51,29,20,18,14,11,61,A,A,A,-1,-1,CA,-1,A,calaveras ca,87,13,87,0,0
County,CA California,CA Colusa County 06011,9,Summary of All HUD Programs,1,A,Colusa County,6011,149.0,93,132,98,7.6632779691828,8,2.37972978080121,327.402313791759,304.890226274818,458.365859263685,12090.1434837298,5032.09497601811,8,26,39,18,9,16,10,72,27,96,69,11,35,68,37,29,22,12,9,47,13,31,4,32,1,2,2,29,61.7333333333333,59.9222325194268,100,81.5772263770609,43,27,31,11,15,53,54,A,A,A,-1,-1,CA,-1,A,colusa ca,68,32,68,0,0
County,CA California,CA Contra Costa County 06013,9,Summary of All HUD Programs,1,A,Contra Costa County,6013,15009.0,94,13860,99,5.65629651170234,5,2.32351170745461,32471.8177547552,421.760628989047,921.575895331726,15649.1345539178,6723.86690698818,8,15,38,16,24,23,12,63,21,97,82,6,39,79,40,35,44,20,3,50,18,29,4,74,53,1,10,11,21.8998059970633,97.4200803364907,90,111.053744269712,34,32,34,16,13,59,47,A,A,A,-1,-1,CA,-1,A,contra costa ca,26,74,26,0,0
County,CA California,CA Del Norte County 06015,9,Summary of All HUD Programs,1,A,Del Norte County,6015,630.0,98,553,90,3.40068520451742,1,2.41581095188385,1485.72373540856,397.938255670495,385.958536757943,13631.1992787321,5642.49419769478,4,15,46,20,14,14,14,68,29,96,62,16,31,75,39,49,69,25,3,52,22,23,3,25,1,9,10,6,-1.0,63.9023274598507,85,116.309299236381,32,43,26,17,25,25,40,A,A,A,-1,-1,CA,-1,A,del norte ca,75,25,75,0,0
County,CA California,CA El Dorado County 06017,9,Summary of All HUD Programs,1,A,El Dorado County,6017,834.0,97,802,100,6.43567288317965,9,1.79174842063466,1471.16072339007,347.688535439306,571.365575563277,13822.9702400114,7705.83817125657,3,10,56,17,14,14,7,78,25,98,77,4,24,75,25,56,24,26,3,35,18,44,6,12,2,3,2,8,27.6569444444444,72.1923531704822,98,95.1458488169079,50,34,16,14,11,19,50,A,A,A,-1,-1,CA,-1,A,el dorado ca,88,12,88,0,0
County,CA California,CA Fresno County 06019,9,Summary of All HUD Programs,1,A,Fresno County,6019,17744.0,99,16874,99,5.78127706646194,9,2.92504257284201,49195.4615530709,303.760265454199,598.996330892573,12208.0756148755,4168.0446778577,11,27,35,14,13,24,29,45,25,96,73,15,46,79,53,23,56,12,8,61,15,16,1,84,29,1,7,48,18.7434975359515,73.2757303627086,96,111.681771838346,23,39,37,11,31,70,40,A,A,A,-1,-1,CA,-1,A,fresno ca,16,84,16,0,0
