gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,CA California,CA Alameda County 06001,9,Summary of All HUD Programs,1,A,Alameda County,6001,34286.0,98,30769,90,6.66325446843531,4,2.15953998535058,69970.6787110086,417.818421954642,1047.32524009528,14188.011256328,6569.63585544059,17,11,36,14,21,24,12,63,19,96,84,6,27,73,29,32,43,21,1,39,21,39,6,87,55,2,25,7,43.0501974284579,114.946061967157,87,75.0883681452528,40,32,28,13,20,77,39,A,A,A,-1,-1,CA,-1,A,alameda ca,13,87,13,0,0
County,CA California,CA Alameda County 06001,9,Housing Choice Vouchers,3,A,Alameda County,6001,23769.0,98,21564,87,6.56570076937508,3,2.39193778284554,55809.7428030751,458.799234198415,1120.23902567296,14473.2704773824,6050.65041257135,21,11,30,13,24,28,14,56,19,95,82,7,33,76,35,32,75,23,1,47,25,27,2,88,62,1,20,7,42.0076345900097,121.559311705167,95,84.9231619900181,25,39,35,17,19,77,43,A,A,A,-1,-1,CA,-1,A,alameda ca,12,88,12,0,0
County,CA California,CA Alameda County 06001,9,Public Housing,2,A,Alameda County,6001,1913.0,94,1765,98,6.70035071173297,8,2.196732758373,3960.70916334655,339.737378826346,751.162506932882,15195.2545477177,6915.02859763947,14,15,34,17,21,27,15,58,21,95,84,9,29,69,31,20,47,17,2,40,18,40,3,95,61,1,27,7,89.6238095238095,68.1567682375108,90,55.4285682763398,39,36,24,13,31,84,31,A,A,A,-1,-1,CA,-1,A,alameda ca,5,95,5,0,0
County,CA California,CA Alameda County 06001,9,Mod Rehab,4,A,Alameda County,6001,96.0,99,214,100,4.9095785440613,3,2.11458333333334,200.885416666667,306.666666666667,949.840425531916,14462.2291666667,6839.28078817734,15,21,30,11,23,38,17,46,20,95,84,14,28,68,32,18,65,15,2,54,20,24,4,76,36,0,21,20,47.2111111111111,99.5250000000001,95,36.5494505494506,39,61,0,11,17,82,40,A,A,A,-1,-1,CA,-1,A,alameda ca,24,76,24,0,0
County,CA California,CA Alameda County 06001,9,Section 8 NC/SR,5,A,Alameda County,6001,3713.0,97,3421,97,6.93269431668142,5,1.38063978710088,4705.24908390918,314.43991138884,1055.61944329302,13428.4012544469,9726.21633818362,4,9,56,20,10,7,3,90,20,98,90,1,7,66,7,47,8,11,1,11,6,82,21,80,24,2,50,8,-1.0,121.700067369233,77,29.5090884044408,86,9,5,4,19,74,27,A,A,A,-1,-1,CA,-1,A,alameda ca,20,80,20,0,0
County,CA California,CA Alameda County 06001,9,Section 236,6,A,Alameda County,6001,443.0,95,390,95,7.28591845091975,8,1.2466567934013,206.966606601076,301.188910497606,789.779943279826,12601.3745638555,10108.1345166978,4,11,60,18,8,5,7,88,20,100,89,1,6,59,6,56,20,23,3,10,7,80,10,95,72,3,20,2,-1.0,77.0119433288409,100,19.2073849204451,97,3,0,0,18,77,28,A,A,A,-1,-1,CA,-1,A,alameda ca,5,95,5,0,0
County,CA California,CA Alameda County 06001,9,Multi-Family Other,7,A,Alameda County,6001,4352.0,97,3415,97,6.99904621386236,6,1.41456165440362,5087.12563740072,297.395700765498,730.318333566661,12618.1207443592,8920.16315095078,8,11,55,17,9,9,7,84,19,99,91,2,8,62,8,34,6,9,1,15,6,78,13,84,31,7,41,7,-1.0,96.5762304718338,40,36.704702239752,87,8,5,3,22,71,29,A,A,A,-1,-1,CA,-1,A,alameda ca,16,84,16,0,0
County,CA California,CA Alameda County 06001,9,LIHTC,8,A,Alameda County,6001,11390.0,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,CA,-1,A,alameda ca,-1,-1,-1,0,0
County,CA California,CA Alpine County 06003,9,Summary of All HUD Programs,1,A,Alpine County,6003,1.0,97,1,97,7.1,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3726.66666666667,-4,-4,-4,-4,-4,-4,-4,-4,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,95.3666666666667,-4,-4.0,-4,-4,-4,-4,13,27,59,A,A,A,-1,-1,CA,-1,A,alpine ca,100,0,100,0,0
County,CA California,CA Alpine County 06003,9,Housing Choice Vouchers,3,A,Alpine County,6003,1.0,97,1,97,7.1,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3726.66666666667,-4,-4,-4,-4,-4,-4,-4,-4,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,95.3666666666667,-4,-4.0,-4,-4,-4,-4,13,27,59,A,A,A,-1,-1,CA,-1,A,alpine ca,100,0,100,0,0
