State,County_Name,Ttl_Incarc,Ttl_Minority_Incarc,Ttl_White_Incarc
California,Alameda County,1749,1451,298
California,Alpine County,0,0,0
California,Amador County,4249,2621,1628
California,Butte County,0,0,0
California,Calaveras County,118,82,36
California,Colusa County,0,0,0
California,Contra Costa County,0,0,0
California,Del Norte County,3948,3376,572
California,El Dorado County,114,80,34
California,Fresno County,5716,4301,1415
California,Glenn County,0,0,0
California,Humboldt County,234,153,81
California,Imperial County,9295,8153,1142
California,Inyo County,131,85,46
California,Kern County,32076,25334,6742
California,Kings County,26676,21930,4746
California,Lake County,119,78,41
California,Lassen County,11780,8918,2862
California,Los Angeles County,8461,6904,1557
California,Madera County,8145,5951,2194
California,Marin County,5459,3887,1572
California,Mariposa County,123,90,33
California,Mendocino County,251,174,77
California,Merced County,1518,1283,235
California,Modoc County,125,73,52
California,Mono County,0,0,0
California,Monterey County,11088,8750,2338
California,Napa County,0,0,0
California,Nevada County,110,66,44
California,Orange County,20,11,9
California,Placer County,0,0,0
California,Plumas County,0,0,0
California,Riverside County,12441,9632,2809
California,Sacramento County,6767,5451,1316
California,San Benito County,0,0,0
California,San Bernardino County,14827,11620,3207
California,San Diego County,7536,5896,1640
California,San Francisco County,147,76,71
California,San Joaquin County,3838,2395,1443
California,San Luis Obispo County,6453,4932,1521
California,San Mateo County,0,0,0
California,Santa Barbara County,4098,3355,743
California,Santa Clara County,0,0,0
California,Santa Cruz County,0,0,0
California,Shasta County,132,79,53
California,Sierra County,0,0,0
California,Siskiyou County,137,82,55
California,Solano County,7941,5785,2156
California,Sonoma County,0,0,0
California,Stanislaus County,0,0,0
California,Sutter County,333,186,147
California,Tehama County,228,147,81
California,Trinity County,127,98,29
California,Tulare County,110,82,28
California,Tuolumne County,4911,3769,1142
California,Ventura County,0,0,0
California,Yolo County,0,0,0
California,Yuba County,0,0,0
