State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
CA,Alameda County,31250,35700,40150,44600,48200,51750,55350,58900,18750,21400,24100,26750,28900,31050,33200,35350,45100,51550,58000,64400,69600,74750,79900,85050
CA,Alpine County,27250,31150,35050,38900,42050,45150,48250,51350,16350,18700,21050,23350,25250,27100,29000,30850,43600,49800,56050,62250,67250,72250,77200,82200
CA,Amador County,24250,27700,31150,34600,37400,40150,42950,45700,14550,16600,18700,20750,22450,24100,25750,27400,38750,44300,49850,55350,59800,64250,68650,73100
CA,Butte County,20100,22950,25800,28650,30950,33250,35550,37850,12050,13800,15500,17200,18600,20000,21350,22750,32100,36700,41300,45850,49550,53200,56900,60550
CA,Calaveras County,24400,27900,31400,34850,37650,40450,43250,46050,14650,16750,18850,20900,22600,24250,25950,27600,39050,44600,50200,55750,60250,64700,69150,73600
CA,Colusa County,20100,22950,25800,28650,30950,33250,35550,37850,12050,13800,15500,17200,18600,20000,21350,22750,32100,36700,41300,45850,49550,53200,56900,60550
CA,Contra Costa County,31250,35700,40150,44600,48200,51750,55350,58900,18750,21400,24100,26750,28900,31050,33200,35350,45100,51550,58000,64400,69600,74750,79900,85050
CA,Del Norte County,20100,22950,25800,28650,30950,33250,35550,37850,12050,13800,15500,17200,18600,20000,21350,22750,32100,36700,41300,45850,49550,53200,56900,60550
CA,El Dorado County,25350,28950,32550,36150,39050,41950,44850,47750,15200,17400,19550,21700,23450,25200,26950,28650,40550,46350,52150,57900,62550,67200,71800,76450
CA,Fresno County,20100,22950,25800,28650,30950,33250,35550,37850,12050,13800,15500,17200,18600,20000,21350,22750,32100,36700,41300,45850,49550,53200,56900,60550
CA,Glenn County,20100,22950,25800,28650,30950,33250,35550,37850,12050,13800,15500,17200,18600,20000,21350,22750,32100,36700,41300,45850,49550,53200,56900,60550
CA,Humboldt County,20100,22950,25800,28650,30950,33250,35550,37850,12050,13800,15500,17200,18600,20000,21350,22750,32100,36700,41300,45850,49550,53200,56900,60550
CA,Imperial County,20100,22950,25800,28650,30950,33250,35550,37850,12050,13800,15500,17200,18600,20000,21350,22750,32100,36700,41300,45850,49550,53200,56900,60550
CA,Inyo County,23050,26350,29650,32900,35550,38200,40800,43450,13850,15800,17800,19750,21350,22950,24500,26100,36900,42150,47400,52650,56900,61100,65300,69500
CA,Kern County,20100,22950,25800,28650,30950,33250,35550,37850,12050,13800,15500,17200,18600,20000,21350,22750,32100,36700,41300,45850,49550,53200,56900,60550
CA,Kings County,20100,22950,25800,28650,30950,33250,35550,37850,12050,13800,15500,17200,18600,20000,21350,22750,32100,36700,41300,45850,49550,53200,56900,60550
CA,Lake County,20100,22950,25800,28650,30950,33250,35550,37850,12050,13800,15500,17200,18600,20000,21350,22750,32100,36700,41300,45850,49550,53200,56900,60550
CA,Lassen County,22650,25900,29150,32350,34950,37550,40150,42750,13600,15550,17500,19400,21000,22550,24100,25650,36250,41400,46600,51750,55900,60050,64200,68350
CA,Los Angeles County,29000,33150,37300,41400,44750,48050,51350,54650,17400,19900,22400,24850,26850,28850,30850,32850,46400,53000,59650,66250,71550,76850,82150,87450
CA,Madera County,20100,22950,25800,28650,30950,33250,35550,37850,12050,13800,15500,17200,18600,20000,21350,22750,32100,36700,41300,45850,49550,53200,56900,60550
CA,Marin County,36950,42200,47500,52750,57000,61200,65450,69650,22200,25350,28500,31650,34200,36750,39250,41800,59100,67550,76000,84400,91200,97950,104700,111450
CA,Mariposa County,21500,24550,27600,30650,33150,35600,38050,40500,12900,14750,16600,18400,19900,21350,22850,24300,34350,39250,44150,49050,53000,56900,60850,64750
CA,Mendocino County,20200,23050,25950,28800,31150,33450,35750,38050,12150,13850,15600,17300,18700,20100,21500,22850,32300,36900,41500,46100,49800,53500,57200,60900
CA,Merced County,20100,22950,25800,28650,30950,33250,35550,37850,12050,13800,15500,17200,18600,20000,21350,22750,32100,36700,41300,45850,49550,53200,56900,60550
CA,Modoc County,20100,22950,25800,28650,30950,33250,35550,37850,12050,13800,15500,17200,18600,20000,21350,22750,32100,36700,41300,45850,49550,53200,56900,60550
CA,Mono County,27450,31350,35250,39150,42300,45450,48550,51700,16450,18800,21150,23500,25400,27300,29150,31050,43900,50150,56400,62650,67700,72700,77700,82700
CA,Monterey County,25000,28550,32100,35650,38550,41400,44250,47100,15000,17150,19300,21400,23150,24850,26550,28250,39950,45650,51350,57050,61650,66200,70750,75350
CA,Napa County,28650,32750,36850,40900,44200,47450,50750,54000,17200,19650,22100,24550,26550,28500,30450,32450,45100,51550,58000,64400,69600,74750,79900,85050
CA,Nevada County,24150,27600,31050,34500,37300,40050,42800,45550,14500,16600,18650,20700,22400,24050,25700,27350,38650,44200,49700,55200,59650,64050,68450,72900
CA,Orange County,32050,36600,41200,45750,49450,53100,56750,60400,19250,22000,24750,27450,29650,31850,34050,36250,51250,58600,65900,73200,79100,84950,90800,96650
CA,Placer County,25350,28950,32550,36150,39050,41950,44850,47750,15200,17400,19550,21700,23450,25200,26950,28650,40550,46350,52150,57900,62550,67200,71800,76450
CA,Plumas County,20200,23050,25950,28800,31150,33450,35750,38050,12150,13850,15600,17300,18700,20100,21500,22850,32300,36900,41500,46100,49800,53500,57200,60900
CA,Riverside County,22300,25500,28700,31850,34400,36950,39500,42050,13400,15300,17200,19100,20650,22200,23700,25250,35700,40800,45900,50950,55050,59150,63200,67300
CA,Sacramento County,25350,28950,32550,36150,39050,41950,44850,47750,15200,17400,19550,21700,23450,25200,26950,28650,40550,46350,52150,57900,62550,67200,71800,76450
CA,San Benito County,27950,31950,35950,39900,43100,46300,49500,52700,16800,19200,21600,23950,25900,27800,29700,31650,44700,51100,57500,63850,69000,74100,79200,84300
CA,San Bernardino County,22300,25500,28700,31850,34400,36950,39500,42050,13400,15300,17200,19100,20650,22200,23700,25250,35700,40800,45900,50950,55050,59150,63200,67300
CA,San Diego County,28250,32250,36300,40300,43550,46750,50000,53200,16950,19400,21800,24200,26150,28100,30050,31950,45150,51600,58050,64500,69700,74850,80000,85150
CA,San Francisco County,36950,42200,47500,52750,57000,61200,65450,69650,22200,25350,28500,31650,34200,36750,39250,41800,59100,67550,76000,84400,91200,97950,104700,111450
CA,San Joaquin County,22050,25200,28350,31500,34050,36550,39100,41600,13250,15150,17050,18900,20450,21950,23450,24950,35300,40350,45400,50400,54450,58500,62500,66550
CA,San Luis Obispo County,25100,28700,32300,35850,38750,41600,44500,47350,15050,17200,19350,21500,23250,24950,26700,28400,40150,45900,51650,57350,61950,66550,71150,75750
