State code,PUMA,County code,State abbr.,County_Name,allocation factor
8,100,8045,CO,Garfield CO,0.5801
8,100,8081,CO,Moffat CO,0.125
8,100,8103,CO,Rio Blanco CO,0.0614
8,100,8107,CO,Routt CO,0.2335
8,200,8037,CO,Eagle CO,0.4597
8,200,8049,CO,Grand CO,0.1296
8,200,8057,CO,Jackson CO,0.0114
8,200,8097,CO,Pitkin CO,0.1432
8,200,8117,CO,Summit CO,0.2561
8,301,8069,CO,Larimer CO,1.0
8,302,8069,CO,Larimer CO,1.0
8,303,8069,CO,Larimer CO,1.0
8,401,8013,CO,Boulder CO,0.1973
8,401,8019,CO,Clear Creek CO,0.0865
8,401,8047,CO,Gilpin CO,0.0535
8,401,8059,CO,Jefferson CO,0.6628
8,501,8013,CO,Boulder CO,1.0
8,502,8013,CO,Boulder CO,1.0
8,601,8013,CO,Boulder CO,0.3475
8,601,8014,CO,Broomfield CO,0.4458
8,601,8059,CO,Jefferson CO,0.2067
8,701,8059,CO,Jefferson CO,1.0
8,702,8059,CO,Jefferson CO,1.0
8,703,8059,CO,Jefferson CO,1.0
8,801,8035,CO,Douglas CO,0.7704
8,801,8059,CO,Jefferson CO,0.2296
8,901,8035,CO,Douglas CO,1.0
8,902,8035,CO,Douglas CO,1.0
8,1001,8123,CO,Weld CO,1.0
8,1002,8123,CO,Weld CO,1.0
8,1003,8123,CO,Weld CO,1.0
8,1101,8001,CO,Adams CO,0.8958
8,1101,8059,CO,Jefferson CO,0.1042
8,1201,8001,CO,Adams CO,1.0
8,1202,8001,CO,Adams CO,1.0
8,1301,8001,CO,Adams CO,0.2586
8,1301,8005,CO,Arapahoe CO,0.7414
8,1401,8001,CO,Adams CO,0.22
8,1401,8005,CO,Arapahoe CO,0.78
8,1501,8005,CO,Arapahoe CO,0.7542
8,1501,8059,CO,Jefferson CO,0.2458
8,1601,8005,CO,Arapahoe CO,1.0
8,1602,8005,CO,Arapahoe CO,1.0
8,1603,8005,CO,Arapahoe CO,1.0
8,1701,8031,CO,Denver CO,1.0
8,1702,8031,CO,Denver CO,1.0
8,1703,8031,CO,Denver CO,1.0
8,1704,8031,CO,Denver CO,1.0
8,1705,8005,CO,Arapahoe CO,0.1712
8,1705,8031,CO,Denver CO,0.8288
8,1800,8017,CO,Cheyenne CO,0.0145
8,1800,8025,CO,Crowley CO,0.0492
8,1800,8039,CO,Elbert CO,0.2166
8,1800,8061,CO,Kiowa CO,0.012
8,1800,8063,CO,Kit Carson CO,0.0589
8,1800,8073,CO,Lincoln CO,0.0472
8,1800,8075,CO,Logan CO,0.1789
8,1800,8087,CO,Morgan CO,0.242
8,1800,8095,CO,Phillips CO,0.0377
8,1800,8115,CO,Sedgwick CO,0.02
8,1800,8121,CO,Washington CO,0.04
8,1800,8125,CO,Yuma CO,0.083
8,1900,8003,CO,Alamosa CO,0.1629
8,1900,8009,CO,Baca CO,0.0349
8,1900,8011,CO,Bent CO,0.0562
8,1900,8021,CO,Conejos CO,0.0742
8,1900,8023,CO,Costilla CO,0.0348
8,1900,8071,CO,Las Animas CO,0.1448
8,1900,8079,CO,Mineral CO,0.0086
8,1900,8089,CO,Otero CO,0.186
8,1900,8099,CO,Prowers CO,0.1194
8,1900,8105,CO,Rio Grande CO,0.1148
8,1900,8109,CO,Saguache CO,0.0634
8,2001,8041,CO,El Paso CO,0.7766
8,2001,8119,CO,Teller CO,0.2234
8,2002,8041,CO,El Paso CO,1.0
8,2003,8041,CO,El Paso CO,1.0
8,2004,8041,CO,El Paso CO,1.0
8,2005,8041,CO,El Paso CO,1.0
8,2006,8041,CO,El Paso CO,1.0
8,2101,8015,CO,Chaffee CO,0.1669
8,2101,8027,CO,Custer CO,0.0403
8,2101,8043,CO,Fremont CO,0.4193
8,2101,8055,CO,Huerfano CO,0.0584
8,2101,8065,CO,Lake CO,0.0637
8,2101,8093,CO,Park CO,0.149
8,2101,8101,CO,Pueblo CO,0.1025
8,2200,8007,CO,Archuleta CO,0.1156
8,2200,8033,CO,Dolores CO,0.0201
8,2200,8051,CO,Gunnison CO,0.1464
8,2200,8053,CO,Hinsdale CO,0.0068
8,2200,8067,CO,La Plata CO,0.4814
8,2200,8083,CO,Montezuma CO,0.2236
8,2200,8111,CO,San Juan CO,0.0061
8,2301,8101,CO,Pueblo CO,1.0
8,2401,8029,CO,Delta CO,0.3023
8,2401,8077,CO,Mesa CO,0.1586
8,2401,8085,CO,Montrose CO,0.4136
8,2401,8091,CO,Ouray CO,0.0472
8,2401,8113,CO,San Miguel CO,0.0782
8,2501,8077,CO,Mesa CO,1.0
