Name,Subsidized units available,% Minority,%White Non-Hispanic
Las Animas County,90,0,0
Washington County,10,0,0
Sedgwick County,2,0,0
San Juan County,2,0,0
Rio Blanco County,5,0,0
Pitkin County,8,0,0
Ouray County,6,0,0
Lincoln County,9,0,0
Lake County,9,0,0
Kit Carson County,6,0,0
Kiowa County,1,0,0
Jackson County,1,0,0
Huerfano County,9,0,0
Dolores County,3,0,0
Custer County,12,0,0
Crowley County,5,0,0
Costilla County,2,0,0
Conejos County,12,0,0
Cheyenne County,1,0,0
Baca County,1,0,0
Summit County,13,0,100
Teller County,23,5,95
Clear Creek County,26,5,95
Park County,13,9,91
Routt County,48,10,90
San Miguel County,33,11,89
Logan County,41,11,89
Gilpin County,31,11,89
Fremont County,204,14,86
Montrose County,247,15,85
Delta County,239,16,84
Chaffee County,41,17,83
Moffat County,20,18,82
Mesa County,1244,19,81
Garfield County,509,22,78
Montezuma County,217,23,77
Grand County,24,24,76
Gunnison County,14,25,75
Elbert County,14,25,75
Morgan County,45,26,74
Broomfield County,105,27,73
Larimer County,2505,28,72
La Plata County,404,28,72
Yuma County,15,31,69
Boulder County,3243,34,66
Eagle County,22,37,63
Douglas County,218,39,61
Saguache County,38,40,60
Bent County,127,42,58
Archuleta County,15,46,54
Jefferson County,4510,47,53
Prowers County,121,49,51
El Paso County,3110,52,48
Alamosa County,84,56,44
Weld County,1292,61,39
Pueblo County,1990,61,39
Otero County,221,65,35
Arapahoe County,3573,69,31
Adams County,2854,70,30
Denver County,9451,75,25
Rio Grande County,17,80,20
