sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Adams County,8001,-1,-1,3654,-1,5,20,2.4,8808,259,618,11.7,5.0,24,34,19,11,12,26,4,60,18,99,84,12,40,84,48,29,28,13,10,52,13,25,3,62,15,1,2,44,17,60,86,36,32,33,34,14,45,13,45,-1,-1,-1,-1,-1,CO,-1,-1,adams co,38,62,38,0,0
9,1,All HUD,-1,Alamosa County,8003,-1,-1,278,-1,4,23,2.0,550,204,312,9.8,5.0,18,46,22,8,5,28,6,61,22,97,80,12,29,71,33,42,64,27,9,42,21,28,1,70,0,1,0,69,11,58,97,0,35,34,31,20,49,22,47,-1,-1,-1,-1,-1,CO,-1,-1,alamosa co,30,70,30,0,0
9,1,All HUD,-1,Arapahoe County,8005,-1,-1,4571,-1,5,21,2.3,10301,278,631,12.1,5.5,18,37,20,12,13,25,6,62,19,98,82,11,34,79,41,37,26,16,6,50,14,31,4,56,39,1,5,11,28,58,75,30,39,32,29,12,33,9,41,-1,-1,-1,-1,-1,CO,-1,-1,arapahoe co,44,56,44,0,0
9,1,All HUD,-1,Archuleta County,8007,-1,-1,96,-1,5,19,1.8,175,251,437,11.3,6.4,8,46,28,8,9,28,3,66,26,96,69,5,32,76,32,34,18,15,10,29,19,42,6,41,0,1,1,39,9,69,28,13,44,15,42,26,19,12,60,-1,-1,-1,-1,-1,CO,-1,-1,archuleta co,59,41,59,0,0
9,1,All HUD,-1,Baca County,8009,-1,-1,49,-1,7,18,1.1,53,217,353,12.1,11.4,4,37,39,12,8,2,0,96,31,92,59,0,2,61,2,86,23,40,2,12,14,71,18,2,0,0,0,2,13,56,2,0,98,0,2,2,6,10,41,-1,-1,-1,-1,-1,CO,-1,-1,baca co,98,2,98,0,0
9,1,All HUD,-1,Bent County,8011,-1,-1,112,-1,5,15,2.1,237,218,405,10.2,4.8,20,49,13,7,11,13,4,79,23,92,77,13,35,75,43,51,42,24,9,48,11,32,4,51,1,0,1,49,32,66,54,0,32,31,37,21,37,19,54,-1,-1,-1,-1,-1,CO,-1,-1,bent co,49,51,49,0,0
9,1,All HUD,-1,Boulder County,8013,-1,-1,3417,-1,5,19,2.0,6857,277,548,12.7,6.5,12,36,24,15,14,27,4,65,18,99,89,13,23,72,31,50,30,23,5,46,19,29,4,31,2,1,1,26,24,70,65,23,41,32,28,20,21,13,43,-1,-1,-1,-1,-1,CO,-1,-1,boulder co,69,31,69,0,0
9,1,All HUD,-1,Chaffee County,8015,-1,-1,162,-1,7,30,1.4,234,272,396,11.8,8.2,3,43,31,17,7,16,2,82,29,96,61,3,14,75,14,63,19,30,1,29,22,48,7,10,0,0,0,10,20,62,72,0,62,22,17,17,11,11,50,-1,-1,-1,-1,-1,CO,-1,-1,chaffee co,90,10,90,0,0
9,1,All HUD,-1,Cheyenne County,8017,-1,-1,24,-1,6,46,1.9,45,269,321,19.3,10.3,0,17,33,17,33,50,0,50,46,63,33,13,13,63,17,0,10,2,8,38,13,42,8,8,0,0,0,8,1,30,0,-2,42,8,50,33,9,11,61,-1,-1,-1,-1,-1,CO,-1,-1,cheyenne co,92,8,92,0,0
9,1,All HUD,-1,Clear Creek County,8019,-1,-1,18,-1,4,56,1.5,27,243,364,10.7,8.6,6,56,22,6,11,11,0,83,19,100,89,6,11,61,17,71,27,30,6,17,17,61,0,6,0,6,0,0,13,19,39,0,67,17,17,17,4,3,35,-1,-1,-1,-1,-1,CO,-1,-1,clear creek co,94,6,94,0,0
9,1,All HUD,-1,Conejos County,8021,-1,-1,106,-1,5,26,2.1,221,229,382,11.9,5.7,8,49,26,7,10,27,3,69,27,92,75,21,17,63,25,37,44,22,5,42,17,37,5,73,0,0,0,73,6,51,73,40,54,20,26,9,32,12,30,-1,-1,-1,-1,-1,CO,-1,-1,conejos co,27,73,27,0,0
9,1,All HUD,-1,Costilla County,8023,-1,-1,48,-1,7,40,2.6,126,184,476,8.3,3.2,31,38,19,13,0,42,15,44,18,100,85,27,29,60,35,16,27,9,8,52,17,23,2,85,2,0,0,83,1,50,100,-2,19,31,50,21,-1,-1,-1,-1,-1,-1,-1,-1,CO,-1,-1,costilla co,15,85,15,0,0
9,1,All HUD,-1,Crowley County,8025,-1,-1,55,-1,5,22,1.9,105,241,391,10.5,5.4,13,49,24,5,9,16,7,75,24,95,76,5,24,80,27,61,21,27,7,31,27,35,7,24,0,0,0,24,21,45,45,0,55,25,20,11,27,15,50,-1,-1,-1,-1,-1,CO,-1,-1,crowley co,76,24,76,0,0
9,1,All HUD,-1,Custer County,8027,-1,-1,12,-1,6,58,2.9,35,279,491,12.2,4.1,17,25,33,8,17,33,8,50,23,100,67,17,33,75,50,40,50,14,0,58,25,17,0,17,0,0,0,17,14,20,92,-2,25,33,42,17,5,12,60,-1,-1,-1,-1,-1,CO,-1,-1,custer co,83,17,83,0,0
9,1,All HUD,-1,Delta County,8029,-1,-1,359,-1,4,27,1.9,667,284,318,12.4,6.7,6,40,28,14,11,28,4,67,29,94,58,9,25,76,28,48,35,26,5,40,16,39,7,18,1,1,0,16,6,43,73,2,50,34,16,16,16,10,49,-1,-1,-1,-1,-1,CO,-1,-1,delta co,82,18,82,0,0
9,1,All HUD,-1,Denver County,8031,-1,-1,15475,-1,5,19,2.1,31906,245,593,10.7,5.3,21,41,18,10,9,22,7,64,18,98,87,9,30,69,35,40,31,20,6,43,18,32,3,68,32,1,4,31,7,73,50,16,46,26,28,14,59,22,35,-1,-1,-1,-1,-1,CO,-1,-1,denver co,32,68,32,0,0
9,1,All HUD,-1,Dolores County,8033,-1,-1,7,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,CO,-1,-1,dolores co,-4,-4,-4,0,0
9,1,All HUD,-1,Douglas County,8035,-1,-1,193,-1,5,19,2.3,440,324,667,13.6,6.1,13,35,19,15,18,29,3,62,22,96,72,8,44,87,49,36,18,15,2,60,15,23,5,21,6,0,1,15,7,46,78,22,33,37,30,12,11,4,63,-1,-1,-1,-1,-1,CO,-1,-1,douglas co,79,21,79,0,0
9,1,All HUD,-1,Eagle County,8037,-1,-1,72,-1,4,22,3.1,221,502,898,24.4,7.8,15,10,7,13,56,76,1,8,28,93,46,26,57,79,72,6,67,4,21,65,10,4,0,72,3,0,1,68,-2,52,92,84,4,49,47,10,3,1,4,-1,-1,-1,-1,-1,CO,-1,-1,eagle co,28,72,28,0,0
9,1,All HUD,-1,Elbert County,8039,-1,-1,15,-1,7,27,2.4,36,290,514,14.0,5.9,7,20,40,20,13,27,0,67,22,100,73,20,33,87,53,36,0,11,7,47,20,27,13,13,0,0,0,13,9,46,87,-2,7,40,53,40,3,3,36,-1,-1,-1,-1,-1,CO,-1,-1,elbert co,87,13,87,0,0
9,1,All HUD,-1,El Paso County,8041,-1,-1,4919,-1,6,20,2.3,11260,248,518,11.1,4.9,18,40,20,11,10,26,11,58,20,99,83,12,37,81,45,37,28,16,7,52,15,25,2,44,23,2,3,17,33,58,71,12,36,30,34,14,34,13,44,-1,-1,-1,-1,-1,CO,-1,-1,el paso co,56,44,56,0,0
9,1,All HUD,-1,Fremont County,8043,-1,-1,326,-1,6,20,1.6,536,262,489,11.2,6.9,6,48,27,12,7,13,4,82,27,96,67,6,17,70,20,72,26,35,2,38,18,42,7,10,1,2,0,8,24,62,50,0,55,25,20,17,11,12,55,-1,-1,-1,-1,-1,CO,-1,-1,fremont co,90,10,90,0,0
9,1,All HUD,-1,Garfield County,8045,-1,-1,587,-1,4,29,1.7,1005,314,414,14.2,8.4,7,27,30,18,18,29,5,65,28,93,61,6,22,75,26,45,14,19,5,35,14,46,7,12,1,2,0,9,3,46,53,3,56,27,18,15,17,7,43,-1,-1,-1,-1,-1,CO,-1,-1,garfield co,88,12,88,0,0
9,1,All HUD,-1,Gilpin County,8047,-1,-1,13,-1,7,77,2.0,26,272,625,11.1,5.6,23,23,38,8,8,23,8,62,18,100,85,8,38,54,38,62,0,31,8,62,31,0,0,8,0,0,0,8,1,12,92,-2,38,54,8,8,1,1,12,-1,-1,-1,-1,-1,CO,-1,-1,gilpin co,92,8,92,0,0
9,1,All HUD,-1,Grand County,8049,-1,-1,70,-1,5,23,1.8,127,288,532,12.5,6.9,16,29,21,21,13,29,1,67,24,94,71,9,33,76,39,40,26,20,3,47,17,33,4,4,0,0,0,4,21,39,56,2,57,26,17,6,2,2,14,-1,-1,-1,-1,-1,CO,-1,-1,grand co,96,4,96,0,0
9,1,All HUD,-1,Gunnison County,8051,-1,-1,68,-1,5,29,2.0,134,354,441,14.8,7.5,0,34,29,12,25,32,0,68,29,94,62,18,15,62,25,40,8,17,1,41,19,38,3,13,1,0,0,12,23,37,57,0,54,25,21,12,8,20,31,-1,-1,-1,-1,-1,CO,-1,-1,gunnison co,87,13,87,0,0
9,1,All HUD,-1,Hinsdale County,8053,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,CO,-1,-1,hinsdale co,-4,-4,-4,0,0
9,1,All HUD,-1,Huerfano County,8055,-1,-1,160,-1,6,44,2.0,325,240,285,12.1,5.9,13,44,16,14,13,38,6,55,28,91,71,18,21,62,31,32,38,19,13,46,15,26,6,57,0,0,0,57,3,44,99,-2,48,25,28,13,58,20,57,-1,-1,-1,-1,-1,CO,-1,-1,huerfano co,43,57,43,0,0
9,1,All HUD,-1,Jackson County,8057,-1,-1,1,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,CO,-1,-1,jackson co,-4,-4,-4,0,0
9,1,All HUD,-1,Jefferson County,8059,-1,-1,4795,-1,5,18,2.1,9996,305,583,13.2,6.4,12,34,23,15,16,26,4,66,22,97,76,10,31,79,37,42,20,18,5,46,15,34,5,36,4,1,2,28,17,58,72,6,37,36,27,18,22,10,42,-1,-1,-1,-1,-1,CO,-1,-1,jefferson co,64,36,64,0,0
9,1,All HUD,-1,Kiowa County,8061,-1,-1,11,-1,5,27,1.1,12,191,304,10.3,9.5,18,27,45,9,0,0,9,91,27,100,55,0,0,45,0,100,14,42,0,9,27,64,18,0,0,0,0,0,-2,62,9,0,82,18,0,9,6,12,57,-1,-1,-1,-1,-1,CO,-1,-1,kiowa co,100,0,100,0,0
9,1,All HUD,-1,Kit Carson County,8063,-1,-1,113,-1,6,33,1.8,209,167,419,8.5,4.8,34,34,25,6,2,30,3,56,18,98,79,10,27,77,35,21,10,11,24,42,9,26,5,41,0,2,0,39,7,37,19,0,50,27,23,18,21,12,59,-1,-1,-1,-1,-1,CO,-1,-1,kit carson co,59,41,59,0,0
9,1,All HUD,-1,Lake County,8065,-1,-1,77,-1,5,19,2.1,163,240,416,11.3,5.3,18,39,22,12,9,23,16,56,23,97,74,8,43,77,45,33,21,15,12,52,18,18,1,55,0,0,1,53,20,40,66,40,34,43,23,13,31,12,55,-1,-1,-1,-1,-1,CO,-1,-1,lake co,45,55,45,0,0
9,1,All HUD,-1,La Plata County,8067,-1,-1,396,-1,5,20,1.9,769,261,541,11.8,6.3,13,38,26,13,10,29,2,64,24,98,74,9,30,71,36,52,26,24,5,48,18,28,5,28,1,4,5,19,16,58,82,26,43,26,31,16,21,18,35,-1,-1,-1,-1,-1,CO,-1,-1,la plata co,72,28,72,0,0
9,1,All HUD,-1,Larimer County,8069,-1,-1,2472,-1,5,17,2.0,4944,250,484,11.4,5.8,17,38,23,13,9,22,7,66,20,98,83,10,27,76,34,52,22,24,6,47,18,29,4,23,2,1,1,19,17,62,64,13,36,35,29,24,15,12,47,-1,-1,-1,-1,-1,CO,-1,-1,larimer co,77,23,77,0,0
9,1,All HUD,-1,Las Animas County,8071,-1,-1,400,-1,6,30,1.9,775,243,339,11.4,5.9,17,43,19,9,12,35,4,59,26,91,74,12,27,71,32,37,37,20,13,44,18,25,4,69,1,2,0,67,6,63,75,21,49,28,23,11,53,17,59,-1,-1,-1,-1,-1,CO,-1,-1,las animas co,31,69,31,0,0
9,1,All HUD,-1,Lincoln County,8073,-1,-1,78,-1,5,40,1.4,107,249,275,11.4,8.4,9,36,35,18,3,29,1,67,28,95,59,3,14,74,14,40,11,21,5,32,17,46,12,12,1,1,0,9,9,52,28,3,60,28,12,23,19,11,57,-1,-1,-1,-1,-1,CO,-1,-1,lincoln co,88,12,88,0,0
9,1,All HUD,-1,Logan County,8075,-1,-1,312,-1,5,37,1.8,576,222,353,10.3,5.7,22,37,24,12,5,26,7,62,23,97,70,9,27,72,32,41,27,22,14,41,20,25,5,15,1,1,1,13,9,43,46,11,53,27,20,11,20,17,49,-1,-1,-1,-1,-1,CO,-1,-1,logan co,85,15,85,0,0
