gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,CO Colorado,CO Adams County 08001,9,Summary of All HUD Programs,1,A,Adams County,8001,3990.0,94,3617,99,5.36035185856362,10,2.38191881692515,8534.54256156483,248.056590841412,670.715541065198,10713.5835726235,4493.58364266862,21,36,20,12,11,22,8,70,17,99,88,6,41,80,43,31,34,15,6,51,16,27,3,63,19,2,3,44,9.83434534097114,70.8292457313803,85,95.124053198452,35,34,31,14,14,47,43,A,A,A,-1,-1,CO,-1,A,adams co,37,63,37,0,0
County,CO Colorado,CO Alamosa County 08003,9,Summary of All HUD Programs,1,A,Alamosa County,8003,277.0,98,252,93,6.56247282535202,18,2.09631685348762,569.623151594103,234.460156214437,341.798307412448,10080.4525134982,4808.64927299873,20,37,25,11,7,33,7,60,22,97,77,7,40,75,41,33,39,18,14,42,18,26,1,71,0,2,1,69,5.49599786385669,54.9481339026803,93,49.3298651279895,38,32,29,11,23,53,48,A,A,A,-1,-1,CO,-1,A,alamosa co,29,71,29,0,0
County,CO Colorado,CO Arapahoe County 08005,9,Summary of All HUD Programs,1,A,Arapahoe County,8005,4783.0,97,5225,99,5.41725359687611,8,2.1119459969276,9926.11840571911,257.937619437568,651.382276641873,10899.8218390696,5155.29902075091,18,37,22,13,10,20,9,70,18,99,88,5,33,73,34,39,29,19,4,46,17,32,4,60,41,2,6,13,19.0930817821649,69.3713109494682,74,83.6379061960853,43,32,25,15,9,34,41,A,A,A,-1,-1,CO,-1,A,arapahoe co,40,60,40,0,0
County,CO Colorado,CO Archuleta County 08007,9,Summary of All HUD Programs,1,A,Archuleta County,8007,119.0,95,116,99,5.83841209751535,21,1.95839704309886,237.307129431944,280.418817927749,421.190109639151,11060.1899902198,5611.93128463564,9,43,22,20,5,29,4,67,24,98,70,7,29,76,31,26,18,12,4,36,14,45,6,46,0,0,2,44,13.4,55.9100834145839,26,87.7328709727457,54,12,34,9,12,21,62,A,A,A,-1,-1,CO,-1,A,archuleta co,54,46,54,0,0
County,CO Colorado,CO Baca County 08009,9,Summary of All HUD Programs,1,A,Baca County,8009,50.0,90,48,96,6.9295,15,1.06649616368286,52.125,224.51,381.48,11929.595,11176.8824940048,6,31,42,15,6,5,4,89,29,96,60,0,0,66,0,100,20,42,0,15,17,68,19,5,0,0,0,5,-1.0,52.1521666666667,0,-1.0,100,0,0,0,16,9,64,A,A,A,-1,-1,CO,-1,A,baca co,95,5,95,0,0
County,CO Colorado,CO Bent County 08011,9,Summary of All HUD Programs,1,A,Bent County,8011,147.0,85,115,91,3.72702324247857,6,2.23610596101175,277.031415048757,242.368299028565,465.909981656549,10120.5304305713,4525.96192087076,17,41,25,12,5,18,4,78,21,98,83,15,28,73,39,47,68,27,6,50,20,23,2,55,2,0,1,53,6.55641025641026,70.7540395931081,54,181.02610360655,30,35,35,28,20,38,55,A,A,A,-1,-1,CO,-1,A,bent co,45,55,45,0,0
County,CO Colorado,CO Boulder County 08013,9,Summary of All HUD Programs,1,A,Boulder County,8013,2923.0,96,2425,85,5.70826609781053,6,2.06122947116856,5206.54529431812,295.618004907547,643.903786012103,12362.5892958837,5961.47005753997,13,34,24,16,14,21,7,71,17,99,90,6,31,75,32,44,32,21,5,44,17,35,5,36,3,2,2,33,11.0814436428614,82.9971424580201,70,93.6333927814774,37,31,32,22,10,23,49,A,A,A,-1,-1,CO,-1,A,boulder co,64,36,64,0,0
County,CO Colorado,CO Chaffee County 08015,9,Summary of All HUD Programs,1,A,Chaffee County,8015,155.0,97,152,100,6.21439411279091,12,1.35670424774486,211.103054688783,286.375771799665,436.912165794082,12418.0081139912,9153.06938460064,3,40,28,22,6,9,3,88,29,95,61,1,11,72,12,77,18,34,1,23,25,51,10,10,0,1,1,10,9.03919001780798,74.1559255153363,66,67.2841950006728,68,20,12,16,12,13,57,A,A,A,-1,-1,CO,-1,A,chaffee co,90,10,90,0,0
County,CO Colorado,CO Cheyenne County 08017,9,Summary of All HUD Programs,1,A,Cheyenne County,8017,25.0,100,25,100,5.59733333333333,44,1.8,45.0,314.28,251.0,18914.32,10507.9555555556,12,12,32,4,40,50,0,50,40,64,40,8,20,56,16,7,0,2,12,40,8,40,8,4,0,0,0,4,0.912121212121212,37.9133333333333,0,-1.0,40,8,52,40,11,9,61,A,A,A,-1,-1,CO,-1,A,cheyenne co,96,4,96,0,0
County,CO Colorado,CO Clear Creek County 08019,9,Summary of All HUD Programs,1,A,Clear Creek County,8019,26.0,99,25,100,5.54047163312011,8,1.12030843562715,28.1161110198719,305.023420603456,263.72918086783,13097.7768504229,11691.2239825194,0,40,36,8,16,0,0,100,24,100,80,0,4,76,4,100,6,32,0,16,16,68,4,4,0,4,0,0,47.6666666666667,39.2410702541758,32,66.0,72,20,8,20,6,7,48,A,A,A,-1,-1,CO,-1,A,clear creek co,96,4,96,0,0
