Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2017-12-31 00:00:00,County,CO Colorado,CO Denver County 08031,9,S236/BMIR,7,,Denver County,08031,223,-5,217,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,CO,,,denver co,-5,-5,0,0
2017-12-31 00:00:00,County,CO Colorado,CO La Plata County 08067,9,202/PRAC,8,,Plata County,08067,53,99,53,100,7,13,1.0,53,333,427,15323,15323,-1,23,30,30,17,2,-1,98,30,96,53,-1,-1,77,-1,-1,6,6,-1,-1,-1,100,4,6,-1,-1,-1,62,-1,2,4,6,0,-1,54,-1,-1,100,-1,-1,-1,12,22,48,,,,,,CO,,,plata co,6,62,32,0
2017-12-31 00:00:00,County,CO Colorado,CO Fremont County 08043,9,Project Based Section 8,5,,Fremont County,08043,146,98,145,100,7,18,1.0,148,279,664,12634,12378,1,37,34,19,8,2,1,97,29,99,61,-1,-1,65,-1,97,10,31,-1,8,16,76,7,11,1,2,4,59,-1,2,2,4,1,-1,59,-1,-1,100,-1,-1,-1,21,12,69,,,,,,CO,,,fremont co,11,59,30,0
2017-12-31 00:00:00,County,CO Colorado,CO Montrose County 08085,9,Project Based Section 8,5,,Montrose County,08085,210,96,209,100,6,17,1.4,301,258,578,11431,7937,9,36,29,19,7,8,2,86,25,99,69,1,17,67,15,57,31,29,3,21,17,58,7,11,0,0,1,66,-1,5,3,9,0,-1,65,40,103,71,18,11,10,23,25,61,,,,,,CO,,,montrose co,11,66,23,0
2017-12-31 00:00:00,County,CO Colorado,CO Arapahoe County 08005,9,811/PRAC,9,,Arapahoe County,08005,62,86,55,100,7,13,1.0,55,295,419,12210,12210,-1,47,31,13,9,4,-1,96,21,98,85,-1,-1,33,-1,100,100,100,5,47,29,18,-1,7,5,-1,2,71,-1,-1,-1,0,0,-1,96,-1,-1,100,-1,-1,-1,6,23,80,,,,,,CO,,,arapahoe co,7,71,22,0
2017-12-31 00:00:00,County,CO Colorado,CO Montrose County 08085,9,202/PRAC,8,,Montrose County,08085,97,96,96,100,6,14,1.0,98,311,499,13951,13666,-1,21,43,33,3,-1,-1,100,32,98,44,-1,-1,78,-1,-1,4,4,-1,-1,-1,100,18,8,-1,2,1,70,-1,-1,5,5,0,-1,67,-1,-1,100,-1,-1,-1,21,20,61,,,,,,CO,,,montrose co,8,70,22,0
2017-12-31 00:00:00,County,CO Colorado,CO Adams County 08001,9,811/PRAC,9,,Adams County,08001,25,96,24,100,5,8,1.1,26,303,382,12667,11693,-1,38,38,17,8,-1,-1,100,21,100,92,-1,-1,38,-1,100,100,92,4,33,33,29,-1,33,17,-1,-1,46,-1,4,13,17,0,-1,46,-1,-1,100,-1,-1,-1,27,64,59,,,,,,CO,,,adams co,33,46,21,0
2017-12-31 00:00:00,County,CO Colorado,CO Mesa County 08077,9,811/PRAC,9,,Mesa County,08077,15,92,14,100,9,29,1.0,14,256,331,11269,11269,-1,50,43,7,-1,-1,-1,100,26,100,79,-1,-1,79,-1,100,100,100,-1,50,7,43,-1,0,-1,-1,-1,79,-1,-1,-1,0,0,-1,106,-1,-1,100,-1,-1,-1,30,21,56,,,,,,CO,,,mesa co,0,79,21,0
2017-12-31 00:00:00,County,CO Colorado,CO Larimer County 08069,9,Project Based Section 8,5,,Larimer County,08069,509,96,495,100,6,15,1.5,764,287,615,12795,8290,6,30,32,17,15,13,4,77,22,98,79,2,23,79,22,37,16,17,5,22,12,62,9,16,2,1,1,64,0,9,2,11,0,-1,74,23,65,71,22,7,3,17,20,52,,,,,,CO,,,larimer co,16,64,20,0
2017-12-31 00:00:00,County,CO Colorado,CO Jefferson County 08059,9,811/PRAC,9,,Jefferson County,08059,26,96,27,100,7,15,1.0,27,273,150,11417,11417,4,48,30,11,7,4,-1,96,20,100,89,-1,-1,63,-1,95,100,96,-1,33,48,19,-1,4,-1,4,-1,78,-1,-1,-1,0,0,-1,97,-1,-1,100,-1,-1,-1,17,55,26,,,,,,CO,,,jefferson co,4,78,18,0
2017-12-31 00:00:00,County,CO Colorado,CO Morgan County 08087,9,Project Based Section 8,5,,Morgan County,08087,119,72,90,100,7,27,2.0,178,265,452,11788,5960,14,31,28,14,14,17,8,72,24,97,71,-1,34,79,34,38,26,17,2,37,19,42,7,22,4,-1,1,62,-1,16,1,17,0,-1,59,40,96,59,19,22,6,11,42,65,,,,,,CO,,,morgan co,22,62,16,0
2017-12-31 00:00:00,County,CO Colorado,CO Denver County 08031,9,811/PRAC,9,,Denver County,08031,101,96,93,96,6,13,1.1,99,256,513,10812,10157,9,54,22,9,7,8,6,85,18,99,90,-1,4,61,4,100,76,90,-1,38,44,18,-1,38,19,2,3,47,-1,8,5,13,1,-1,74,17,35,87,9,4,12,22,46,45,,,,,,CO,,,denver co,38,47,15,0
2017-12-31 00:00:00,County,CO Colorado,CO Weld County 08123,9,202/PRAC,8,,Weld County,08123,82,98,82,100,6,12,1.1,87,282,239,12664,11936,-1,40,35,20,5,-1,1,99,25,100,76,-1,-1,60,-1,-1,2,2,-1,-1,-1,100,15,56,-1,-1,-1,30,-1,4,52,56,0,-1,74,-1,-1,100,-1,-1,-1,38,79,33,,,,,,CO,,,weld co,56,30,14,0
2017-12-31 00:00:00,County,CO Colorado,CO Delta County 08029,9,202/PRAC,8,,Delta County,08029,40,98,39,100,6,23,1.0,40,333,536,14450,14089,-1,33,21,31,15,-1,-1,100,33,90,54,-1,-1,85,-1,-1,13,13,-1,-1,-1,100,15,3,-1,-1,-1,85,-1,3,-1,3,0,-1,46,-1,-1,100,-1,-1,-1,18,27,57,,,,,,CO,,,delta co,3,85,12,0
2017-12-31 00:00:00,County,CO Colorado,CO Lake County 08065,9,Project Based Section 8,5,,Lake County,08065,25,92,22,95,7,18,1.2,26,319,543,14497,12267,-1,27,41,14,18,9,-1,91,32,95,55,5,-1,50,5,71,27,35,-1,18,14,68,-1,14,-1,-1,-1,77,-1,14,-1,14,0,-1,72,5,76,82,18,-1,9,9,33,76,,,,,,CO,,,lake co,14,77,9,0
2017-12-31 00:00:00,County,CO Colorado,CO Mesa County 08077,9,202/PRAC,8,,Mesa County,08077,59,93,58,100,6,22,1.1,64,309,381,14482,13124,-1,22,36,33,9,-1,-1,100,32,97,47,-1,-1,74,-1,-1,19,17,-1,-1,-1,100,24,10,2,3,-1,81,-1,-1,5,5,2,-1,75,-1,-1,100,-1,-1,-1,20,19,46,,,,,,CO,,,mesa co,10,81,9,0
2017-12-31 00:00:00,County,CO Colorado,CO Pueblo County 08101,9,202/PRAC,8,,Pueblo County,08101,95,98,96,100,7,20,1.1,101,296,174,12967,12325,-1,38,33,23,6,1,-1,99,29,99,61,-1,-1,69,-1,-1,18,17,-1,-1,-1,100,19,41,2,-1,1,50,-1,31,6,38,1,-1,73,1,25,100,-1,-1,-1,40,55,30,,,,,,CO,,,pueblo co,41,50,9,0
2017-12-31 00:00:00,County,CO Colorado,CO Denver County 08031,9,Project Based Section 8,5,,Denver County,08031,6014,95,5745,100,6,13,1.4,8299,273,823,11659,8071,11,42,24,13,10,10,6,81,19,99,87,1,15,61,15,53,33,30,3,22,21,55,6,55,23,1,5,37,1,16,10,26,1,-1,80,38,49,78,14,8,4,22,45,30,,,,,,CO,,,denver co,55,37,8,0
2017-12-31 00:00:00,County,CO Colorado,CO Kit Carson County 08063,9,Project Based Section 8,5,,Kit Carson County,08063,66,93,69,100,5,38,2.0,139,213,480,10019,4973,27,28,18,16,10,23,7,67,20,100,77,13,32,71,38,39,53,22,13,48,19,20,1,35,1,-1,1,58,-1,12,20,32,0,-1,54,-1,-1,51,29,20,6,14,26,68,,,,,,CO,,,kit carson co,35,58,7,0
2017-12-31 00:00:00,County,CO Colorado,CO Adams County 08001,9,Project Based Section 8,5,,Adams County,08001,978,91,901,100,6,13,2.3,2050,273,784,11923,5240,15,33,25,11,16,20,7,67,18,99,86,8,36,77,39,35,18,14,3,44,14,39,3,61,14,1,5,33,1,23,17,41,1,-1,72,58,53,44,27,30,8,26,63,46,,,,,,CO,,,adams co,61,33,6,0
2017-12-31 00:00:00,County,CO Colorado,CO El Paso County 08041,9,Project Based Section 8,5,,El Paso County,08041,1041,97,884,88,7,15,1.7,1500,253,589,10986,6474,14,40,25,12,8,15,7,77,20,99,83,2,28,73,27,32,32,19,7,29,16,48,6,49,23,1,6,45,1,10,8,20,3,-1,71,32,58,64,20,16,3,26,44,53,,,,,,CO,,,el paso co,49,45,6,0
2017-12-31 00:00:00,County,CO Colorado,CO Arapahoe County 08005,9,Project Based Section 8,5,,Arapahoe County,08005,1186,97,1168,100,6,13,1.7,1978,295,709,12844,7585,9,33,27,16,15,17,5,76,20,99,83,5,20,70,21,29,17,13,3,25,11,61,7,56,28,3,12,39,0,8,5,13,1,-1,86,54,66,61,32,7,9,21,47,48,,,,,,CO,,,arapahoe co,56,39,5,0
2017-12-31 00:00:00,County,CO Colorado,CO Douglas County 08035,9,Project Based Section 8,5,,Douglas County,08035,53,98,52,100,6,6,1.5,76,311,826,14195,9712,10,27,20,22,22,8,6,85,23,98,79,4,19,75,23,22,18,13,-1,21,13,65,12,12,2,-1,4,83,-1,6,-1,6,0,-1,73,37,85,63,37,-1,12,18,18,61,,,,,,CO,,,douglas co,12,83,5,0
