State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
CO,Adams County,26850,30700,34550,38350,41450,44500,47600,50650,16100,18400,20700,23850,27910,31970,36030,40090,42950,49100,55250,61350,66300,71200,76100,81000
CO,Alamosa County,20200,23050,25950,28800,31150,33450,35750,38050,12150,15730,19790,23850,27910,31970,35750,38050,32300,36900,41500,46100,49800,53500,57200,60900
CO,Arapahoe County,26850,30700,34550,38350,41450,44500,47600,50650,16100,18400,20700,23850,27910,31970,36030,40090,42950,49100,55250,61350,66300,71200,76100,81000
CO,Archuleta County,23950,27400,30800,34200,36950,39700,42450,45150,14350,16400,19790,23850,27910,31970,36030,40090,38300,43800,49250,54700,59100,63500,67850,72250
CO,Baca County,20200,23050,25950,28800,31150,33450,35750,38050,12150,15730,19790,23850,27910,31970,35750,38050,32300,36900,41500,46100,49800,53500,57200,60900
CO,Bent County,20200,23050,25950,28800,31150,33450,35750,38050,12150,15730,19790,23850,27910,31970,35750,38050,32300,36900,41500,46100,49800,53500,57200,60900
CO,Boulder County,33650,38450,43250,48050,51900,55750,59600,63450,20200,23100,26000,28850,31200,33500,36030,40090,44750,51150,57550,63900,69050,74150,79250,84350
CO,Broomfield County,26850,30700,34550,38350,41450,44500,47600,50650,16100,18400,20700,23850,27910,31970,36030,40090,42950,49100,55250,61350,66300,71200,76100,81000
CO,Chaffee County,20350,23250,26150,29050,31400,33700,36050,38350,12250,15730,19790,23850,27910,31970,36030,38350,32550,37200,41850,46500,50250,53950,57700,61400
CO,Cheyenne County,23950,27400,30800,34200,36950,39700,42450,45150,14350,16400,19790,23850,27910,31970,36030,40090,38300,43800,49250,54700,59100,63500,67850,72250
