sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Fairfield County,9001,-1,-1,14992,-1,6,11,2.1,31194,359,747,15.3,7.4,10,31,21,14,24,33,4,60,18,91,77,12,28,79,38,28,22,14,5,44,14,37,5,70,38,0,1,31,36,85,69,26,48,26,26,7,58,17,18,-1,-1,-1,-1,-1,CT,-1,-1,30,70,30,0,0
9,1,All HUD,-1,Hartford County,9003,-1,-1,21865,-1,6,13,2.2,47424,297,632,13.2,6.1,13,35,22,13,17,28,8,59,19,96,80,11,32,81,41,30,26,16,5,47,16,32,4,72,28,0,1,43,30,78,75,30,43,29,28,7,56,23,24,-1,-1,-1,-1,-1,CT,-1,-1,28,72,28,0,0
9,1,All HUD,-1,Litchfield County,9005,-1,-1,1460,-1,6,17,1.6,2344,306,483,13.7,8.5,5,31,30,17,17,19,3,77,20,88,72,7,17,75,22,50,17,23,4,32,16,48,10,16,4,0,0,12,9,64,66,26,65,23,13,7,7,6,39,-1,-1,-1,-1,-1,CT,-1,-1,84,16,84,0,0
9,1,All HUD,-1,Middlesex County,9007,-1,-1,1693,-1,5,16,1.8,3088,323,555,14.0,7.7,6,32,27,15,20,27,6,66,21,95,75,7,27,78,32,41,17,19,4,43,14,39,6,39,24,0,0,14,16,71,56,13,53,30,17,8,23,11,40,-1,-1,-1,-1,-1,CT,-1,-1,61,39,61,0,0
9,1,All HUD,-1,New Haven County,9009,-1,-1,21010,-1,6,12,2.2,45198,317,649,13.8,6.5,12,31,23,14,19,29,9,59,21,93,74,11,32,81,41,30,22,16,5,47,14,34,6,64,35,0,0,29,15,77,67,20,43,29,28,10,53,22,23,-1,-1,-1,-1,-1,CT,-1,-1,36,64,36,0,0
9,1,All HUD,-1,New London County,9011,-1,-1,3635,-1,6,15,2.0,7231,315,617,13.6,6.9,9,31,24,16,19,29,7,62,22,96,74,9,32,82,39,29,14,13,9,39,13,40,7,39,14,1,1,24,17,67,65,24,48,31,21,7,34,15,27,-1,-1,-1,-1,-1,CT,-1,-1,61,39,61,0,0
9,1,All HUD,-1,Tolland County,9013,-1,-1,1169,-1,6,13,1.8,2051,321,627,14.9,8.6,5,25,30,18,22,23,4,71,21,85,64,6,24,80,28,34,10,14,7,35,9,49,9,20,9,1,1,9,9,67,59,20,63,24,13,4,12,7,41,-1,-1,-1,-1,-1,CT,-1,-1,80,20,80,0,0
9,1,All HUD,-1,Windham County,9015,-1,-1,2192,-1,5,18,2.3,5001,310,503,13.8,6.1,11,31,23,16,19,34,7,55,18,84,66,14,36,80,46,29,29,16,12,51,13,24,3,38,4,0,0,34,14,60,67,34,34,43,24,8,23,14,37,-1,-1,-1,-1,-1,CT,-1,-1,62,38,62,0,0
9,1,All HUD,-1,Missing County,9999,-1,-1,22,-1,7,32,1.0,23,288,413,13.4,12.8,0,27,50,18,5,14,0,86,-2,-2,-2,0,5,77,5,83,25,39,5,5,18,73,14,14,5,0,0,9,-2,99,9,0,91,9,0,5,0,0,0,-1,-1,-1,-1,-1,CT,-1,-1,86,14,86,0,0
9,3,VO,-1,Fairfield County,9001,-1,-1,5852,-1,6,11,2.5,14758,439,914,16.6,6.6,11,27,18,13,30,46,5,45,19,97,79,17,41,88,55,25,41,13,4,65,17,14,1,80,41,0,0,38,32,70,94,155,26,37,37,9,60,15,20,-1,-1,-1,-1,-1,CT,-1,-1,20,80,20,0,0
