sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Fairfield County,9001,-1,-1,15111,-1,5,11,2.1,31073,368,797,15.8,7.8,9,30,21,15,25,33,4,60,19,90,75,12,27,79,37,29,22,15,4,43,14,38,5,71,37,0,1,33,34,87,69,27,49,26,26,7,58,16,18,-1,-1,-1,-1,-1,CT,-1,-1,fairfield ct,29,71,29,0,0
9,1,All HUD,-1,Hartford County,9003,-1,-1,22006,-1,6,12,2.2,47553,311,651,13.7,6.4,12,34,21,14,19,29,8,58,19,95,78,12,31,80,41,30,28,17,5,46,16,32,4,72,28,0,1,43,34,81,76,32,43,29,27,7,56,22,24,-1,-1,-1,-1,-1,CT,-1,-1,hartford ct,28,72,28,0,0
9,1,All HUD,-1,Litchfield County,9005,-1,-1,1575,-1,5,13,1.6,2533,322,476,14.5,9.0,4,29,29,20,18,19,3,77,18,77,61,6,18,75,23,49,18,23,5,31,16,49,11,15,4,1,1,10,16,70,66,27,64,23,13,8,7,6,39,-1,-1,-1,-1,-1,CT,-1,-1,litchfield ct,85,15,85,0,0
9,1,All HUD,-1,Middlesex County,9007,-1,-1,1741,-1,5,12,1.8,3145,333,569,14.6,8.1,6,31,26,15,22,24,5,68,22,94,73,7,26,78,31,42,29,23,4,40,15,41,6,39,23,0,0,15,11,75,55,17,54,29,17,8,23,11,40,-1,-1,-1,-1,-1,CT,-1,-1,middlesex ct,61,39,61,0,0
9,1,All HUD,-1,New Haven County,9009,-1,-1,22146,-1,6,14,2.1,46989,332,682,14.2,6.8,12,31,22,15,21,28,7,61,21,92,73,11,31,80,40,32,26,17,5,47,15,34,6,64,34,0,0,29,17,79,66,25,44,29,27,10,53,22,23,-1,-1,-1,-1,-1,CT,-1,-1,new haven ct,36,64,36,0,0
9,1,All HUD,-1,New London County,9011,-1,-1,3697,-1,5,15,2.0,7214,323,628,14.0,7.3,9,30,24,17,21,28,7,63,22,95,72,8,31,82,38,30,14,14,8,39,14,40,7,39,15,1,1,23,14,67,65,29,49,30,21,7,31,15,28,-1,-1,-1,-1,-1,CT,-1,-1,new london ct,61,39,61,0,0
9,1,All HUD,-1,Tolland County,9013,-1,-1,1199,-1,6,15,1.7,2085,331,661,15.6,9.0,6,22,26,21,24,23,4,71,22,85,62,6,24,79,27,35,9,14,7,34,10,50,10,19,9,1,1,8,23,67,57,19,63,24,13,4,12,7,42,-1,-1,-1,-1,-1,CT,-1,-1,tolland ct,81,19,81,0,0
9,1,All HUD,-1,Windham County,9015,-1,-1,2250,-1,5,16,2.3,5129,339,507,14.6,6.4,11,29,22,16,21,35,7,54,19,83,65,15,37,80,46,27,30,15,13,51,12,24,3,40,4,0,0,35,13,62,66,35,33,43,23,8,23,14,36,-1,-1,-1,-1,-1,CT,-1,-1,windham ct,60,40,60,0,0
9,1,All HUD,-1,Missing County,9999,-1,-1,20,-1,7,0,1.2,23,325,417,14.5,12.6,0,20,55,20,5,15,0,85,-2,-2,-2,0,5,75,5,80,33,39,0,10,15,75,5,15,10,0,0,5,-2,94,10,0,90,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,CT,-1,-1,nan ct,85,15,85,0,0
9,5,S8 NC/SR,-1,Fairfield County,9001,3790,94,3620,99,6,8,1.2,4474,311,892,14.1,11.5,3,35,27,17,18,10,1,89,18,91,77,2,5,67,6,68,14,24,1,13,12,74,13,39,20,0,1,18,-1,90,38,33,89,9,2,2,51,14,18,-1,-1,-1,-1,-1,CT,-1,-1,fairfield ct,61,39,61,0,0
9,6,S236,-1,Fairfield County,9001,553,81,393,100,7,12,1.4,548,304,500,14.2,10.2,4,37,31,12,16,10,0,89,19,92,83,4,1,56,3,52,9,14,1,9,11,79,10,57,24,0,2,31,-1,93,4,4,82,10,7,5,55,16,33,-1,-1,-1,-1,-1,CT,-1,-1,fairfield ct,43,57,43,0,0
9,7,MF/Other,-1,Fairfield County,9001,1340,81,624,85,6,14,1.6,981,369,521,16.7,10.6,3,22,25,20,30,22,1,77,22,93,68,6,14,75,17,27,5,9,2,21,10,67,14,66,31,0,0,34,-1,112,18,10,67,20,13,10,53,14,21,-1,-1,-1,-1,-1,CT,-1,-1,fairfield ct,34,66,34,0,0
9,5,S8 NC/SR,-1,Hartford County,9003,5077,94,4459,100,6,10,1.5,6510,285,706,13.1,9.1,5,37,26,17,15,10,3,86,20,89,71,4,12,69,14,52,11,19,4,20,12,64,11,49,19,0,1,29,-1,86,56,35,77,14,9,4,48,21,28,-1,-1,-1,-1,-1,CT,-1,-1,hartford ct,51,49,51,0,0
9,6,S236,-1,Hartford County,9003,1307,93,818,97,6,14,1.6,1337,285,416,12.5,7.6,13,36,20,14,17,21,4,73,20,97,80,4,25,71,28,32,16,17,10,32,18,40,5,61,31,0,0,29,-1,79,41,14,61,31,8,6,59,25,29,-1,-1,-1,-1,-1,CT,-1,-1,hartford ct,39,61,39,0,0
9,7,MF/Other,-1,Hartford County,9003,3358,89,2070,88,6,13,2.0,4094,287,612,13.5,6.9,13,35,20,14,18,32,7,58,20,92,75,8,34,75,37,22,16,11,15,37,11,37,4,72,40,1,1,30,-1,77,66,34,45,39,16,9,63,25,22,-1,-1,-1,-1,-1,CT,-1,-1,hartford ct,28,72,28,0,0
9,5,S8 NC/SR,-1,Litchfield County,9005,264,98,232,97,6,8,1.2,285,321,704,15.8,12.9,0,19,32,29,20,6,0,94,24,86,59,1,6,78,6,59,8,15,3,7,7,83,21,4,0,3,0,0,-1,87,52,19,83,15,2,3,5,3,57,-1,-1,-1,-1,-1,CT,-1,-1,litchfield ct,96,4,96,0,0
9,6,S236,-1,Litchfield County,9005,212,99,83,100,7,6,1.4,118,308,369,14.4,10.2,1,24,36,22,17,14,1,83,21,92,70,5,14,86,18,43,16,18,4,18,12,66,16,8,2,1,0,5,-1,122,87,42,69,29,2,2,10,6,41,-1,-1,-1,-1,-1,CT,-1,-1,litchfield ct,92,8,92,0,0
9,7,MF/Other,-1,Litchfield County,9005,579,97,372,93,6,12,1.9,708,316,489,14.8,7.8,8,26,22,23,21,31,5,62,22,97,76,8,33,84,39,21,11,10,11,37,10,42,6,30,4,0,1,25,-1,52,66,29,43,42,15,10,9,8,52,-1,-1,-1,-1,-1,CT,-1,-1,litchfield ct,70,30,70,0,0
9,5,S8 NC/SR,-1,Middlesex County,9007,376,96,385,100,7,10,1.1,422,308,627,14.5,13.3,1,30,29,20,21,2,0,98,24,93,67,0,0,72,0,96,35,44,0,6,8,85,17,17,12,1,0,4,-1,83,31,22,92,8,0,2,23,13,43,-1,-1,-1,-1,-1,CT,-1,-1,middlesex ct,83,17,83,0,0
