gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,CT Connecticut,CT Fairfield County 09001,9,Summary of All HUD Programs,1,A,Fairfield County,9001,19144.0,93,17075,98,5.92402029093981,6,2.08997975036987,35101.3046117521,384.153265117272,899.808200718131,16148.5881557671,7720.8994432505,10,28,20,15,27,29,8,61,19,98,83,4,33,78,35,29,28,16,2,43,17,38,5,76,41,0,1,37,21.1734734664586,97.5439139485976,69,145.881155604477,47,26,28,10,20,68,25,A,A,A,-1,-1,CT,-1,A,fairfield ct,24,76,24,0,0
County,CT Connecticut,CT Hartford County 09003,9,Summary of All HUD Programs,1,A,Hartford County,9003,26179.0,93,22884,98,5.5926387573171,5,2.0922804241108,48511.8292019572,329.324350534301,740.10509950557,13601.1978928288,6500.07234892096,12,33,21,15,20,23,11,64,19,98,83,3,35,80,36,33,40,22,3,45,18,34,4,75,30,0,1,48,30.35910271197,99.1013737887996,75,134.510111197969,45,29,26,9,26,64,27,A,A,A,-1,-1,CT,-1,A,hartford ct,25,75,25,0,0
County,CT Connecticut,CT Litchfield County 09005,9,Summary of All HUD Programs,1,A,Litchfield County,9005,2392.0,90,1885,98,5.7587921942135,8,1.50212105219637,2736.24602145038,346.218172706431,527.455989967005,14864.1862831541,9895.46499026826,5,24,29,21,21,15,2,82,22,99,80,3,16,71,17,52,30,29,2,25,20,53,10,15,5,1,2,12,18.218836678309,76.5441199763759,69,111.104794129889,68,23,9,9,10,15,57,A,A,A,-1,-1,CT,-1,A,litchfield ct,85,15,85,0,0
County,CT Connecticut,CT Middlesex County 09007,9,Summary of All HUD Programs,1,A,Middlesex County,9007,3079.0,75,1888,96,5.15481020009592,11,1.82012377482484,3525.28653193862,365.626711862263,654.363000183915,15403.3212743853,8462.78779907022,7,24,24,19,26,22,7,69,23,97,75,2,31,78,30,38,27,21,2,40,19,39,6,40,27,0,1,13,10.2825246592603,78.6966906268189,59,124.892609258509,51,32,17,10,16,32,43,A,A,A,-1,-1,CT,-1,A,middlesex ct,60,40,60,0,0
County,CT Connecticut,CT New Haven County 09009,9,Summary of All HUD Programs,1,A,New Haven County,9009,28429.0,92,22601,92,7.09587887416878,8,2.0792596121528,48030.1559706537,344.339844745725,848.041291507399,14596.0123958242,7025.74926926403,11,29,21,15,23,25,7,67,21,96,78,3,36,79,37,34,36,21,3,46,18,34,6,69,38,0,1,34,29.2380441014446,94.1885419611024,69,175.943945113145,44,29,27,13,25,61,28,A,A,A,-1,-1,CT,-1,A,new haven ct,31,69,31,0,0
County,CT Connecticut,CT New London County 09011,9,Summary of All HUD Programs,1,A,New London County,9011,4141.0,96,3902,99,5.70560869749918,7,1.97963645549829,7924.30818152135,345.10322053805,731.019668415419,14633.153286911,7394.28140458862,9,27,22,18,24,25,6,68,22,98,76,5,32,78,34,30,25,16,3,40,16,41,7,42,19,1,1,28,26.2486450833337,78.6025180238937,62,111.824373954298,49,28,23,9,18,41,33,A,A,A,-1,-1,CT,-1,A,new london ct,58,42,58,0,0
County,CT Connecticut,CT No county code 09999,9,Summary of All HUD Programs,1,A,Missing County,9999,,-1,-1,-1,7.03541666666666,0,1.0625,17.0,364.625,580.375,16000.8125,15059.5882352941,0,19,25,38,19,0,0,100,27,100,100,0,0,69,0,100,40,41,0,0,6,94,13,6,0,0,0,6,-1.0,111.15625,6,70.0,100,0,0,0,-1,-1,-1,A,A,A,-1,-1,CT,-1,A,nan ct,94,6,94,0,0
County,CT Connecticut,CT Tolland County 09013,9,Summary of All HUD Programs,1,A,Tolland County,9013,1723.0,88,1447,96,5.33319504054626,9,1.75821414563128,2560.78635914202,376.1305661306,711.209989754852,16199.0004944529,9213.3262234884,8,21,24,19,28,19,6,74,24,95,71,3,25,78,25,36,18,17,2,37,15,47,12,28,14,1,2,14,72.4452200601581,76.9271564877862,55,128.715944920562,65,21,14,4,10,20,47,A,A,A,-1,-1,CT,-1,A,tolland ct,72,28,72,0,0
County,CT Connecticut,CT Windham County 09015,9,Summary of All HUD Programs,1,A,Windham County,9015,2625.0,93,2350,98,5.27982235100465,8,2.21194439831459,4907.52898815918,336.983377739937,625.103398388268,14598.2516217412,6616.71575687867,11,29,22,15,23,32,7,60,21,96,78,6,43,80,44,28,37,17,8,52,14,26,3,47,5,0,0,44,25.9064278086365,75.0571264878614,67,135.260569495781,37,42,21,8,21,31,42,A,A,A,-1,-1,CT,-1,A,windham ct,53,47,53,0,0
County,CT Connecticut,CT Fairfield County 09001,9,Public Housing,2,A,Fairfield County,9001,4954.0,96,4740,100,5.54652618982762,4,2.28563853242328,10772.2144033111,356.050003599901,527.704804045519,15861.5811501828,6919.98240546121,12,29,19,14,26,33,12,53,19,97,84,6,39,78,41,24,35,15,4,46,16,34,3,87,47,0,2,42,22.0148899628102,103.733876118104,73,101.417422761678,40,26,34,10,27,77,22,A,A,A,-1,-1,CT,-1,A,fairfield ct,13,87,13,0,0
