Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2017-12-31 00:00:00,County,CT Connecticut,CT Hartford County 09003,9,S236/BMIR,7,,Hartford County,09003,165,-5,55,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,CT,,,hartford ct,-5,-5,0,0
2017-12-31 00:00:00,County,CT Connecticut,CT New London County 09011,9,811/PRAC,9,,New London County,09011,12,94,12,100,7,17,2.5,30,200,939,8892,3557,-1,50,30,20,-1,25,8,50,11,100,100,-1,58,83,58,91,100,40,8,75,8,8,-1,50,17,-1,-1,17,8,17,8,33,8,-1,28,-1,-1,42,25,33,-1,32,65,35,,,,,,CT,,,new london ct,50,17,33,0
2017-12-31 00:00:00,County,CT Connecticut,CT Middlesex County 09007,9,202/PRAC,8,,Middlesex County,09007,85,96,85,100,7,15,1.0,89,416,584,18102,17288,-1,12,26,24,39,-1,-1,100,28,100,54,-1,-1,81,-1,80,1,7,-1,-1,6,94,28,20,14,-1,1,64,1,2,1,5,0,-1,67,-1,-1,100,-1,-1,-1,10,27,50,,,,,,CT,,,middlesex ct,20,64,16,0
2017-12-31 00:00:00,County,CT Connecticut,CT Middlesex County 09007,9,Project Based Section 8,5,,Middlesex County,09007,616,94,603,100,6,10,1.3,807,359,774,15375,11488,1,23,29,24,24,11,0,87,23,99,77,1,12,70,12,57,29,30,3,16,15,66,11,26,14,1,1,62,-1,5,5,10,0,-1,98,40,87,71,27,2,7,15,28,49,,,,,,CT,,,middlesex ct,26,62,12,0
2017-12-31 00:00:00,County,CT Connecticut,CT Hartford County 09003,9,202/PRAC,8,,Hartford County,09003,405,98,406,100,6,10,1.1,427,354,618,15013,14274,1,30,27,20,22,3,0,96,23,98,77,-1,-1,72,-1,100,6,6,-1,-1,0,100,19,49,33,-1,0,41,0,4,12,16,0,-1,73,35,49,100,-1,-1,-1,22,61,37,,,,,,CT,,,hartford ct,49,41,10,0
2017-12-31 00:00:00,County,CT Connecticut,CT New Haven County 09009,9,811/PRAC,9,,New Haven County,09009,126,96,124,100,5,10,1.1,134,279,704,11868,10982,4,48,24,12,12,4,2,90,18,98,88,1,1,41,2,90,86,84,3,36,38,23,-1,59,38,-1,1,34,2,9,10,20,1,-1,70,8,66,77,22,2,19,31,76,15,,,,,,CT,,,new haven ct,59,34,7,0
2017-12-31 00:00:00,County,CT Connecticut,CT Hartford County 09003,9,Project Based Section 8,5,,Hartford County,09003,7484,96,7023,97,6,10,1.6,11457,324,866,13941,8546,6,32,24,18,20,19,2,76,20,98,82,3,22,70,22,31,21,17,4,28,13,55,8,65,24,0,1,29,1,20,19,40,1,-1,104,58,92,66,22,12,7,27,63,26,,,,,,CT,,,hartford ct,65,29,6,0
2017-12-31 00:00:00,County,CT Connecticut,CT Litchfield County 09005,9,202/PRAC,8,,Litchfield County,09005,145,99,146,100,7,11,1.0,151,374,681,17136,16568,1,14,26,28,31,-1,-1,99,27,98,62,-1,-1,74,-1,-1,7,7,-1,-1,1,99,24,4,1,-1,-1,90,-1,2,1,3,1,-1,76,-1,-1,100,-1,-1,-1,10,11,60,,,,,,CT,,,litchfield ct,4,90,6,0
2017-12-31 00:00:00,County,CT Connecticut,CT New London County 09011,9,Project Based Section 8,5,,New London County,09011,2038,98,2040,100,6,10,1.8,3749,356,897,15122,8229,6,27,23,16,28,26,3,68,21,98,78,5,29,74,31,26,24,14,4,35,13,48,6,50,13,1,2,45,3,14,18,35,3,-1,96,50,71,53,33,14,7,24,42,25,,,,,,CT,,,new london ct,50,45,5,0
2017-12-31 00:00:00,County,CT Connecticut,CT New London County 09011,9,202/PRAC,8,,New London County,09011,387,99,385,100,6,10,1.1,407,398,454,17595,16644,1,11,26,30,32,1,-1,99,27,100,63,-1,-1,80,-1,-1,5,5,-1,-1,0,100,24,11,4,-1,4,84,-1,1,2,3,0,-1,75,60,73,100,-1,-1,-1,10,24,57,,,,,,CT,,,new london ct,11,84,5,0
2017-12-31 00:00:00,County,CT Connecticut,CT New Haven County 09009,9,Project Based Section 8,5,,New Haven County,09009,6945,94,6626,100,6,9,1.6,10540,346,916,14746,9270,5,31,25,17,22,18,2,78,22,98,79,3,20,71,21,42,27,22,3,27,15,54,10,61,21,0,0,35,1,21,17,39,0,-1,102,38,124,62,28,10,8,30,60,26,,,,,,CT,,,new haven ct,61,35,4,0
