State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
CT,Fairfield County,42700,48800,54900,61000,65900,70800,75650,80550,25650,29300,32950,36600,39550,42500,45400,48350,57050,65200,73350,81500,88050,94550,101100,107600
CT,Fairfield County,35950,41050,46200,51300,55450,59550,63650,67750,21600,24650,27750,30800,33300,35750,39640,44120,54950,62800,70650,78500,84800,91100,97350,103650
CT,Fairfield County,42700,48800,54900,61000,65900,70800,75650,80550,25650,29300,32950,36600,39550,42500,45400,48350,57050,65200,73350,81500,88050,94550,101100,107600
CT,Fairfield County,42700,48800,54900,61000,65900,70800,75650,80550,25650,29300,32950,36600,39550,42500,45400,48350,57050,65200,73350,81500,88050,94550,101100,107600
CT,Fairfield County,50200,57400,64550,71700,77450,83200,88950,94650,30100,34400,38700,43000,46450,49900,53350,56800,66500,76000,85500,95000,102600,110200,117800,125400
CT,Fairfield County,35950,41050,46200,51300,55450,59550,63650,67750,21600,24650,27750,30800,33300,35750,39640,44120,54950,62800,70650,78500,84800,91100,97350,103650
CT,Fairfield County,35950,41050,46200,51300,55450,59550,63650,67750,21600,24650,27750,30800,33300,35750,39640,44120,54950,62800,70650,78500,84800,91100,97350,103650
CT,Fairfield County,50200,57400,64550,71700,77450,83200,88950,94650,30100,34400,38700,43000,46450,49900,53350,56800,66500,76000,85500,95000,102600,110200,117800,125400
CT,Fairfield County,35950,41050,46200,51300,55450,59550,63650,67750,21600,24650,27750,30800,33300,35750,39640,44120,54950,62800,70650,78500,84800,91100,97350,103650
CT,Fairfield County,50200,57400,64550,71700,77450,83200,88950,94650,30100,34400,38700,43000,46450,49900,53350,56800,66500,76000,85500,95000,102600,110200,117800,125400
CT,Fairfield County,42700,48800,54900,61000,65900,70800,75650,80550,25650,29300,32950,36600,39550,42500,45400,48350,57050,65200,73350,81500,88050,94550,101100,107600
CT,Fairfield County,42700,48800,54900,61000,65900,70800,75650,80550,25650,29300,32950,36600,39550,42500,45400,48350,57050,65200,73350,81500,88050,94550,101100,107600
CT,Fairfield County,50200,57400,64550,71700,77450,83200,88950,94650,30100,34400,38700,43000,46450,49900,53350,56800,66500,76000,85500,95000,102600,110200,117800,125400
CT,Fairfield County,42700,48800,54900,61000,65900,70800,75650,80550,25650,29300,32950,36600,39550,42500,45400,48350,57050,65200,73350,81500,88050,94550,101100,107600
CT,Fairfield County,42700,48800,54900,61000,65900,70800,75650,80550,25650,29300,32950,36600,39550,42500,45400,48350,57050,65200,73350,81500,88050,94550,101100,107600
CT,Fairfield County,35950,41050,46200,51300,55450,59550,63650,67750,21600,24650,27750,30800,33300,35750,39640,44120,54950,62800,70650,78500,84800,91100,97350,103650
CT,Fairfield County,42700,48800,54900,61000,65900,70800,75650,80550,25650,29300,32950,36600,39550,42500,45400,48350,57050,65200,73350,81500,88050,94550,101100,107600
CT,Fairfield County,50200,57400,64550,71700,77450,83200,88950,94650,30100,34400,38700,43000,46450,49900,53350,56800,66500,76000,85500,95000,102600,110200,117800,125400
CT,Fairfield County,35950,41050,46200,51300,55450,59550,63650,67750,21600,24650,27750,30800,33300,35750,39640,44120,54950,62800,70650,78500,84800,91100,97350,103650
CT,Fairfield County,35950,41050,46200,51300,55450,59550,63650,67750,21600,24650,27750,30800,33300,35750,39640,44120,54950,62800,70650,78500,84800,91100,97350,103650
CT,Fairfield County,50200,57400,64550,71700,77450,83200,88950,94650,30100,34400,38700,43000,46450,49900,53350,56800,66500,76000,85500,95000,102600,110200,117800,125400
CT,Fairfield County,50200,57400,64550,71700,77450,83200,88950,94650,30100,34400,38700,43000,46450,49900,53350,56800,66500,76000,85500,95000,102600,110200,117800,125400
CT,Fairfield County,50200,57400,64550,71700,77450,83200,88950,94650,30100,34400,38700,43000,46450,49900,53350,56800,66500,76000,85500,95000,102600,110200,117800,125400
