State code,PUMA,County code,State abbr.,County_Name,allocation factor
11,101,11001,DC,District of Columbia DC,1.0
11,102,11001,DC,District of Columbia DC,1.0
11,105,11001,DC,District of Columbia DC,1.0
11,102,11001,DC,District of Columbia DC,1.0
11,103,11001,DC,District of Columbia DC,1.0
11,103,11001,DC,District of Columbia DC,1.0
11,105,11001,DC,District of Columbia DC,1.0
11,104,11001,DC,District of Columbia DC,1.0
11,102,11001,DC,District of Columbia DC,1.0
11,105,11001,DC,District of Columbia DC,1.0
11,101,11001,DC,District of Columbia DC,1.0
11,104,11001,DC,District of Columbia DC,1.0
11,105,11001,DC,District of Columbia DC,1.0
