gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,DC District of Columbia,DC District of Columbia 11001,9,Summary of All HUD Programs,1,A,District Of Columbia County,11001,36260.0,85,19814,66,9.44152008322433,8,2.11539913583978,59738.4915819584,349.508571881069,1114.57689842226,13224.8685554719,6239.96677259654,16,35,18,11,20,24,14,62,15,99,90,2,37,77,36,24,31,16,3,45,19,32,3,99,95,0,2,4,23.9283333333333,96.7924567261575,67,165.734783172711,47,30,23,11,30,92,7,A,A,A,-1,-1,DC,-1,A,district of columbia dc,1,99,1,0,0
County,DC District of Columbia,DC No county code 11999,9,Summary of All HUD Programs,1,A,Missing County,11999,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,DC,-1,A,nan dc,-1,-1,-1,0,0
County,DC District of Columbia,DC District of Columbia 11001,9,Public Housing,2,A,District Of Columbia County,11001,8026.0,46,1467,36,10.3508975232903,2,-5.0,-5.0,-5.0,-5.0,-5.0,8019.19837691622,-5,-5,-5,-5,-5,-5,-5,-5,16,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,98,-5,-5,-5,-5,-1.0,123.012554548506,-5,-5.0,-5,-5,-5,-5,27,75,7,A,A,A,-1,-1,DC,-1,A,district of columbia dc,2,98,2,0,0
County,DC District of Columbia,DC No county code 11999,9,Public Housing,2,A,Missing County,11999,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,DC,-1,A,nan dc,-1,-1,-1,0,0
County,DC District of Columbia,DC District of Columbia 11001,9,Housing Choice Vouchers,3,A,District Of Columbia County,11001,13401.0,100,7664,57,11.4737422163499,8,2.41741481231762,32386.0689666419,429.924139070214,1095.40267406672,14518.2597767129,6005.69654108886,16,32,17,11,24,29,14,57,15,99,89,1,43,80,42,25,48,18,1,54,24,21,1,99,97,0,0,4,23.9283333333333,86.7871305391204,81,221.159869252186,31,32,36,17,29,96,9,A,A,A,-1,-1,DC,-1,A,district of columbia dc,1,99,1,0,0
County,DC District of Columbia,DC No county code 11999,9,Housing Choice Vouchers,3,A,Missing County,11999,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,DC,-1,A,nan dc,-1,-1,-1,0,0
County,DC District of Columbia,DC District of Columbia 11001,9,Mod Rehab,4,A,District Of Columbia County,11001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,DC,-1,A,district of columbia dc,-1,-1,-1,0,0
County,DC District of Columbia,DC No county code 11999,9,Mod Rehab,4,A,Missing County,11999,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,DC,-1,A,nan dc,-1,-1,-1,0,0
County,DC District of Columbia,DC District of Columbia 11001,9,Section 8 NC/SR,5,A,District Of Columbia County,11001,5676.0,97,5436,99,6.92538739842116,9,1.73457282519082,9700.58196994255,283.119726180715,1002.79462405766,12218.7252798572,7012.5992790935,17,36,19,11,17,21,14,65,15,99,89,1,29,75,29,19,14,10,6,36,13,46,7,99,90,0,7,4,-1.0,98.2441944028147,74,88.2089278020672,63,28,8,5,32,90,3,A,A,A,-1,-1,DC,-1,A,district of columbia dc,1,99,1,0,0
County,DC District of Columbia,DC No county code 11999,9,Section 8 NC/SR,5,A,Missing County,11999,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,DC,-1,A,nan dc,-1,-1,-1,0,0
