Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2016-12-31 00:00:00,County,DC District of Columbia,"DC District of Columbia, District of Columbia 11001",9,Summary of All HUD Programs,1,,"District Of Columbia, District Of Columbia County",11001,33938,89,28441,94,8,5,2.1,60062,341,1062,14278,6761,13,32,19,11,25,24,10,56,16,97,86,2,35,76,35,27,40,19,2,42,24,32,3,96,90,0,2,1,2,1,1,4,0,10,430,59,161,43,32,24,15,28,86,7,,,,,,DC,,,"district of columbia, district of columbia dc",99,1,0,0
2016-12-31 00:00:00,County,DC District of Columbia,"DC District of Columbia, District of Columbia 11001",9,Public Housing,2,,"District Of Columbia, District Of Columbia County",11001,8094,90,6548,90,13,5,2.1,13631,254,769,14281,6860,12,37,19,11,22,22,8,61,16,96,87,1,32,71,31,33,52,24,1,38,26,35,3,95,91,0,1,1,2,1,1,3,0,-1,305,6,141,45,28,28,15,27,80,7,,,,,,DC,,,"district of columbia, district of columbia dc",95,1,4,0
2016-12-31 00:00:00,County,DC District of Columbia,"DC District of Columbia, District of Columbia 11001",9,Housing Choice Vouchers,3,,"District Of Columbia, District Of Columbia County",11001,14913,84,11566,92,7,5,2.3,26460,409,1131,14888,6508,12,31,19,12,27,24,10,52,16,96,85,2,37,77,37,31,57,23,1,43,31,25,1,98,92,0,2,1,2,2,0,4,0,10,770,76,222,34,32,33,19,29,92,10,,,,,,DC,,,"district of columbia, district of columbia dc",99,1,0,0
2016-12-31 00:00:00,County,DC District of Columbia,"DC District of Columbia, District of Columbia 11001",9,Mod Rehab,4,,"District Of Columbia, District Of Columbia County",11001,171,87,353,100,7,16,1.3,470,218,2283,9188,6901,13,49,20,6,11,16,7,57,11,99,94,0,14,47,13,39,61,36,1,35,43,20,1,97,92,0,0,3,4,1,-1,5,1,5,82,40,181,76,22,3,8,26,78,6,,,,,,DC,,,"district of columbia, district of columbia dc",97,3,0,0
2016-12-31 00:00:00,County,DC District of Columbia,"DC District of Columbia, District of Columbia 11001",9,Project Based Section 8,5,,"District Of Columbia, District Of Columbia County",11001,10207,95,9465,98,6,5,2.0,18929,325,1207,13793,6897,15,29,18,12,26,28,10,54,16,98,86,3,37,79,37,16,20,10,4,45,15,36,5,95,88,0,3,1,1,1,2,4,0,-1,131,76,89,49,38,13,9,27,84,5,,,,,,DC,,,"district of columbia, district of columbia dc",95,1,4,0
2016-12-31 00:00:00,County,DC District of Columbia,"DC District of Columbia, District of Columbia 11001",9,RentSup/RAP,6,,"District Of Columbia, District Of Columbia County",11001,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,DC,,,"district of columbia, district of columbia dc",-4,-4,0,0
2016-12-31 00:00:00,County,DC District of Columbia,"DC District of Columbia, District of Columbia 11001",9,202/PRAC,8,,"District Of Columbia, District Of Columbia County",11001,410,99,391,97,6,9,1.1,413,310,397,13327,12618,3,42,26,13,15,3,-1,96,17,99,90,-1,-1,62,-1,55,3,6,-1,2,4,95,14,94,83,0,1,2,1,5,4,10,0,-1,92,55,66,100,-1,-1,-1,21,84,4,,,,,,DC,,,"district of columbia, district of columbia dc",94,2,4,0
2016-12-31 00:00:00,County,DC District of Columbia,"DC District of Columbia, District of Columbia 11001",9,811/PRAC,9,,"District Of Columbia, District Of Columbia County",11001,143,88,117,94,7,3,1.4,158,270,740,11639,8619,6,50,28,5,11,12,-1,83,15,97,92,3,6,46,7,89,91,70,-1,33,38,29,1,85,73,-1,3,9,-1,6,3,9,0,-1,124,-1,-1,69,18,13,20,20,76,16,,,,,,DC,,,"district of columbia, district of columbia dc",85,9,6,0
2016-12-31 00:00:00,County,DC District of Columbia,"DC Missing, District of Columbia 11XXX",9,Summary of All HUD Programs,1,,Missing County,11XXX,102,84,79,92,16,-1,2.3,180,55,1132,21664,9508,9,27,19,11,35,34,8,53,-1,-1,-1,5,32,75,33,37,73,26,-1,34,38,28,1,97,94,-1,-1,3,1,1,1,4,0,-1,1191,25,191,96,3,1,3,-1,-1,-1,,,,,,DC,,,missing dc,97,3,0,0
2016-12-31 00:00:00,County,DC District of Columbia,"DC Missing, District of Columbia 11XXX",9,Housing Choice Vouchers,3,,Missing County,11XXX,102,84,79,92,16,-1,2.3,180,55,1132,21664,9508,9,27,19,11,35,34,8,53,-1,-1,-1,5,32,75,33,37,73,26,-1,34,38,28,1,97,94,-1,-1,3,1,1,1,4,0,-1,1191,25,191,96,3,1,3,-1,-1,-1,,,,,,DC,,,missing dc,97,3,0,0
