gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,DE Delaware,DE Kent County 10001,9,Summary of All HUD Programs,1,A,Kent County,10001,2422.0,93,2249,98,6.30099275919542,12,2.10564406456296,4811.9099909446,287.589937324395,552.98571034889,12086.8189300871,5733.83462012169,13,33,25,16,13,24,7,67,25,94,68,3,39,83,39,41,25,19,8,43,17,32,4,70,65,1,0,4,12.6466520152985,64.2904485868189,60,183.60913659412,42,31,28,14,14,39,41,A,A,A,-1,-1,DE,-1,A,kent de,30,70,30,0,0
County,DE Delaware,DE New Castle County 10003,9,Summary of All HUD Programs,1,A,New Castle County,10003,9428.0,86,7927,97,6.00305161271465,9,2.1250607911055,17388.9544330129,315.507083943135,708.892372373786,12922.737579097,6071.33928247134,13,31,23,15,18,26,7,67,21,98,79,2,41,83,42,32,25,16,6,47,14,33,5,79,72,0,1,7,16.9442695046776,81.8524223119853,69,162.201582626244,47,25,28,8,21,58,21,A,A,A,-1,-1,DE,-1,A,new castle de,21,79,21,0,0
County,DE Delaware,DE No county code 10999,9,Summary of All HUD Programs,1,A,Missing County,10999,,-1,-1,-1,6.95168195718654,66,1.86697247706422,11.7971014492754,386.573394495413,635.344036697248,17136.6146788991,8289.91482391482,0,34,16,0,50,50,18,32,-1,-1,-1,0,34,68,34,0,50,8,0,50,18,32,0,32,16,0,0,16,-1.0,77.2769113149847,47,47.3333333333333,32,32,37,16,-1,-1,-1,A,A,A,-1,-1,DE,-1,A,nan de,68,32,68,0,0
County,DE Delaware,DE Sussex County 10005,9,Summary of All HUD Programs,1,A,Sussex County,10005,1331.0,92,1269,97,6.55086841973083,14,2.16706714166224,2924.9333710459,256.86574738023,550.129807905226,11086.6593012868,5100.943982317,20,30,25,14,11,27,6,67,22,96,76,4,42,81,44,34,24,16,15,44,13,28,3,64,61,0,0,3,-1.0,58.5383535585694,78,149.317527427632,43,33,25,9,15,28,57,A,A,A,-1,-1,DE,-1,A,sussex de,36,64,36,0,0
County,DE Delaware,DE Kent County 10001,9,Public Housing,2,A,Kent County,10001,657.0,90,582,98,6.04957907530022,10,2.69841635989738,1518.99253731343,272.741811266272,593.352590066081,11940.4147733761,4424.97123528786,18,35,20,12,15,42,12,46,22,94,77,4,59,88,60,27,51,12,8,63,16,13,2,85,82,1,0,5,9.16133333333333,66.926274019066,69,171.972978064668,23,32,45,11,16,42,41,A,A,A,-1,-1,DE,-1,A,kent de,15,85,15,0,0
County,DE Delaware,DE New Castle County 10003,9,Public Housing,2,A,New Castle County,10003,1908.0,68,1299,100,5.28651080738688,10,2.0777581083153,2751.28417670685,290.865435339708,865.760874818732,13051.4285546,6281.49566706897,15,33,22,12,18,30,10,60,21,96,81,1,40,80,40,33,48,20,12,42,20,25,2,94,88,0,1,6,14.3015466041951,112.168027133099,52,196.105821755506,47,21,32,11,36,83,5,A,A,A,-1,-1,DE,-1,A,new castle de,6,94,6,0,0
County,DE Delaware,DE No county code 10999,9,Public Housing,2,A,Missing County,10999,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,DE,-1,A,nan de,-1,-1,-1,0,0
County,DE Delaware,DE Sussex County 10005,9,Public Housing,2,A,Sussex County,10005,156.0,87,136,99,7.04396135265703,9,3.32608695652174,462.059999999999,320.115942028986,637.000000000003,14053.7028985508,4225.2962962963,17,20,22,19,22,62,8,29,-1,-1,-1,8,75,91,75,19,60,7,7,78,12,4,0,77,76,0,0,1,-1.0,48.1169082125605,100,210.601449275363,0,48,52,7,14,25,50,A,A,A,-1,-1,DE,-1,A,sussex de,23,77,23,0,0
County,DE Delaware,DE Kent County 10001,9,Housing Choice Vouchers,3,A,Kent County,10001,858.0,97,803,97,6.46393780361394,6,2.26027843014306,1878.82056762101,333.164122136781,641.346733706375,12846.4191646119,5683.55605809097,8,36,23,18,15,24,6,69,25,95,64,3,40,83,41,57,56,28,3,51,24,22,2,73,68,1,0,4,24.8952380952381,71.4750290981011,97,206.158569706102,25,37,38,26,13,39,47,A,A,A,-1,-1,DE,-1,A,kent de,27,73,27,0,0
County,DE Delaware,DE New Castle County 10003,9,Housing Choice Vouchers,3,A,New Castle County,10003,3649.0,90,3235,98,6.03675278817993,6,2.60973587158878,8563.74663453216,368.700738561269,708.439690505887,13260.9923346152,5081.35420100658,14,31,20,15,20,33,9,57,20,98,80,2,58,89,58,29,58,15,2,67,16,14,1,90,83,0,1,8,18.8397271683649,77.1692953948717,92,186.651557932084,25,33,42,13,16,54,28,A,A,A,-1,-1,DE,-1,A,new castle de,10,90,10,0,0
County,DE Delaware,DE No county code 10999,9,Housing Choice Vouchers,3,A,Missing County,10999,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,DE,-1,A,nan de,-1,-1,-1,0,0
County,DE Delaware,DE Sussex County 10005,9,Housing Choice Vouchers,3,A,Sussex County,10005,274.0,100,265,97,6.8382389937107,11,1.95094339622641,535.171201814057,325.584905660379,639.000000000002,12923.9132075472,6624.4429400387,5,34,32,17,13,17,3,81,17,100,100,6,28,77,29,64,41,32,1,43,18,38,5,49,47,1,0,2,-1.0,54.3142138364781,97,180.354085603113,37,37,26,24,13,27,56,A,A,A,-1,-1,DE,-1,A,sussex de,51,49,51,0,0
County,DE Delaware,DE Kent County 10001,9,Mod Rehab,4,A,Kent County,10001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,DE,-1,A,kent de,-1,-1,-1,0,0
County,DE Delaware,DE New Castle County 10003,9,Mod Rehab,4,A,New Castle County,10003,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,DE,-1,A,new castle de,-1,-1,-1,0,0
County,DE Delaware,DE No county code 10999,9,Mod Rehab,4,A,Missing County,10999,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,DE,-1,A,nan de,-1,-1,-1,0,0
County,DE Delaware,DE Sussex County 10005,9,Mod Rehab,4,A,Sussex County,10005,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,DE,-1,A,sussex de,-1,-1,-1,0,0
County,DE Delaware,DE Kent County 10001,9,Section 8 NC/SR,5,A,Kent County,10001,512.0,87,509,100,5.94393923751764,20,1.61540885334611,825.649511978704,251.712341305628,546.953480489767,11408.8128287048,7034.53033593514,17,30,28,14,11,14,7,78,26,93,67,1,28,80,27,33,10,14,16,20,12,52,10,56,53,1,0,2,-1.0,60.8239121569062,9,126.925,65,28,7,4,16,37,32,A,A,A,-1,-1,DE,-1,A,kent de,44,56,44,0,0
