gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,FL Florida,FL Alachua County 12001,9,Summary of All HUD Programs,1,A,Alachua County,12001,4436.0,96,4012,97,5.4727807947837,10,2.44985114558316,9926.55621925688,291.989717114026,538.55897838605,10347.6602505029,4218.17693106649,23,35,21,11,10,26,11,61,21,97,78,3,52,81,52,27,44,15,10,56,18,16,1,80,74,0,1,6,11.8361925003624,63.6032049023737,81,162.58217979851,27,37,36,15,31,52,36,A,A,A,-1,-1,FL,-1,A,alachua fl,20,80,20,0,0
County,FL Florida,FL Baker County 12003,9,Summary of All HUD Programs,1,A,Baker County,12003,329.0,88,291,99,5.24389119128881,11,2.35153233590734,696.053571428572,223.992905242906,503.945827320828,9958.59565897068,4249.24608122322,21,41,19,9,9,27,7,67,21,97,78,5,46,86,46,31,59,17,9,53,15,23,1,29,27,0,0,1,10.0364951768489,56.6015452140453,74,115.347077922078,19,41,40,27,14,14,50,A,A,A,-1,-1,FL,-1,A,baker fl,71,29,71,0,0
County,FL Florida,FL Bay County 12005,9,Summary of All HUD Programs,1,A,Bay County,12005,2214.0,91,2020,97,5.80737572711475,16,2.168005028782,4555.15441476777,247.864379504683,560.000057286011,10601.9747801741,4876.55924837558,19,36,23,13,9,22,7,70,23,96,74,4,43,84,44,28,27,14,11,45,16,28,3,50,44,0,1,5,9.36086986005657,56.2441980134479,89,126.232287986318,32,34,34,16,22,32,43,A,A,A,-1,-1,FL,-1,A,bay fl,50,50,50,0,0
County,FL Florida,FL Bradford County 12007,9,Summary of All HUD Programs,1,A,Bradford County,12007,148.0,94,144,100,5.00326372337012,12,2.70552302179849,392.226544622425,241.398726185027,558.412358273942,10345.8083910786,3802.52724281372,15,42,26,13,4,22,13,64,24,97,73,3,61,89,65,23,38,11,14,55,12,20,1,64,62,0,0,2,30.7583333333333,49.025654138978,100,108.856415639354,8,44,48,27,17,28,52,A,A,A,-1,-1,FL,-1,A,bradford fl,36,64,36,0,0
County,FL Florida,FL Brevard County 12009,9,Summary of All HUD Programs,1,A,Brevard County,12009,5690.0,84,4695,100,5.24895164568456,12,2.21531840371204,10381.3245299565,273.937887974926,543.542282344408,11685.621682794,5264.96815188174,12,37,26,15,11,21,9,68,24,96,72,3,41,81,42,33,34,17,7,47,14,32,5,64,55,0,1,10,6.73180438272733,51.6085308946286,82,125.344541695124,39,32,29,12,20,32,47,A,A,A,-1,-1,FL,-1,A,brevard fl,36,64,36,0,0
County,FL Florida,FL Broward County 12011,9,Summary of All HUD Programs,1,A,Broward County,12011,16159.0,93,15069,100,5.73601558603438,6,2.65249087678994,39630.9907916645,320.934918113859,878.184025317493,12878.5289686864,4850.70587551312,15,34,20,12,18,27,11,59,20,98,82,3,50,86,51,23,34,15,2,55,14,29,3,88,74,0,0,16,19.8917254872062,88.706402648804,92,89.0195083798906,29,35,36,13,21,65,37,A,A,A,-1,-1,FL,-1,A,broward fl,12,88,12,0,0
County,FL Florida,FL Calhoun County 12013,9,Summary of All HUD Programs,1,A,Calhoun County,12013,73.0,94,72,100,5.60098966102191,12,2.39875625164517,250.239130434783,188.680639642011,523.016780731772,9130.81981003774,3806.48088098798,21,52,14,8,5,23,5,72,24,94,79,3,59,87,59,19,43,11,16,50,11,22,2,52,48,1,2,2,5.75971941962141,50.8576880611857,100,103.646069141002,16,45,39,24,23,31,51,A,A,A,-1,-1,FL,-1,A,calhoun fl,48,52,48,0,0
County,FL Florida,FL Charlotte County 12015,9,Summary of All HUD Programs,1,A,Charlotte County,12015,864.0,95,755,100,5.6987153943057,12,1.70437779612768,1233.7560585177,260.169770726399,548.869992367761,11647.1505340871,6824.8756906087,8,36,34,14,8,13,5,80,28,96,61,2,22,75,23,43,14,17,2,29,14,54,9,27,15,0,1,13,13.7784614963304,49.1837292565685,84,106.943927962328,60,23,16,10,11,11,52,A,A,A,-1,-1,FL,-1,A,charlotte fl,73,27,73,0,0
County,FL Florida,FL Citrus County 12017,9,Summary of All HUD Programs,1,A,Citrus County,12017,174.0,88,160,99,5.64611728549476,8,1.51500891923479,235.688995215311,283.260011072154,321.153318570462,11345.5312788337,7488.75543555493,4,46,30,15,5,11,4,85,32,92,54,2,16,63,16,76,75,56,1,45,25,29,2,16,10,0,0,6,28.1851851851852,91.0126991449838,84,105.641441705432,50,31,19,27,12,8,61,A,A,A,-1,-1,FL,-1,A,citrus fl,84,16,84,0,0
County,FL Florida,FL Clay County 12019,9,Summary of All HUD Programs,1,A,Clay County,12019,359.0,94,361,99,4.94679800848043,9,2.51296233487963,823.954739589988,246.692687558106,633.670044634399,10324.7373791674,4083.86948530378,23,31,25,12,9,26,7,65,19,99,83,4,53,85,54,28,59,16,10,54,15,21,2,57,44,0,3,11,14.9090909090909,60.6999899972119,100,118.985447086514,27,34,39,12,11,24,66,A,A,A,-1,-1,FL,-1,A,clay fl,43,57,43,0,0
