State,County_Name,Ttl_Incarc,Ttl_Minority_Incarc,Ttl_White_Incarc
Florida,Alachua County,931,507,424
Florida,Baker County,1382,965,417
Florida,Bay County,982,444,538
Florida,Bradford County,4196,2713,1483
Florida,Brevard County,1030,752,278
Florida,Broward County,1970,1081,889
Florida,Calhoun County,1667,1096,571
Florida,Charlotte County,1108,855,253
Florida,Citrus County,0,0,0
Florida,Clay County,0,0,0
Florida,Collier County,0,0,0
Florida,Columbia County,2545,1553,992
Florida,DeSoto County,2783,1826,957
Florida,Dixie County,1301,705,596
Florida,Duval County,135,59,76
Florida,Escambia County,2439,1634,805
Florida,Flagler County,138,35,103
Florida,Franklin County,1727,1087,640
Florida,Gadsden County,998,536,462
Florida,Gilchrist County,0,0,0
Florida,Glades County,978,622,356
Florida,Gulf County,3358,2043,1315
Florida,Hamilton County,2943,1979,964
Florida,Hardee County,1641,933,708
Florida,Hendry County,0,0,0
Florida,Hernando County,430,173,257
Florida,Highlands County,0,0,0
Florida,Hillsborough County,288,93,195
Florida,Holmes County,1386,815,571
Florida,Indian River County,0,0,0
Florida,Jackson County,7105,4525,2580
Florida,Jefferson County,1174,658,516
Florida,Lafayette County,2035,1297,738
Florida,Lake County,1168,611,557
Florida,Lee County,117,81,36
Florida,Leon County,1182,838,344
Florida,Levy County,227,87,140
Florida,Liberty County,1739,1083,656
Florida,Madison County,1499,1005,494
Florida,Manatee County,0,0,0
Florida,Marion County,4403,2160,2243
Florida,Martin County,1549,1123,426
Florida,Miami-Dade County,5206,3893,1313
Florida,Monroe County,69,50,19
Florida,Nassau County,0,0,0
Florida,Okaloosa County,1279,807,472
Florida,Okeechobee County,1746,1332,414
Florida,Orange County,2405,1187,1218
Florida,Osceola County,0,0,0
Florida,Palm Beach County,3089,2239,850
Florida,Pasco County,657,298,359
Florida,Pinellas County,170,69,101
Florida,Polk County,3268,1848,1420
Florida,Putnam County,454,246,208
Florida,St. Johns County,0,0,0
Florida,St. Lucie County,0,0,0
Florida,Santa Rosa County,2952,2021,931
Florida,Sarasota County,0,0,0
Florida,Seminole County,0,0,0
Florida,Sumter County,9145,7110,2035
Florida,Suwannee County,871,473,398
Florida,Taylor County,3174,2030,1144
Florida,Union County,4805,2613,2192
Florida,Volusia County,1593,888,705
Florida,Wakulla County,3333,2057,1276
Florida,Walton County,1541,809,732
Florida,Washington County,2559,1416,1143
