State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
FL,Alachua County,20950,23900,26900,29900,32300,34700,37100,39450,12550,14350,16150,17950,19400,20800,22250,23700,33500,38300,43050,47850,51700,55500,59350,63150
FL,Baker County,19650,22450,25250,28050,30300,32550,34800,37050,11800,13500,15150,16850,18200,19550,20900,22250,31450,35900,40400,44900,48500,52100,55700,59250
FL,Bay County,19650,22500,25300,28100,30350,32600,34850,37100,11800,13500,15150,16850,18200,19550,20900,22250,31450,35950,40450,44950,48550,52150,55750,59350
FL,Bradford County,17700,20200,22750,25250,27250,29300,31300,33350,10600,12100,13650,15150,16350,17550,18800,20000,28300,32300,36350,40400,43650,46850,50100,53350
FL,Brevard County,21750,24900,28000,31100,33600,36100,38550,41050,13050,14900,16800,18650,20150,21650,23150,24600,34850,39800,44800,49750,53750,57700,61700,65650
FL,Broward County,26800,30600,34450,38250,41300,44350,47450,50500,16050,18350,20650,22950,24800,26600,28450,30300,42850,48950,55100,61200,66100,71000,75900,80800
FL,Calhoun County,16350,18700,21000,23350,25200,27100,28950,30800,9800,11200,12600,14000,15100,16250,17350,18500,26150,29900,33600,37350,40350,43350,46300,49300
FL,Charlotte County,19050,21750,24500,27200,29400,31550,33750,35900,11400,13050,14650,16300,17600,18900,20200,21500,30450,34800,39150,43500,47000,50450,53950,57400
FL,Citrus County,16350,18700,21000,23350,25200,27100,28950,30800,9800,11200,12600,14000,15100,16250,17350,18500,26150,29900,33600,37350,40350,43350,46300,49300
FL,Clay County,22800,26050,29300,32550,35150,37750,40350,42950,13700,15650,17600,19550,21100,22700,24250,25800,36450,41700,46900,52100,56250,60450,64600,68750
FL,Collier County,24800,28300,31850,35400,38250,41050,43900,46750,14900,17000,19150,21250,22950,24650,26350,28050,39650,45300,51000,56650,61200,65700,70250,74800
FL,Columbia County,16350,18700,21000,23350,25200,27100,28950,30800,9800,11200,12600,14000,15100,16250,17350,18500,26150,29900,33600,37350,40350,43350,46300,49300
FL,DeSoto County,16350,18700,21000,23350,25200,27100,28950,30800,9800,11200,12600,14000,15100,16250,17350,18500,26150,29900,33600,37350,40350,43350,46300,49300
FL,Dixie County,16350,18700,21000,23350,25200,27100,28950,30800,9800,11200,12600,14000,15100,16250,17350,18500,26150,29900,33600,37350,40350,43350,46300,49300
FL,Duval County,22800,26050,29300,32550,35150,37750,40350,42950,13700,15650,17600,19550,21100,22700,24250,25800,36450,41700,46900,52100,56250,60450,64600,68750
FL,Escambia County,20000,22850,25700,28550,30850,33100,35400,37700,12000,13700,15450,17150,18500,19900,21250,22650,32000,36550,41150,45700,49350,53000,56650,60300
FL,Flagler County,19800,22650,25450,28300,30550,32850,35100,37350,11900,13600,15300,17000,18350,19700,21100,22450,31700,36250,40750,45300,48900,52550,56150,59800
FL,Franklin County,16350,18700,21000,23350,25200,27100,28950,30800,9800,11200,12600,14000,15100,16250,17350,18500,26150,29900,33600,37350,40350,43350,46300,49300
FL,Gadsden County,22250,25450,28600,31800,34350,36900,39450,42000,13350,15300,17200,19100,20650,22150,23700,25200,35650,40700,45800,50900,54950,59050,63100,67200
FL,Gilchrist County,20950,23900,26900,29900,32300,34700,37100,39450,12550,14350,16150,17950,19400,20800,22250,23700,33500,38300,43050,47850,51700,55500,59350,63150
FL,Glades County,16350,18700,21000,23350,25200,27100,28950,30800,9800,11200,12600,14000,15100,16250,17350,18500,26150,29900,33600,37350,40350,43350,46300,49300
FL,Gulf County,16400,18700,21050,23400,25250,27150,29000,30900,9850,11250,12650,14050,15150,16300,17400,18550,26200,29950,33700,37450,40450,43450,46450,49450
FL,Hamilton County,16350,18700,21000,23350,25200,27100,28950,30800,9800,11200,12600,14000,15100,16250,17350,18500,26150,29900,33600,37350,40350,43350,46300,49300
FL,Hardee County,16350,18700,21000,23350,25200,27100,28950,30800,9800,11200,12600,14000,15100,16250,17350,18500,26150,29900,33600,37350,40350,43350,46300,49300
FL,Hendry County,16350,18700,21000,23350,25200,27100,28950,30800,9800,11200,12600,14000,15100,16250,17350,18500,26150,29900,33600,37350,40350,43350,46300,49300
FL,Hernando County,20700,23700,26650,29600,31950,34350,36700,39050,12450,14200,16000,17750,19150,20600,22000,23450,33150,37900,42600,47350,51150,54950,58700,62500
FL,Highlands County,16350,18700,21000,23350,25200,27100,28950,30800,9800,11200,12600,14000,15100,16250,17350,18500,26150,29900,33600,37350,40350,43350,46300,49300
FL,Hillsborough County,20700,23700,26650,29600,31950,34350,36700,39050,12450,14200,16000,17750,19150,20600,22000,23450,33150,37900,42600,47350,51150,54950,58700,62500
FL,Holmes County,16350,18700,21000,23350,25200,27100,28950,30800,9800,11200,12600,14000,15100,16250,17350,18500,26150,29900,33600,37350,40350,43350,46300,49300
FL,Indian River County,20400,23300,26250,29150,31500,33800,36150,38500,12250,14000,15750,17500,18900,20300,21700,23100,32650,37300,42000,46650,50400,54100,57850,61600
