fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
545,549,704,1000,1036,13,Appling County,18470,GA,0
555,558,704,989,1036,13,Atkinson County,8315,GA,0
493,618,704,870,1036,13,Bacon County,11280,GA,0
562,581,704,887,1036,13,Baker County,3250,GA,0
613,642,731,908,1108,13,Baldwin County,45525,GA,0
602,606,762,942,1056,13,Banks County,18365,GA,0
1111,1131,1289,1596,1951,13,Barrow County,75100,GA,1
1111,1131,1289,1596,1951,13,Bartow County,102625,GA,1
590,618,704,938,1062,13,Ben Hill County,17270,GA,0
532,535,704,1000,1051,13,Berrien County,19015,GA,0
600,739,846,1071,1147,13,Bibb County,153925,GA,1
532,535,704,962,1042,13,Bleckley County,12780,GA,0
728,732,894,1230,1426,13,Brantley County,18410,GA,1
639,643,833,1159,1376,13,Brooks County,15630,GA,1
880,937,1067,1466,1713,13,Bryan County,34885,GA,1
629,632,772,1097,1283,13,Bulloch County,73740,GA,0
685,789,906,1228,1532,13,Burke County,22645,GA,1
709,714,939,1233,1405,13,Butts County,23555,GA,1
545,549,704,880,1095,13,Calhoun County,6505,GA,0
685,689,875,1201,1427,13,Camden County,52250,GA,0
545,549,704,988,1025,13,Candler County,10895,GA,0
1111,1131,1289,1596,1951,13,Carroll County,114900,GA,1
721,742,883,1148,1380,13,Catoosa County,65870,GA,1
590,618,704,968,1049,13,Charlton County,12965,GA,0
880,937,1067,1466,1713,13,Chatham County,285505,GA,1
654,724,827,1122,1415,13,Chattahoochee County,11095,GA,1
472,535,704,989,1199,13,Chattooga County,24880,GA,0
1111,1131,1289,1596,1951,13,Cherokee County,235895,GA,1
737,782,899,1204,1409,13,Clarke County,123555,GA,1
545,549,704,1000,1036,13,Clay County,3025,GA,0
1111,1131,1289,1596,1951,13,Clayton County,274150,GA,1
545,549,704,1000,1036,13,Clinch County,6790,GA,0
1111,1131,1289,1596,1951,13,Cobb County,739070,GA,1
590,595,704,870,955,13,Coffee County,43050,GA,0
544,548,704,870,1006,13,Colquitt County,45890,GA,0
685,789,906,1228,1532,13,Columbia County,143725,GA,1
532,535,704,894,1066,13,Cook County,17190,GA,0
1111,1131,1289,1596,1951,13,Coweta County,138015,GA,1
600,739,846,1071,1147,13,Crawford County,12385,GA,1
590,613,704,870,955,13,Crisp County,23005,GA,0
721,742,883,1148,1380,13,Dade County,16280,GA,1
1111,1131,1289,1596,1951,13,Dawson County,23395,GA,1
556,560,704,904,955,13,Decatur County,27025,GA,0
1111,1131,1289,1596,1951,13,DeKalb County,736065,GA,1
532,535,704,870,1031,13,Dodge County,21065,GA,0
590,618,704,870,955,13,Dooly County,14055,GA,0
666,690,810,1050,1273,13,Dougherty County,91520,GA,1
1111,1131,1289,1596,1951,13,Douglas County,140150,GA,1
547,549,704,882,969,13,Early County,10405,GA,0
639,643,833,1159,1376,13,Echols County,4010,GA,1
880,937,1067,1466,1713,13,Effingham County,57085,GA,1
535,538,708,875,988,13,Elbert County,19290,GA,0
468,535,704,950,1205,13,Emanuel County,22500,GA,0
555,558,704,875,1135,13,Evans County,10755,GA,0
637,643,739,1050,1265,13,Fannin County,24480,GA,0
1111,1131,1289,1596,1951,13,Fayette County,110305,GA,1
654,658,864,1154,1334,13,Floyd County,96470,GA,1
1111,1131,1289,1596,1951,13,Forsyth County,211300,GA,1
532,535,704,974,1052,13,Franklin County,22330,GA,0
1111,1131,1289,1596,1951,13,Fulton County,1010420,GA,1
595,599,788,998,1349,13,Gilmer County,29615,GA,0
590,618,704,1000,1017,13,Glascock County,3025,GA,0
728,732,894,1230,1426,13,Glynn County,83465,GA,1
575,586,704,996,1102,13,Gordon County,56425,GA,0
546,549,723,977,980,13,Grady County,25050,GA,0
575,578,742,922,1041,13,Greene County,16730,GA,0
1111,1131,1289,1596,1951,13,Gwinnett County,889955,GA,1
492,599,741,1001,1005,13,Habersham County,43880,GA,0
840,902,1028,1339,1516,13,Hall County,192865,GA,1
590,618,704,939,1205,13,Hancock County,8665,GA,0
649,653,801,1138,1371,13,Haralson County,28720,GA,1
654,724,827,1122,1415,13,Harris County,33200,GA,1
582,586,771,953,1153,13,Hart County,25535,GA,0
1111,1131,1289,1596,1951,13,Heard County,11605,GA,1
1111,1131,1289,1596,1951,13,Henry County,217505,GA,1
778,855,974,1297,1587,13,Houston County,150340,GA,1
545,549,704,870,1036,13,Irwin County,9280,GA,0
619,623,820,1135,1154,13,Jackson County,63850,GA,0
1111,1131,1289,1596,1951,13,Jasper County,13730,GA,1
545,549,704,870,982,13,Jeff Davis County,15000,GA,0
532,535,704,885,1205,13,Jefferson County,15955,GA,0
545,549,704,968,1036,13,Jenkins County,8930,GA,0
590,618,704,920,1036,13,Johnson County,9800,GA,0
600,739,846,1071,1147,13,Jones County,28540,GA,1
602,606,798,1023,1210,13,Lamar County,18280,GA,1
639,643,833,1159,1376,13,Lanier County,10390,GA,1
551,554,704,968,1106,13,Laurens County,47450,GA,0
666,690,810,1050,1273,13,Lee County,29215,GA,1
876,892,1016,1443,1739,13,Liberty County,62120,GA,1
534,616,704,974,978,13,Lincoln County,7770,GA,1
618,622,750,1065,1276,13,Long County,17855,GA,1
639,643,833,1159,1376,13,Lowndes County,113940,GA,1
678,682,898,1167,1537,13,Lumpkin County,31565,GA,0
685,789,906,1228,1532,13,McDuffie County,21490,GA,1
728,732,894,1230,1426,13,McIntosh County,14060,GA,1
556,559,704,875,1205,13,Macon County,13675,GA,0
737,782,899,1204,1409,13,Madison County,28600,GA,1
654,724,827,1122,1415,13,Marion County,8560,GA,1
642,646,850,1069,1153,13,Meriwether County,21150,GA,1
607,618,704,870,1036,13,Miller County,5885,GA,0
590,618,704,870,955,13,Mitchell County,22575,GA,0
556,671,764,944,1308,13,Monroe County,26795,GA,1
590,618,704,1000,1205,13,Montgomery County,8960,GA,0
701,706,929,1182,1590,13,Morgan County,18015,GA,1
539,587,773,1012,1182,13,Murray County,39445,GA,1
654,724,827,1122,1415,13,Muscogee County,198645,GA,1
1111,1131,1289,1596,1951,13,Newton County,105040,GA,1
737,782,899,1204,1409,13,Oconee County,35970,GA,1
737,782,899,1204,1409,13,Oglethorpe County,14655,GA,1
1111,1131,1289,1596,1951,13,Paulding County,152400,GA,1
511,584,769,1044,1130,13,Peach County,27025,GA,1
1111,1131,1289,1596,1951,13,Pickens County,30345,GA,1
555,559,717,886,1101,13,Pierce County,19140,GA,0
1111,1131,1289,1596,1951,13,Pike County,17920,GA,1
554,558,734,945,995,13,Polk County,41445,GA,0
590,613,704,1000,1036,13,Pulaski County,11395,GA,0
641,645,828,1024,1389,13,Putnam County,21430,GA,0
545,549,704,900,1036,13,Quitman County,2140,GA,0
562,565,744,920,1204,13,Rabun County,16355,GA,0
542,545,704,895,1036,13,Randolph County,7205,GA,0
685,789,906,1228,1532,13,Richmond County,201570,GA,1
1111,1131,1289,1596,1951,13,Rockdale County,88480,GA,1
532,535,704,980,1036,13,Schley County,5170,GA,0
532,535,704,989,1036,13,Screven County,14035,GA,0
562,600,770,958,1150,13,Seminole County,8550,GA,0
1111,1131,1289,1596,1951,13,Spalding County,64190,GA,1
535,539,709,1004,1186,13,Stephens County,25625,GA,0
532,535,704,870,1205,13,Stewart County,5830,GA,1
565,568,748,925,1182,13,Sumter County,30685,GA,0
558,617,704,947,1205,13,Talbot County,6425,GA,1
545,549,704,870,1205,13,Taliaferro County,1845,GA,0
590,618,704,1000,1205,13,Tattnall County,25400,GA,0
468,549,704,908,1074,13,Taylor County,8265,GA,0
468,549,704,870,955,13,Telfair County,16340,GA,0
666,690,810,1050,1273,13,Terrell County,8980,GA,1
633,638,839,1066,1283,13,Thomas County,44910,GA,0
546,550,704,883,1018,13,Tift County,40530,GA,0
532,535,704,975,1181,13,Toombs County,27160,GA,0
612,616,741,1034,1268,13,Towns County,11175,GA,0
