sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Appling County,13001,-1,-1,146,-1,8,32,1.8,260,212,436,10.0,5.6,3,66,19,6,5,23,0,77,13,44,37,5,26,86,29,51,75,36,10,33,23,35,3,56,56,0,0,0,3,51,100,49,36,43,21,34,33,21,49,-1,-1,-1,-1,-1,GA,-1,-1,44,56,44,0,0
9,1,All HUD,-1,Atkinson County,13003,-1,-1,51,-1,4,25,2.2,111,173,379,8.0,3.7,33,43,12,8,4,20,16,61,21,92,75,12,43,86,51,30,14,13,22,55,10,14,2,75,71,2,0,2,1,53,100,71,29,51,20,20,13,7,12,-1,-1,-1,-1,-1,GA,-1,-1,25,75,25,0,0
9,1,All HUD,-1,Bacon County,13005,-1,-1,223,-1,0,34,2.1,471,189,366,9.6,4.5,18,52,18,4,8,33,2,65,25,92,75,6,42,80,45,27,33,14,22,42,16,20,1,87,76,0,0,11,1,69,95,-2,30,37,33,22,23,27,47,-1,-1,-1,-1,-1,GA,-1,-1,13,87,13,0,0
9,1,All HUD,-1,Baker County,13007,-1,-1,5,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,GA,-1,-1,-4,-4,-4,0,0
9,1,All HUD,-1,Baldwin County,13009,-1,-1,598,-1,6,25,2.5,1470,175,380,9.3,3.8,23,48,17,8,4,29,8,58,20,89,75,9,47,87,55,23,55,15,15,54,11,20,4,89,87,0,0,2,7,68,93,38,31,31,38,12,44,21,43,-1,-1,-1,-1,-1,GA,-1,-1,11,89,11,0,0
9,1,All HUD,-1,Banks County,13011,-1,-1,32,-1,1,31,1.3,42,178,351,8.2,6.3,13,69,9,3,6,6,3,91,20,97,91,3,13,72,13,76,40,45,0,25,28,47,0,9,9,0,0,0,-2,70,91,-2,75,9,16,19,8,12,46,-1,-1,-1,-1,-1,GA,-1,-1,91,9,91,0,0
9,1,All HUD,-1,Barrow County,13013,-1,-1,477,-1,6,22,2.1,985,250,393,11.4,5.6,9,49,20,12,10,24,3,69,19,99,86,12,24,81,33,40,26,20,3,39,18,40,4,49,47,1,0,1,37,95,92,0,34,29,37,26,27,12,46,-1,-1,-1,-1,-1,GA,-1,-1,51,49,51,0,0
9,1,All HUD,-1,Bartow County,13015,-1,-1,553,-1,4,24,2.1,1149,230,400,12.2,5.9,11,45,22,9,13,31,2,65,21,96,83,9,33,83,42,36,31,17,9,41,16,34,2,45,44,0,0,0,12,64,92,61,39,29,32,16,24,11,53,-1,-1,-1,-1,-1,GA,-1,-1,55,45,55,0,0
9,1,All HUD,-1,Ben Hill County,13017,-1,-1,378,-1,6,37,2.3,862,189,358,8.8,3.8,17,56,19,4,4,26,5,69,16,71,63,7,47,83,52,32,46,16,15,54,15,16,2,83,81,0,0,2,4,52,79,27,33,30,37,17,47,25,49,-1,-1,-1,-1,-1,GA,-1,-1,17,83,17,0,0
9,1,All HUD,-1,Berrien County,13019,-1,-1,173,-1,2,28,2.0,352,189,259,9.2,4.5,20,47,20,10,3,31,12,57,25,95,73,8,32,78,38,38,41,20,10,47,19,24,3,51,50,0,0,1,5,50,100,-2,37,33,30,22,10,14,43,-1,-1,-1,-1,-1,GA,-1,-1,49,51,49,0,0
