sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Appling County,13001,-1,-1,151.0,-1.0,8.0,35.0,1.8,276.0,238.0,429.0,11.5,6.3,0.0,52.0,30.0,11.0,7.0,38.0,0.0,62.0,31.0,90.0,62.0,4.0,30.0,82.0,32.0,40.0,82.0,32.0,10.0,37.0,21.0,32.0,2.0,60.0,58.0,0.0,0.0,2.0,0.0,56.0,99.0,59.0,34.0,44.0,22.0,29.0,22,20,51,-1,-1,-1,-1,-1,GA,-1,-1,appling ga,40.0,60.0,40.0,0,0
9,1,All HUD,-1,Atkinson County,13003,-1,-1,67.0,-1.0,5.0,34.0,2.1,139.0,177.0,446.0,8.7,4.3,31.0,43.0,9.0,10.0,6.0,33.0,10.0,49.0,22.0,94.0,79.0,10.0,36.0,90.0,40.0,24.0,25.0,12.0,22.0,48.0,12.0,18.0,1.0,51.0,46.0,0.0,0.0,4.0,1.0,37.0,100.0,74.0,33.0,45.0,22.0,19.0,25,14,23,-1,-1,-1,-1,-1,GA,-1,-1,atkinson ga,49.0,51.0,49.0,0,0
9,1,All HUD,-1,Bacon County,13005,-1,-1,224.0,-1.0,6.0,32.0,2.2,499.0,202.0,480.0,10.7,4.8,17.0,46.0,18.0,8.0,11.0,35.0,1.0,64.0,29.0,88.0,68.0,8.0,40.0,81.0,46.0,27.0,40.0,14.0,18.0,46.0,17.0,19.0,1.0,81.0,74.0,0.0,0.0,8.0,1.0,62.0,95.0,-2.0,26.0,39.0,35.0,25.0,23,27,47,-1,-1,-1,-1,-1,GA,-1,-1,bacon ga,19.0,81.0,19.0,0,0
9,1,All HUD,-1,Baker County,13007,-1,-1,8.0,-1.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4,-4,-4,-1,-1,-1,-1,-1,GA,-1,-1,baker ga,-4.0,-4.0,-4.0,0,0
9,1,All HUD,-1,Baldwin County,13009,-1,-1,632.0,-1.0,6.0,26.0,2.5,1563.0,194.0,488.0,10.0,4.0,22.0,41.0,22.0,11.0,4.0,32.0,10.0,52.0,22.0,97.0,77.0,10.0,49.0,89.0,59.0,18.0,54.0,12.0,18.0,51.0,13.0,19.0,4.0,90.0,88.0,0.0,0.0,1.0,7.0,63.0,93.0,46.0,28.0,32.0,40.0,13.0,49,20,46,-1,-1,-1,-1,-1,GA,-1,-1,baldwin ga,10.0,90.0,10.0,0,0
9,1,All HUD,-1,Banks County,13011,-1,-1,30.0,-1.0,9.0,33.0,1.9,56.0,209.0,443.0,9.3,4.9,7.0,70.0,13.0,7.0,3.0,23.0,3.0,70.0,21.0,100.0,90.0,3.0,20.0,77.0,20.0,59.0,50.0,30.0,0.0,33.0,40.0,27.0,0.0,17.0,17.0,0.0,0.0,0.0,4.0,53.0,97.0,-2.0,63.0,10.0,27.0,10.0,8,13,50,-1,-1,-1,-1,-1,GA,-1,-1,banks ga,83.0,17.0,83.0,0,0
9,1,All HUD,-1,Barrow County,13013,-1,-1,477.0,-1.0,6.0,17.0,2.0,975.0,252.0,587.0,11.9,5.9,11.0,42.0,25.0,12.0,11.0,21.0,3.0,71.0,20.0,98.0,85.0,13.0,25.0,83.0,35.0,41.0,25.0,19.0,2.0,38.0,18.0,43.0,4.0,49.0,46.0,1.0,1.0,1.0,15.0,98.0,92.0,0.0,34.0,29.0,37.0,26.0,27,12,45,-1,-1,-1,-1,-1,GA,-1,-1,barrow ga,51.0,49.0,51.0,0,0
9,1,All HUD,-1,Bartow County,13015,-1,-1,569.0,-1.0,4.0,27.0,2.1,1199.0,232.0,486.0,11.9,5.7,13.0,43.0,20.0,9.0,14.0,27.0,2.0,69.0,20.0,97.0,82.0,12.0,32.0,83.0,41.0,37.0,36.0,19.0,11.0,39.0,19.0,31.0,3.0,44.0,44.0,0.0,0.0,0.0,3.0,65.0,92.0,69.0,38.0,30.0,32.0,16.0,23,10,51,-1,-1,-1,-1,-1,GA,-1,-1,bartow ga,56.0,44.0,56.0,0,0
9,1,All HUD,-1,Ben Hill County,13017,-1,-1,429.0,-1.0,7.0,31.0,2.2,960.0,198.0,431.0,8.5,3.8,23.0,46.0,22.0,6.0,3.0,32.0,3.0,64.0,22.0,97.0,81.0,3.0,50.0,83.0,52.0,28.0,54.0,16.0,21.0,49.0,14.0,16.0,1.0,87.0,85.0,0.0,0.0,2.0,7.0,55.0,83.0,62.0,32.0,33.0,34.0,16.0,50,26,46,-1,-1,-1,-1,-1,GA,-1,-1,ben hill ga,13.0,87.0,13.0,0,0
9,1,All HUD,-1,Berrien County,13019,-1,-1,183.0,-1.0,6.0,34.0,2.0,371.0,201.0,372.0,10.1,5.0,15.0,48.0,22.0,8.0,8.0,31.0,13.0,56.0,27.0,92.0,70.0,11.0,29.0,80.0,38.0,38.0,48.0,20.0,12.0,49.0,17.0,22.0,2.0,53.0,51.0,0.0,0.0,2.0,3.0,49.0,99.0,-2.0,38.0,31.0,31.0,22.0,9,17,56,-1,-1,-1,-1,-1,GA,-1,-1,berrien ga,47.0,53.0,47.0,0,0
9,1,All HUD,-1,Bibb County,13021,-1,-1,6390.0,-1.0,6.0,21.0,2.4,15369.0,220.0,461.0,10.5,4.4,22.0,38.0,22.0,11.0,7.0,35.0,1.0,57.0,21.0,97.0,76.0,8.0,47.0,88.0,54.0,25.0,45.0,14.0,13.0,52.0,15.0,19.0,3.0,88.0,87.0,0.0,0.0,1.0,13.0,59.0,85.0,68.0,27.0,32.0,41.0,17.0,73,32,42,-1,-1,-1,-1,-1,GA,-1,-1,bibb ga,12.0,88.0,12.0,0,0
9,1,All HUD,-1,Bleckley County,13023,-1,-1,175.0,-1.0,7.0,26.0,2.3,408.0,260.0,364.0,12.9,5.6,13.0,37.0,23.0,10.0,17.0,33.0,12.0,52.0,31.0,86.0,61.0,11.0,36.0,85.0,46.0,31.0,24.0,14.0,10.0,47.0,17.0,26.0,4.0,60.0,59.0,0.0,0.0,1.0,6.0,49.0,100.0,-2.0,24.0,30.0,46.0,29.0,31,17,57,-1,-1,-1,-1,-1,GA,-1,-1,bleckley ga,40.0,60.0,40.0,0,0
9,1,All HUD,-1,Brantley County,13025,-1,-1,48.0,-1.0,6.0,27.0,1.9,92.0,207.0,343.0,9.4,5.0,13.0,58.0,13.0,13.0,4.0,46.0,2.0,48.0,20.0,100.0,83.0,8.0,40.0,90.0,46.0,23.0,31.0,14.0,6.0,44.0,23.0,27.0,2.0,23.0,23.0,0.0,0.0,0.0,4.0,41.0,100.0,-2.0,33.0,40.0,27.0,17.0,7,15,41,-1,-1,-1,-1,-1,GA,-1,-1,brantley ga,77.0,23.0,77.0,0,0
9,1,All HUD,-1,Brooks County,13027,-1,-1,177.0,-1.0,5.0,26.0,2.3,402.0,208.0,519.0,11.1,4.9,10.0,50.0,18.0,15.0,7.0,40.0,15.0,45.0,27.0,94.0,69.0,10.0,41.0,85.0,51.0,27.0,73.0,20.0,11.0,54.0,18.0,17.0,2.0,95.0,95.0,0.0,0.0,1.0,7.0,73.0,80.0,0.0,32.0,30.0,38.0,14.0,65,32,49,-1,-1,-1,-1,-1,GA,-1,-1,brooks ga,5.0,95.0,5.0,0,0
9,1,All HUD,-1,Bryan County,13029,-1,-1,80.0,-1.0,6.0,25.0,1.7,137.0,237.0,352.0,12.3,7.1,4.0,40.0,38.0,9.0,10.0,24.0,1.0,74.0,27.0,94.0,73.0,6.0,21.0,83.0,26.0,41.0,15.0,18.0,1.0,28.0,20.0,51.0,3.0,46.0,46.0,0.0,0.0,0.0,7.0,49.0,98.0,58.0,51.0,29.0,20.0,15.0,22,17,40,-1,-1,-1,-1,-1,GA,-1,-1,bryan ga,54.0,46.0,54.0,0,0
9,1,All HUD,-1,Bulloch County,13031,-1,-1,567.0,-1.0,7.0,13.0,2.3,1292.0,202.0,449.0,9.5,4.2,20.0,47.0,19.0,9.0,5.0,32.0,7.0,60.0,23.0,96.0,79.0,10.0,43.0,86.0,51.0,26.0,30.0,13.0,16.0,48.0,15.0,21.0,2.0,80.0,78.0,0.0,0.0,2.0,14.0,65.0,81.0,65.0,32.0,32.0,35.0,13.0,29,17,40,-1,-1,-1,-1,-1,GA,-1,-1,bulloch ga,20.0,80.0,20.0,0,0
9,1,All HUD,-1,Burke County,13033,-1,-1,482.0,-1.0,2.0,19.0,2.8,1331.0,174.0,438.0,9.6,3.5,30.0,35.0,15.0,12.0,7.0,37.0,5.0,57.0,20.0,97.0,79.0,12.0,53.0,90.0,64.0,13.0,31.0,7.0,19.0,58.0,13.0,10.0,1.0,98.0,96.0,0.0,0.0,1.0,15.0,67.0,98.0,80.0,24.0,34.0,41.0,9.0,70,43,51,-1,-1,-1,-1,-1,GA,-1,-1,burke ga,2.0,98.0,2.0,0,0
