gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,GA Georgia,GA Appling County 13001,9,Summary of All HUD Programs,1,A,Appling County,13001,200.0,79,161,100,7.92045898410899,22,1.91919912469063,312.129788011696,236.017781385782,429.960066625407,11983.1333700492,6243.81973495368,1,51,22,17,9,31,0,69,33,86,56,4,36,82,34,39,83,29,7,42,22,29,1,60,60,0,0,1,2.43901900894984,57.1217811038783,99,127.789035302151,34,39,27,27,21,32,50,A,A,A,-1,-1,GA,-1,A,appling ga,40,60,40,0,0
County,GA Georgia,GA Atkinson County 13003,9,Summary of All HUD Programs,1,A,Atkinson County,13003,74.0,92,71,100,4.38206224763816,19,2.17987194898282,156.819956140351,198.979676651367,468.688360079216,9530.221936637,4371.91824092422,26,31,26,13,4,31,7,62,27,93,62,4,44,87,46,24,20,15,24,40,22,14,0,63,62,0,1,3,1.16666666666667,34.676714298827,100,107.017342570511,31,40,29,17,23,40,37,A,A,A,-1,-1,GA,-1,A,atkinson ga,37,63,37,0,0
County,GA Georgia,GA Bacon County 13005,9,Summary of All HUD Programs,1,A,Bacon County,13005,334.0,69,230,100,5.51237645666182,15,2.39469412418172,548.83947368421,226.179980075376,458.334917123284,11578.8479067424,4835.20955341174,15,41,22,12,10,36,2,62,30,88,62,4,49,81,51,27,46,14,11,49,23,17,0,77,76,0,0,1,2.23714285714286,59.3624838353639,100,135.554105781665,24,35,41,26,27,23,47,A,A,A,-1,-1,GA,-1,A,bacon ga,23,77,23,0,0
County,GA Georgia,GA Baker County 13007,9,Summary of All HUD Programs,1,A,Baker County,13007,48.0,93,45,100,10.707059225579,18,2.08991546750563,93.6699195906433,190.231584458286,340.222548957248,9691.52656176352,4637.28160896891,13,53,20,4,9,20,4,73,25,91,73,2,49,75,49,35,62,20,22,44,16,18,2,91,91,0,0,0,10.4416666666667,48.3084815737211,100,121.864694187433,36,33,31,13,25,52,40,A,A,A,-1,-1,GA,-1,A,baker ga,9,91,9,0,0
County,GA Georgia,GA Baldwin County 13009,9,Summary of All HUD Programs,1,A,Baldwin County,13009,713.0,95,686,100,5.73701631342716,13,2.45357751389301,1669.83619883041,203.992763787366,510.270108300303,9360.70473593921,3830.83984260512,27,35,21,12,5,28,9,61,23,96,74,2,56,89,58,21,28,11,12,58,13,17,2,90,90,0,0,0,4.79332574151804,64.4920285478029,94,165.029897932319,27,34,39,14,21,43,43,A,A,A,-1,-1,GA,-1,A,baldwin ga,10,90,10,0,0
County,GA Georgia,GA Banks County 13011,9,Summary of All HUD Programs,1,A,Banks County,13011,3.0,93,3,100,2.16869048659725,-4,-4.0,-4.0,-4.0,-4.0,-4.0,5845.00717417727,-4,-4,-4,-4,-4,-4,-4,-4,24,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,16,-4,-4,-4,-4,0.466666666666667,68.2188284384639,-4,-4.0,-4,-4,-4,-4,12,8,47,A,A,A,-1,-1,GA,-1,A,banks ga,84,16,84,0,0
County,GA Georgia,GA Barrow County 13013,9,Summary of All HUD Programs,1,A,Barrow County,13013,519.0,93,487,100,5.50425239201467,6,2.15421494847531,1013.8011509875,253.541267700343,575.604904614015,11805.4372256372,5500.22160131497,14,43,18,12,13,18,3,76,21,97,80,4,35,84,36,34,32,18,3,39,17,41,3,52,51,0,1,1,9.27083333333333,102.854759162244,91,166.292386762077,35,31,35,19,12,27,46,A,A,A,-1,-1,GA,-1,A,barrow ga,48,52,48,0,0
County,GA Georgia,GA Bartow County 13015,9,Summary of All HUD Programs,1,A,Bartow County,13015,591.0,97,575,99,4.34525928651931,10,2.19162223857481,1272.06000193937,245.968464341488,507.749190599609,12863.5775738492,5862.94399326025,13,40,21,10,17,25,2,72,23,94,77,4,38,83,39,36,29,17,8,41,20,30,2,46,45,0,0,1,20.1682007119121,70.1961026229369,92,94.2730799875738,37,31,32,15,12,25,58,A,A,A,-1,-1,GA,-1,A,bartow ga,54,46,54,0,0
County,GA Georgia,GA Ben Hill County 13017,9,Summary of All HUD Programs,1,A,Ben Hill County,13017,479.0,94,460,100,7.36469475066299,17,2.23243311226817,1065.91900584795,189.859556450461,424.586001643012,8439.04351620907,3774.2782889487,20,54,16,7,3,21,3,74,23,97,79,2,52,82,51,29,59,16,17,55,14,14,1,87,85,0,0,2,10.983179711231,52.1245438746486,80,119.009050792135,35,31,34,13,26,48,48,A,A,A,-1,-1,GA,-1,A,ben hill ga,13,87,13,0,0
County,GA Georgia,GA Berrien County 13019,9,Summary of All HUD Programs,1,A,Berrien County,13019,193.0,94,182,100,2.51551793301025,9,2.15208926855459,389.549159356725,223.971099624487,365.65628085738,10858.7199350944,5045.66427320531,15,43,21,10,10,22,17,57,30,88,62,5,38,77,42,28,31,14,15,42,19,23,1,51,49,0,0,2,11.7247845473865,58.1119320284781,99,143.841745894344,33,34,33,17,17,14,52,A,A,A,-1,-1,GA,-1,A,berrien ga,49,51,49,0,0
