Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,Unnamed: 50,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2019-12-31 00:00:00,County,GA Georgia,GA Dawson County 13085,9,Summary of All HUD Programs,1,,Dawson County,13085,5,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,dawson ga,-4,-4,0,0
2019-12-31 00:00:00,County,GA Georgia,GA Long County 13183,9,Summary of All HUD Programs,1,,Long County,13183,10,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,long ga,-4,-4,0,0
2019-12-31 00:00:00,County,GA Georgia,GA Oconee County 13219,9,Summary of All HUD Programs,1,,Oconee County,13219,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,oconee ga,-4,-4,0,0
2019-12-31 00:00:00,County,GA Georgia,GA Pike County 13231,9,Summary of All HUD Programs,1,,Pike County,13231,10,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,pike ga,-4,-4,0,0
2019-12-31 00:00:00,County,GA Georgia,GA Quitman County 13239,9,Summary of All HUD Programs,1,,Quitman County,13239,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,quitman ga,-4,-4,0,0
2019-12-31 00:00:00,County,GA Georgia,GA Towns County 13281,9,Summary of All HUD Programs,1,,Towns County,13281,8,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,towns ga,-4,-4,0,0
2019-12-31 00:00:00,County,GA Georgia,GA Twiggs County 13289,9,Summary of All HUD Programs,1,,Twiggs County,13289,5,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,twiggs ga,-4,-4,0,0
2019-12-31 00:00:00,County,GA Georgia,GA Webster County 13307,9,Summary of All HUD Programs,1,,Webster County,13307,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,webster ga,-4,-4,0,0
2019-12-31 00:00:00,County,GA Georgia,GA Banks County 13011,9,Summary of All HUD Programs,1,,Banks County,13011,15,92,13,92,6,46,2.0,26,254,343,11265,5632,-1,46,38,8,8,15,-1,85,27,92,69,-1,38,85,38,33,43,23,-1,46,-1,54,8,8,8,-1,-1,77,85.0,-1,-1,-1,0,0,-1,28,100,120,62,23,15,-1,13,7,64,,,,,,GA,,,banks ga,21,79,0,1
2019-12-31 00:00:00,County,GA Georgia,GA Dade County 13083,9,Summary of All HUD Programs,1,,Dade County,13083,20,65,13,100,6,8,1.0,13,305,367,12431,12431,-1,46,23,31,-1,-1,-1,100,27,100,62,-1,-1,85,-1,100,67,92,-1,23,54,23,-1,0,-1,-1,-1,92,92.0,-1,-1,-1,0,0,-1,104,100,81,54,31,15,46,15,5,70,,,,,,GA,,,dade ga,6,94,0,1
