gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,HI Hawaii,HI Hawaii County 15001,9,Summary of All HUD Programs,1,A,Hawaii County,15001,3090.0,93,2949,99,5.1389186799947,6,2.62756344982157,7502.39558562719,358.928268874899,682.151552490057,13837.5814279691,5266.31675779658,9,34,22,15,20,19,21,54,23,97,76,20,27,68,37,41,47,19,2,50,20,28,2,71,2,6,57,18,20.6849508230792,87.3372657692345,73,196.466629146919,37,29,34,13,21,75,72,A,A,A,-1,-1,HI,-1,A,hawaii hi,29,71,29,0,0
County,HI Hawaii,HI Hawaii County 15001,9,Housing Choice Vouchers,3,A,Hawaii County,15001,1805.0,95,1814,100,4.63143329202796,2,2.81312017640562,4844.19294377064,391.61844284924,730.878535773686,14106.9272326346,5014.6905741721,10,32,21,15,22,18,24,48,23,97,76,21,32,73,45,41,65,20,1,56,23,20,1,73,2,8,56,21,14.245045045045,93.9316060271925,81,213.631578947364,25,33,42,20,21,75,79,A,A,A,-1,-1,HI,-1,A,hawaii hi,27,73,27,0,0
County,HI Hawaii,HI Honolulu County 15003,9,Summary of All HUD Programs,1,A,Honolulu County,15003,15546.0,81,11540,97,5.59389605273473,4,2.66333503143158,31937.2051072787,397.07482182801,864.972720324074,16146.1570448435,6062.38301013323,7,33,21,12,27,30,13,54,19,98,85,15,26,67,31,34,46,18,1,40,22,37,5,87,2,2,79,11,47.442021321676,127.043410293,66,160.10416758407,42,31,27,8,19,89,34,A,A,A,-1,-1,HI,-1,A,honolulu hi,13,87,13,0,0
County,HI Hawaii,HI Honolulu County 15003,9,Housing Choice Vouchers,3,A,Honolulu County,15003,8086.0,69,5396,97,5.34243697804291,1,2.96229387062392,16516.0226178418,455.501244374343,1104.23171957448,17729.6814287471,5985.11903378878,7,27,20,13,33,33,15,46,20,97,82,16,35,72,41,34,66,18,1,50,25,25,2,84,3,2,73,14,30.1409069150576,129.351825089144,74,182.689432214526,31,34,35,9,12,86,43,A,A,A,-1,-1,HI,-1,A,honolulu hi,16,84,16,0,0
County,HI Hawaii,HI Hawaii County 15001,9,Public Housing,2,A,Hawaii County,15001,689.0,85,584,100,5.87219251336904,9,2.84075342465756,1696.68868321413,328.888698630141,606.000000000013,14222.6010273974,5006.62989752865,7,35,23,14,21,22,22,53,23,97,75,24,22,60,31,38,52,18,2,48,20,31,3,71,1,1,63,12,25.021568627451,81.84189497717,71,202.506024096388,42,23,34,4,17,76,61,A,A,A,-1,-1,HI,-1,A,hawaii hi,29,71,29,0,0
County,HI Hawaii,HI Hawaii County 15001,9,Mod Rehab,4,A,Hawaii County,15001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,HI,-1,A,hawaii hi,-1,-1,-1,0,0
County,HI Hawaii,HI Hawaii County 15001,9,Section 8 NC/SR,5,A,Hawaii County,15001,332.0,95,310,96,6.17200315883152,11,1.4046257451516,393.295208642449,297.508500206011,614.6,12860.0824363629,9155.5223736661,3,41,29,18,10,13,2,85,25,97,73,5,6,55,6,67,24,27,2,16,15,67,10,59,2,4,51,9,-1.0,83.3719957053309,73,97.7840354767186,87,10,3,1,25,78,63,A,A,A,-1,-1,HI,-1,A,hawaii hi,41,59,41,0,0
County,HI Hawaii,HI Hawaii County 15001,9,Section 236,6,A,Hawaii County,15001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,HI,-1,A,hawaii hi,-1,-1,-1,0,0
County,HI Hawaii,HI Hawaii County 15001,9,Multi-Family Other,7,A,Hawaii County,15001,264.0,94,241,96,5.40284356011285,16,2.2196044921875,568.21875,276.661865234375,607.92578125,12196.6700439453,5494.97448165869,13,36,22,14,14,28,14,57,21,98,79,15,28,71,35,36,10,13,8,49,13,30,3,66,1,9,57,20,-1.0,60.1381490071615,23,90.051724137931,48,33,19,4,29,76,57,A,A,A,-1,-1,HI,-1,A,hawaii hi,34,66,34,0,0
County,HI Hawaii,HI Hawaii County 15001,9,LIHTC,8,A,Hawaii County,15001,893.0,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,HI,-1,A,hawaii hi,-1,-1,-1,0,0
