State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
IA,Adair County,21800,24900,28000,31100,33600,36100,38600,41100,13100,15930,20090,24250,28410,32570,36730,40890,34850,39800,44800,49750,53750,57750,61700,65700
IA,Adams County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Allamakee County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Appanoose County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Audubon County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Benton County,25550,29200,32850,36450,39400,42300,45200,48150,15300,17500,20090,24250,28410,32570,36730,40890,40850,46650,52500,58300,63000,67650,72300,77000
IA,Black Hawk County,22950,26200,29500,32750,35400,38000,40650,43250,13800,15930,20090,24250,28410,32570,36730,40890,36700,41950,47200,52400,56600,60800,65000,69200
IA,Boone County,25250,28850,32450,36050,38950,41850,44750,47600,15200,17350,20090,24250,28410,32570,36730,40890,40400,46200,51950,57700,62350,66950,71550,76200
IA,Bremer County,26950,30800,34650,38450,41550,44650,47700,50800,16150,18450,20750,24250,28410,32570,36730,40890,43050,49200,55350,61500,66450,71350,76300,81200
IA,Buchanan County,24400,27850,31350,34800,37600,40400,43200,45950,14650,16750,20090,24250,28410,32570,36730,40890,39000,44600,50150,55700,60200,64650,69100,73550
IA,Buena Vista County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Butler County,22750,26000,29250,32500,35100,37700,40300,42900,13650,15930,20090,24250,28410,32570,36730,40890,36400,41600,46800,52000,56200,60350,64500,68650
IA,Calhoun County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Carroll County,23400,26750,30100,33400,36100,38750,41450,44100,14050,16050,20090,24250,28410,32570,36730,40890,37450,42800,48150,53450,57750,62050,66300,70600
IA,Cass County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Cedar County,24900,28450,32000,35550,38400,41250,44100,46950,14950,17100,20090,24250,28410,32570,36730,40890,39850,45550,51250,56900,61500,66050,70600,75150
IA,Cerro Gordo County,22650,25850,29100,32300,34900,37500,40100,42650,13600,15930,20090,24250,28410,32570,36730,40890,36200,41400,46550,51700,55850,60000,64150,68250
IA,Cherokee County,22000,25150,28300,31400,33950,36450,38950,41450,13200,15930,20090,24250,28410,32570,36730,40890,35200,40200,45250,50250,54300,58300,62350,66350
IA,Chickasaw County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Clarke County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Clay County,22500,25700,28900,32100,34700,37250,39850,42400,13500,15930,20090,24250,28410,32570,36730,40890,35950,41100,46250,51350,55500,59600,63700,67800
IA,Clayton County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Clinton County,23750,27150,30550,33900,36650,39350,42050,44750,14250,16300,20090,24250,28410,32570,36730,40890,38000,43400,48850,54250,58600,62950,67300,71650
IA,Crawford County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Dallas County,26250,30000,33750,37500,40500,43500,46500,49500,15750,18000,20250,24250,28410,32570,36730,40890,42000,48000,54000,60000,64800,69600,74400,79200
IA,Davis County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Decatur County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Delaware County,23600,26950,30300,33650,36350,39050,41750,44450,14150,16200,20090,24250,28410,32570,36730,40890,37700,43100,48500,53850,58200,62500,66800,71100
IA,Des Moines County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Dickinson County,23350,26700,30050,33350,36050,38700,41400,44050,14000,16000,20090,24250,28410,32570,36730,40890,37350,42700,48050,53350,57650,61900,66200,70450
IA,Dubuque County,23100,26400,29700,33000,35650,38300,40950,43600,13900,15930,20090,24250,28410,32570,36730,40890,37000,42250,47550,52800,57050,61250,65500,69700
IA,Emmet County,22050,25200,28350,31500,34050,36550,39100,41600,13250,15930,20090,24250,28410,32570,36730,40890,35300,40350,45400,50400,54450,58500,62500,66550
IA,Fayette County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Floyd County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Franklin County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Fremont County,22300,25450,28650,31800,34350,36900,39450,42000,13400,15930,20090,24250,28410,32570,36730,40890,35650,40750,45850,50900,55000,59050,63150,67200
IA,Greene County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Grundy County,22950,26200,29500,32750,35400,38000,40650,43250,13800,15930,20090,24250,28410,32570,36730,40890,36700,41950,47200,52400,56600,60800,65000,69200
IA,Guthrie County,26250,30000,33750,37500,40500,43500,46500,49500,15750,18000,20250,24250,28410,32570,36730,40890,42000,48000,54000,60000,64800,69600,74400,79200
IA,Hamilton County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Hancock County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Hardin County,23550,26900,30250,33600,36300,39000,41700,44400,14150,16150,20090,24250,28410,32570,36730,40890,37650,43000,48400,53750,58050,62350,66650,70950
IA,Harrison County,25500,29150,32800,36400,39350,42250,45150,48050,15300,17500,20090,24250,28410,32570,36730,40890,40800,46600,52450,58250,62950,67600,72250,76900
IA,Henry County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Howard County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Humboldt County,22000,25150,28300,31400,33950,36450,38950,41450,13200,15930,20090,24250,28410,32570,36730,40890,35200,40200,45250,50250,54300,58300,62350,66350
IA,Ida County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Iowa County,25700,29350,33000,36650,39600,42550,45450,48400,15400,17600,20090,24250,28410,32570,36730,40890,41100,46950,52800,58650,63350,68050,72750,77450
IA,Jackson County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Jasper County,22900,26150,29400,32650,35300,37900,40500,43100,13750,15930,20090,24250,28410,32570,36730,40890,36600,41800,47050,52250,56450,60650,64800,69000
IA,Jefferson County,21750,24850,27950,31050,33550,36050,38550,41000,13100,15930,20090,24250,28410,32570,36730,40890,34800,39800,44750,49700,53700,57700,61650,65650
IA,Johnson County,28850,32950,37050,41150,44450,47750,51050,54350,17300,19800,22250,24700,28410,32570,36730,40890,46100,52650,59250,65800,71100,76350,81600,86900
IA,Jones County,23600,26950,30300,33650,36350,39050,41750,44450,14150,16200,20090,24250,28410,32570,36730,40890,37700,43100,48500,53850,58200,62500,66800,71100
IA,Keokuk County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Kossuth County,22450,25650,28850,32050,34650,37200,39750,42350,13500,15930,20090,24250,28410,32570,36730,40890,35950,41050,46200,51300,55450,59550,63650,67750
IA,Lee County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Linn County,27350,31250,35150,39050,42200,45300,48450,51550,16450,18800,21150,24250,28410,32570,36730,40890,43750,50000,56250,62500,67500,72500,77500,82500
IA,Louisa County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Lucas County,21650,24750,27850,30900,33400,35850,38350,40800,13000,15930,20090,24250,28410,32570,36730,40800,34650,39600,44550,49450,53450,57400,61350,65300
IA,Lyon County,22200,25350,28500,31650,34200,36750,39250,41800,13300,15930,20090,24250,28410,32570,36730,40890,35500,40550,45600,50650,54750,58800,62850,66900
IA,Madison County,26250,30000,33750,37500,40500,43500,46500,49500,15750,18000,20250,24250,28410,32570,36730,40890,42000,48000,54000,60000,64800,69600,74400,79200
IA,Mahaska County,22550,25800,29000,32200,34800,37400,39950,42550,13550,15930,20090,24250,28410,32570,36730,40890,36050,41200,46350,51500,55650,59750,63900,68000
