fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
783,896,1118,1577,1841,16,Ada County,435115,ID,1
620,625,796,1090,1351,16,Adams County,3945,ID,0
547,626,824,1170,1410,16,Bannock County,84115,ID,1
577,581,757,1075,1296,16,Bear Lake County,5940,ID,0
593,679,893,1267,1277,16,Benewah County,9050,ID,0
590,594,782,1111,1309,16,Bingham County,45370,ID,0
741,848,1116,1519,1525,16,Blaine County,21585,ID,0
783,896,1118,1577,1841,16,Boise County,6970,ID,1
678,682,869,1234,1487,16,Bonner County,41855,ID,0
575,704,865,1229,1481,16,Bonneville County,110405,ID,1
590,594,781,1109,1211,16,Boundary County,11325,ID,0
547,671,824,1170,1410,16,Butte County,2615,ID,1
634,638,832,1182,1412,16,Camas County,885,ID,0
783,896,1118,1577,1841,16,Canyon County,207025,ID,1
572,575,757,1075,1234,16,Caribou County,6860,ID,0
595,599,779,1107,1178,16,Cassia County,23470,ID,0
634,638,832,1182,1412,16,Clark County,1055,ID,0
632,636,837,1181,1373,16,Clearwater County,8535,ID,0
612,616,810,1151,1375,16,Custer County,4140,ID,0
681,697,875,1243,1469,16,Elmore County,26230,ID,0
583,699,877,1246,1501,16,Franklin County,13120,ID,1
602,679,774,1099,1325,16,Fremont County,12890,ID,0
682,779,971,1284,1431,16,Gem County,16850,ID,1
649,664,834,1101,1295,16,Gooding County,15110,ID,0
649,654,860,1136,1459,16,Idaho County,16275,ID,0
575,704,865,1229,1481,16,Jefferson County,27410,ID,1
614,702,924,1156,1526,16,Jerome County,23040,ID,1
738,845,1047,1487,1792,16,Kootenai County,150130,ID,1
580,664,834,1185,1427,16,Latah County,38695,ID,0
624,628,826,1076,1402,16,Lemhi County,7755,ID,0
589,617,757,1075,1285,16,Lewis County,3825,ID,0
628,632,825,1172,1266,16,Lincoln County,5295,ID,0
717,730,832,1182,1424,16,Madison County,38240,ID,0
590,626,758,1077,1287,16,Minidoka County,20450,ID,0
615,717,925,1314,1583,16,Nez Perce County,40015,ID,1
699,703,917,1207,1556,16,Oneida County,4285,ID,0
783,896,1118,1577,1841,16,Owyhee County,11385,ID,1
650,654,861,1200,1255,16,Payette County,22840,ID,0
567,648,853,1212,1460,16,Power County,7665,ID,1
601,605,796,1130,1362,16,Shoshone County,12490,ID,0
767,772,990,1406,1694,16,Teton County,10775,ID,0
596,682,897,1274,1507,16,Twin Falls County,82250,ID,1
651,684,837,1147,1421,16,Valley County,10105,ID,0
539,617,812,1069,1231,16,Washington County,9995,ID,0
