Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2021-12-31 00:00:00,County,ID Idaho,ID Ada County 16001,9,Summary of All HUD Programs,1,,Ada County,16001,3307,91,2980,99,5,10,1.8,5464,367,590,14779,8060,5,10,48,16,21,18,0,78,25,95,71,7,21,66,22,59,55,35,1,35,21,43,3,21,10,2,3,78,0,4,1,6,1,23,90,87,82,52,32,16,15,19,17,49,,,,,,ID,,,ada id,22,78,0,0
2021-12-31 00:00:00,County,ID Idaho,ID Ada County 16001,9,Public Housing,2,,Ada County,16001,170,99,169,100,7,17,1.1,192,315,310,14476,12742,1,13,60,14,12,8,-1,92,27,92,75,-1,3,54,2,89,64,70,-1,24,31,44,2,9,1,1,1,91,-1,7,-1,7,1,27,91,89,48,91,8,2,3,17,12,48,,,,,,ID,,,ada id,9,91,0,0
2021-12-31 00:00:00,County,ID Idaho,ID Ada County 16001,9,Housing Choice Vouchers,3,,Ada County,16001,2180,89,1925,99,5,9,2.0,3944,389,624,15053,7347,6,8,47,15,24,20,1,74,25,95,71,9,26,67,28,59,76,36,1,40,24,34,1,23,11,2,3,77,0,5,1,7,1,22,95,90,94,39,39,22,20,20,18,48,,,,,,ID,,,ada id,23,77,0,0
2021-12-31 00:00:00,County,ID Idaho,ID Ada County 16001,9,Project Based Section 8,5,,Ada County,16001,821,93,749,98,6,11,1.6,1187,332,618,14291,9018,5,11,48,18,18,17,0,80,25,97,72,6,15,64,15,51,33,27,2,28,14,56,6,19,11,2,4,76,-1,2,1,3,2,-1,79,83,61,69,23,8,5,19,15,51,,,,,,ID,,,ada id,19,76,5,0
2021-12-31 00:00:00,County,ID Idaho,ID Ada County 16001,9,202/PRAC,8,,Ada County,16001,113,99,113,100,6,11,1.0,115,320,279,14594,14340,1,19,42,22,16,-1,-1,100,28,97,65,-1,-1,81,-1,-1,5,5,-1,-1,-1,100,6,9,-1,3,3,89,-1,3,1,4,2,-1,80,38,32,100,-1,-1,-1,17,16,45,,,,,,ID,,,ada id,11,89,0,0
2021-12-31 00:00:00,County,ID Idaho,ID Ada County 16001,9,811/PRAC,9,,Ada County,16001,23,95,24,100,6,8,1.1,26,255,346,10967,10123,4,17,67,13,-1,4,-1,96,21,100,88,-1,-1,63,-1,100,86,88,-1,46,25,29,-1,8,4,-1,-1,88,-1,4,-1,4,4,-1,69,100,29,92,8,-1,-1,15,12,63,,,,,,ID,,,ada id,8,88,4,0
2021-12-31 00:00:00,County,ID Idaho,ID Adams County 16003,9,Summary of All HUD Programs,1,,Adams County,16003,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,ID,,,adams id,-4,-4,0,0
2021-12-31 00:00:00,County,ID Idaho,ID Adams County 16003,9,Housing Choice Vouchers,3,,Adams County,16003,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,ID,,,adams id,-4,-4,0,0
2021-12-31 00:00:00,County,ID Idaho,ID Bannock County 16005,9,Summary of All HUD Programs,1,,Bannock County,16005,1084,80,898,100,6,18,2.0,1834,323,497,13082,6406,9,15,46,14,16,19,0,78,25,95,72,4,33,73,34,53,64,30,2,49,21,28,1,17,2,4,1,83,0,8,1,9,2,17,82,79,85,43,30,27,19,25,15,54,,,,,,ID,,,bannock id,17,83,0,0
2021-12-31 00:00:00,County,ID Idaho,ID Bannock County 16005,9,Public Housing,2,,Bannock County,16005,72,93,67,100,6,10,1.0,68,287,376,13106,12913,3,8,66,11,12,1,-1,96,28,93,76,-1,-1,49,-1,97,62,82,3,30,24,43,-1,10,3,-1,1,90,-1,6,-1,6,0,6,98,100,53,100,-1,-1,-1,35,17,50,,,,,,ID,,,bannock id,10,90,0,0
