State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
ID,Ada County,26400,30150,33900,37650,40700,43700,46700,49700,15850,18100,21960,26500,31040,35580,40120,44660,42200,48200,54250,60250,65100,69900,74750,79550
ID,Adams County,20900,23850,26850,29800,32200,34600,37000,39350,12880,17420,21960,26500,31040,34600,37000,39350,33400,38200,42950,47700,51550,55350,59150,63000
ID,Bannock County,22850,26100,29350,32600,35250,37850,40450,43050,13700,17420,21960,26500,31040,35580,40120,43050,36550,41750,46950,52150,56350,60500,64700,68850
ID,Bear Lake County,23650,27000,30400,33750,36450,39150,41850,44550,14200,17420,21960,26500,31040,35580,40120,44550,37800,43200,48600,54000,58350,62650,67000,71300
ID,Benewah County,20850,23800,26800,29750,32150,34550,36900,39300,12880,17420,21960,26500,31040,34550,36900,39300,33350,38100,42850,47600,51450,55250,59050,62850
ID,Bingham County,22900,26200,29450,32700,35350,37950,40550,43200,13750,17420,21960,26500,31040,35580,40120,43200,36650,41850,47100,52300,56500,60700,64900,69050
ID,Blaine County,26250,30000,33750,37500,40500,43500,46500,49500,15750,18000,21960,26500,31040,35580,40120,44660,42000,48000,54000,60000,64800,69600,74400,79200
ID,Boise County,26400,30150,33900,37650,40700,43700,46700,49700,15850,18100,21960,26500,31040,35580,40120,44660,42200,48200,54250,60250,65100,69900,74750,79550
ID,Bonner County,22600,25800,29050,32250,34850,37450,40000,42600,13550,17420,21960,26500,31040,35580,40000,42600,36150,41300,46450,51600,55750,59900,64000,68150
ID,Bonneville County,25300,28900,32500,36100,39000,41900,44800,47700,15200,17420,21960,26500,31040,35580,40120,44660,40450,46200,52000,57750,62400,67000,71650,76250
ID,Boundary County,22700,25950,29200,32400,35000,37600,40200,42800,13650,17420,21960,26500,31040,35580,40120,42800,36300,41500,46700,51850,56000,60150,64300,68450
