County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
Adams County,27800,31800,35750,39700,42900,46100,49250,52450,16700,19050,23030,27750,32470,37190,41910,46630,44450,50800,57150,63500,68600,73700,78750,83850
Alexander County,24950,28500,32050,35600,38450,41300,44150,47000,14950,18310,23030,27750,32470,37190,41910,46630,39900,45600,51300,56950,61550,66100,70650,75200
Bond County,29550,33750,37950,42150,45550,48900,52300,55650,17750,20250,23030,27750,32470,37190,41910,46630,47250,54000,60750,67450,72850,78250,83650,89050
Boone County,28200,32200,36250,40250,43500,46700,49950,53150,16950,19350,23030,27750,32470,37190,41910,46630,45100,51550,58000,64400,69600,74750,79900,85050
Brown County,31150,35600,40050,44450,48050,51600,55150,58700,18700,21350,24000,27750,32470,37190,41910,46630,49800,56900,64000,71100,76800,82500,88200,93900
Bureau County,27500,31400,35350,39250,42400,45550,48700,51850,16500,18850,23030,27750,32470,37190,41910,46630,44000,50250,56550,62800,67850,72850,77900,82900
Calhoun County,33250,38000,42750,47450,51250,55050,58850,62650,19950,22800,25650,28450,32470,37190,41910,46630,53150,60750,68350,75900,82000,88050,94150,100200
Carroll County,26650,30450,34250,38050,41100,44150,47200,50250,16000,18310,23030,27750,32470,37190,41910,46630,42650,48750,54850,60900,65800,70650,75550,80400
Cass County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Champaign County,32000,36550,41100,45650,49350,53000,56650,60300,19200,21950,24700,27750,32470,37190,41910,46630,51150,58450,65750,73050,78900,84750,90600,96450
Christian County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Clark County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Clay County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Clinton County,33250,38000,42750,47450,51250,55050,58850,62650,19950,22800,25650,28450,32470,37190,41910,46630,53150,60750,68350,75900,82000,88050,94150,100200
Coles County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Cook County,36500,41700,46900,52100,56300,60450,64650,68800,21900,25000,28150,31250,33750,37190,41910,46630,58350,66700,75050,83350,90050,96700,103400,110050
Crawford County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Cumberland County,27500,31400,35350,39250,42400,45550,48700,51850,16500,18850,23030,27750,32470,37190,41910,46630,44000,50250,56550,62800,67850,72850,77900,82900
DeKalb County,33900,38750,43600,48400,52300,56150,60050,63900,20350,23250,26150,29050,32470,37190,41910,46630,54250,62000,69750,77450,83650,89850,96050,102250
De Witt County,27000,30850,34700,38550,41650,44750,47850,50900,16250,18550,23030,27750,32470,37190,41910,46630,43200,49400,55550,61700,66650,71600,76550,81450
Douglas County,26650,30450,34250,38050,41100,44150,47200,50250,16000,18310,23030,27750,32470,37190,41910,46630,42650,48750,54850,60900,65800,70650,75550,80400
DuPage County,36500,41700,46900,52100,56300,60450,64650,68800,21900,25000,28150,31250,33750,37190,41910,46630,58350,66700,75050,83350,90050,96700,103400,110050
Edgar County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Edwards County,26750,30550,34350,38150,41250,44300,47350,50400,16050,18350,23030,27750,32470,37190,41910,46630,42700,48800,54900,61000,65900,70800,75650,80550
Effingham County,28500,32600,36650,40700,44000,47250,50500,53750,17100,19550,23030,27750,32470,37190,41910,46630,45600,52100,58600,65100,70350,75550,80750,85950
Fayette County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Ford County,28750,32850,36950,41050,44350,47650,50950,54200,17300,19750,23030,27750,32470,37190,41910,46630,46000,52600,59150,65700,71000,76250,81500,86750
Franklin County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Fulton County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Gallatin County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Greene County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Grundy County,34200,39050,43950,48800,52750,56650,60550,64450,20550,23450,26400,29300,32470,37190,41910,46630,54700,62500,70300,78100,84350,90600,96850,103100
Hamilton County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Hancock County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Hardin County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Henderson County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Henry County,29900,34150,38400,42650,46100,49500,52900,56300,17950,20500,23050,27750,32470,37190,41910,46630,47800,54600,61450,68250,73750,79200,84650,90100
Iroquois County,26650,30450,34250,38050,41100,44150,47200,50250,16000,18310,23030,27750,32470,37190,41910,46630,42650,48750,54850,60900,65800,70650,75550,80400
Jackson County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Jasper County,26650,30450,34250,38050,41100,44150,47200,50250,16000,18310,23030,27750,32470,37190,41910,46630,42650,48750,54850,60900,65800,70650,75550,80400
Jefferson County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Jersey County,33250,38000,42750,47450,51250,55050,58850,62650,19950,22800,25650,28450,32470,37190,41910,46630,53150,60750,68350,75900,82000,88050,94150,100200
Jo Daviess County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Johnson County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Kane County,36500,41700,46900,52100,56300,60450,64650,68800,21900,25000,28150,31250,33750,37190,41910,46630,58350,66700,75050,83350,90050,96700,103400,110050
Kankakee County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Kendall County,39950,45650,51350,57050,61650,66200,70750,75350,24000,27400,30850,34250,37000,39750,42500,46630,62600,71550,80500,89400,96600,103750,110900,118050
Knox County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Lake County,36500,41700,46900,52100,56300,60450,64650,68800,21900,25000,28150,31250,33750,37190,41910,46630,58350,66700,75050,83350,90050,96700,103400,110050
La Salle County,27150,31000,34900,38750,41850,44950,48050,51150,16300,18600,23030,27750,32470,37190,41910,46630,43400,49600,55800,62000,67000,71950,76900,81850
Lawrence County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Lee County,29450,33650,37850,42050,45450,48800,52150,55550,17700,20200,23030,27750,32470,37190,41910,46630,47150,53850,60600,67300,72700,78100,83500,88850
Livingston County,27650,31600,35550,39500,42700,45850,49000,52150,16600,19000,23030,27750,32470,37190,41910,46630,44250,50600,56900,63200,68300,73350,78400,83450
Logan County,29000,33150,37300,41400,44750,48050,51350,54650,17400,19900,23030,27750,32470,37190,41910,46630,46400,53000,59650,66250,71550,76850,82150,87450
McDonough County,27450,31350,35250,39150,42300,45450,48550,51700,16450,18800,23030,27750,32470,37190,41910,46630,43900,50150,56400,62650,67700,72700,77700,82700
McHenry County,36500,41700,46900,52100,56300,60450,64650,68800,21900,25000,28150,31250,33750,37190,41910,46630,58350,66700,75050,83350,90050,96700,103400,110050
McLean County,36500,41700,46900,52100,56300,60450,64650,68800,21900,25000,28150,31250,33750,37190,41910,46630,58350,66700,75050,83350,90050,96700,103400,110050
Macon County,26900,30750,34600,38400,41500,44550,47650,50700,16150,18450,23030,27750,32470,37190,41910,46630,43050,49200,55350,61450,66400,71300,76200,81150
Macoupin County,26650,30450,34250,38050,41100,44150,47200,50250,16000,18310,23030,27750,32470,37190,41910,46630,42650,48750,54850,60900,65800,70650,75550,80400
Madison County,33250,38000,42750,47450,51250,55050,58850,62650,19950,22800,25650,28450,32470,37190,41910,46630,53150,60750,68350,75900,82000,88050,94150,100200
Marion County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Marshall County,29900,34150,38400,42650,46100,49500,52900,56300,17950,20500,23050,27750,32470,37190,41910,46630,47800,54600,61450,68250,73750,79200,84650,90100
Mason County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
Massac County,26600,30400,34200,37950,41000,44050,47100,50100,15950,18310,23030,27750,32470,37190,41910,46630,42500,48600,54650,60700,65600,70450,75300,80150
