State,County_Name,Ttl_Incarc,Ttl_Minority_Incarc,Ttl_White_Incarc
Illinois,Adams County,0,0,0
Illinois,Alexander County,490,401,89
Illinois,Bond County,1640,1140,500
Illinois,Boone County,0,0,0
Illinois,Brown County,2364,1945,419
Illinois,Bureau County,0,0,0
Illinois,Calhoun County,0,0,0
Illinois,Carroll County,34,27,7
Illinois,Cass County,0,0,0
Illinois,Champaign County,0,0,0
Illinois,Christian County,1258,485,773
Illinois,Clark County,0,0,0
Illinois,Clay County,0,0,0
Illinois,Clinton County,1686,1235,451
Illinois,Coles County,0,0,0
Illinois,Cook County,183,181,2
Illinois,Crawford County,1301,1011,290
Illinois,Cumberland County,0,0,0
Illinois,DeKalb County,0,0,0
Illinois,De Witt County,0,0,0
Illinois,Douglas County,0,0,0
Illinois,DuPage County,0,0,0
Illinois,Edgar County,0,0,0
Illinois,Edwards County,0,0,0
Illinois,Effingham County,0,0,0
Illinois,Fayette County,1563,1119,444
Illinois,Ford County,0,0,0
Illinois,Franklin County,0,0,0
Illinois,Fulton County,2614,2181,433
Illinois,Gallatin County,0,0,0
Illinois,Greene County,193,117,76
Illinois,Grundy County,0,0,0
Illinois,Hamilton County,0,0,0
Illinois,Hancock County,0,0,0
Illinois,Hardin County,0,0,0
Illinois,Henderson County,0,0,0
Illinois,Henry County,0,0,0
Illinois,Iroquois County,0,0,0
Illinois,Jackson County,62,22,40
Illinois,Jasper County,0,0,0
Illinois,Jefferson County,1976,1149,827
Illinois,Jersey County,0,0,0
Illinois,Jo Daviess County,0,0,0
Illinois,Johnson County,1645,1286,359
Illinois,Kane County,135,23,112
Illinois,Kankakee County,93,1,92
Illinois,Kendall County,0,0,0
Illinois,Knox County,2139,1765,374
Illinois,Lake County,0,0,0
Illinois,LaSalle County,1398,1108,290
Illinois,Lawrence County,2620,2134,486
Illinois,Lee County,2488,1749,739
Illinois,Livingston County,2850,1965,885
Illinois,Logan County,3301,2361,940
Illinois,McDonough County,0,0,0
Illinois,McHenry County,0,0,0
Illinois,McLean County,0,0,0
Illinois,Macon County,507,235,272
Illinois,Macoupin County,0,0,0
Illinois,Madison County,0,0,0
Illinois,Marion County,0,0,0
Illinois,Marshall County,0,0,0
Illinois,Mason County,0,0,0
Illinois,Massac County,0,0,0
Illinois,Menard County,0,0,0
Illinois,Mercer County,0,0,0
Illinois,Monroe County,0,0,0
Illinois,Montgomery County,1917,950,967
Illinois,Morgan County,1080,816,264
Illinois,Moultrie County,0,0,0
Illinois,Ogle County,0,0,0
Illinois,Peoria County,0,0,0
Illinois,Perry County,2609,2071,538
Illinois,Piatt County,0,0,0
Illinois,Pike County,388,268,120
Illinois,Pope County,188,134,54
Illinois,Pulaski County,0,0,0
Illinois,Putnam County,0,0,0
Illinois,Randolph County,3789,2855,934
Illinois,Richland County,0,0,0
Illinois,Rock Island County,1209,909,300
Illinois,St. Clair County,708,421,287
Illinois,Saline County,0,0,0
Illinois,Sangamon County,0,0,0
Illinois,Schuyler County,0,0,0
Illinois,Scott County,0,0,0
Illinois,Shelby County,0,0,0
Illinois,Stark County,0,0,0
Illinois,Stephenson County,0,0,0
Illinois,Tazewell County,1830,1200,630
Illinois,Union County,0,0,0
Illinois,Vermilion County,1917,1513,404
Illinois,Wabash County,0,0,0
Illinois,Warren County,0,0,0
Illinois,Washington County,0,0,0
Illinois,Wayne County,0,0,0
Illinois,White County,0,0,0
Illinois,Whiteside County,0,0,0
Illinois,Will County,3197,2662,535
Illinois,Williamson County,1030,569,461
Illinois,Winnebago County,0,0,0
Illinois,Woodford County,0,0,0
