State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
IL,Adams County,19350,22100,24900,27650,29850,32050,34300,36500,11600,13300,14950,16600,17950,19250,20600,21900,31000,35400,39850,44250,47800,51350,54850,58400
IL,Alexander County,18250,20900,23500,26100,28200,30300,32350,34450,10950,12500,14100,15650,16900,18150,19400,20650,29250,33400,37600,41750,45100,48450,51750,55100
IL,Bond County,19450,22250,25000,27800,30000,32250,34450,36700,11700,13350,15050,16700,18050,19350,20700,22050,31150,35600,40050,44500,48050,51600,55200,58750
IL,Boone County,22250,25450,28600,31800,34350,36900,39450,42000,13350,15300,17200,19100,20650,22150,23700,25200,35650,40700,45800,50900,54950,59050,63100,67200
IL,Brown County,18400,21050,23650,26300,28400,30500,32600,34700,11050,12650,14200,15800,17050,18350,19600,20850,29450,33700,37900,42100,45450,48850,52200,55550
IL,Bureau County,20500,23450,26350,29300,31650,34000,36350,38700,12300,14100,15850,17600,19000,20400,21800,23250,32850,37500,42200,46900,50650,54400,58150,61900
IL,Calhoun County,23050,26350,29650,32950,35600,38200,40850,43500,13850,15800,17800,19750,21350,22950,24500,26100,36900,42200,47450,52700,56950,61150,65350,69600
IL,Carroll County,19650,22450,25250,28050,30300,32550,34800,37050,11800,13500,15150,16850,18200,19550,20900,22250,31450,35900,40400,44900,48500,52100,55700,59250
IL,Cass County,18250,20900,23500,26100,28200,30300,32350,34450,10950,12500,14100,15650,16900,18150,19400,20650,29250,33400,37600,41750,45100,48450,51750,55100
IL,Champaign County,21900,25050,28150,31300,33800,36300,38800,41300,13150,15050,16900,18800,20300,21800,23300,24800,35050,40100,45100,50100,54100,58100,62100,66150
IL,Christian County,18400,21000,23650,26250,28350,30450,32550,34650,11050,12600,14200,15750,17000,18250,19550,20800,29400,33600,37800,42000,45350,48700,52100,55450
IL,Clark County,18250,20900,23500,26100,28200,30300,32350,34450,10950,12500,14100,15650,16900,18150,19400,20650,29250,33400,37600,41750,45100,48450,51750,55100
IL,Clay County,18250,20900,23500,26100,28200,30300,32350,34450,10950,12500,14100,15650,16900,18150,19400,20650,29250,33400,37600,41750,45100,48450,51750,55100
IL,Clinton County,23050,26350,29650,32950,35600,38200,40850,43500,13850,15800,17800,19750,21350,22950,24500,26100,36900,42200,47450,52700,56950,61150,65350,69600
IL,Coles County,19100,21800,24550,27250,29450,31600,33800,35950,11450,13100,14700,16350,17650,18950,20250,21600,30500,34900,39250,43600,47100,50600,54050,57550
IL,Cook County,26400,30150,33950,37700,40700,43750,46750,49750,15850,18100,20350,22600,24450,26250,28050,29850,41700,47700,53650,59600,64350,69150,73900,78650
IL,Crawford County,18250,20900,23500,26100,28200,30300,32350,34450,10950,12500,14100,15650,16900,18150,19400,20650,29250,33400,37600,41750,45100,48450,51750,55100
IL,Cumberland County,18250,20900,23500,26100,28200,30300,32350,34450,10950,12500,14100,15650,16900,18150,19400,20650,29250,33400,37600,41750,45100,48450,51750,55100
IL,DeKalb County,24300,27750,31250,34700,37500,40250,43050,45800,14550,16650,18700,20800,22450,24150,25800,27450,38850,44400,49950,55500,59950,64400,68800,73250
