State code,PUMA,County code,State abbr.,County_Name,allocation factor
18,101,18089,IN,Lake IN,1
18,102,18089,IN,Lake IN,1
18,103,18089,IN,Lake IN,1
18,104,18089,IN,Lake IN,1
18,200,18127,IN,Porter IN,1
18,300,18091,IN,La Porte IN,1
18,401,18141,IN,St. Joseph IN,1
18,402,18141,IN,St. Joseph IN,1
18,501,18039,IN,Elkhart IN,1
18,502,18039,IN,Elkhart IN,1
18,600,18033,IN,De Kalb IN,0.2613
18,600,18087,IN,Lagrange IN,0.2442
18,600,18113,IN,Noble IN,0.2866
18,600,18151,IN,Steuben IN,0.2079
18,700,18049,IN,Fulton IN,0.1986
18,700,18073,IN,Jasper IN,0.3192
18,700,18111,IN,Newton IN,0.1341
18,700,18131,IN,Pulaski IN,0.1214
18,700,18149,IN,Starke IN,0.2267
18,800,18085,IN,Kosciusko IN,0.6351
18,800,18099,IN,Marshall IN,0.3649
18,900,18001,IN,Adams IN,0.2656
18,900,18069,IN,Huntington IN,0.2719
18,900,18179,IN,Wells IN,0.209
18,900,18183,IN,Whitley IN,0.2536
18,1001,18003,IN,Allen IN,1
18,1002,18003,IN,Allen IN,1
18,1003,18003,IN,Allen IN,1
18,1100,18007,IN,Benton IN,0.0698
18,1100,18015,IN,Carroll IN,0.1627
18,1100,18023,IN,Clinton IN,0.2659
18,1100,18107,IN,Montgomery IN,0.3039
18,1100,18181,IN,White IN,0.1978
18,1200,18157,IN,Tippecanoe IN,1
18,1300,18017,IN,Cass IN,0.2767
18,1300,18067,IN,Howard IN,0.6111
18,1300,18159,IN,Tipton IN,0.1122
18,1400,18053,IN,Grant IN,0.499
18,1400,18103,IN,Miami IN,0.2692
18,1400,18169,IN,Wabash IN,0.2318
18,1500,18009,IN,Blackford IN,0.1143
18,1500,18065,IN,Henry IN,0.4614
18,1500,18075,IN,Jay IN,0.1932
18,1500,18135,IN,Randolph IN,0.2311
18,1600,18021,IN,Clay IN,0.255
18,1600,18045,IN,Fountain IN,0.1588
18,1600,18121,IN,Parke IN,0.1556
18,1600,18153,IN,Sullivan IN,0.2006
18,1600,18165,IN,Vermillion IN,0.1487
18,1600,18171,IN,Warren IN,0.0813
18,1700,18167,IN,Vigo IN,1
18,1801,18011,IN,Boone IN,0.4956
18,1801,18057,IN,Hamilton IN,0.5044
18,1901,18057,IN,Hamilton IN,1
18,1902,18057,IN,Hamilton IN,1
18,2000,18095,IN,Madison IN,1
18,2100,18035,IN,Delaware IN,1
18,2200,18013,IN,Brown IN,0.1248
18,2200,18109,IN,Morgan IN,0.579
18,2200,18133,IN,Putnam IN,0.2962
18,2300,18063,IN,Hendricks IN,1
18,2401,18097,IN,Marion IN,1
18,2402,18097,IN,Marion IN,1
18,2403,18097,IN,Marion IN,1
18,2404,18097,IN,Marion IN,1
18,2405,18097,IN,Marion IN,1
18,2406,18097,IN,Marion IN,1
18,2407,18097,IN,Marion IN,1
18,2500,18081,IN,Johnson IN,1
18,2600,18059,IN,Hancock IN,0.6393
18,2600,18145,IN,Shelby IN,0.3607
18,2700,18041,IN,Fayette IN,0.2056
18,2700,18139,IN,Rush IN,0.1472
18,2700,18161,IN,Union IN,0.0623
18,2700,18177,IN,Wayne IN,0.5849
18,2800,18027,IN,Daviess IN,0.2084
18,2800,18055,IN,Greene IN,0.1923
18,2800,18093,IN,Lawrence IN,0.281
18,2800,18101,IN,Martin IN,0.0613
18,2800,18117,IN,Orange IN,0.124
18,2800,18119,IN,Owen IN,0.1331
18,2900,18105,IN,Monroe IN,1
18,3000,18005,IN,Bartholomew IN,0.6391
18,3000,18071,IN,Jackson IN,0.3609
18,3100,18031,IN,Decatur IN,0.2372
18,3100,18077,IN,Jefferson IN,0.297
18,3100,18079,IN,Jennings IN,0.2474
18,3100,18143,IN,Scott IN,0.2185
18,3200,18029,IN,Dearborn IN,0.429
18,3200,18047,IN,Franklin IN,0.1929
18,3200,18115,IN,Ohio IN,0.0503
18,3200,18137,IN,Ripley IN,0.2454
18,3200,18155,IN,Switzerland IN,0.0824
18,3300,18051,IN,Gibson IN,0.2703
18,3300,18129,IN,Posey IN,0.2065
18,3300,18173,IN,Warrick IN,0.5232
18,3400,18163,IN,Vanderburgh IN,1
18,3500,18025,IN,Crawford IN,0.0743
18,3500,18037,IN,Dubois IN,0.308
18,3500,18083,IN,Knox IN,0.2561
18,3500,18123,IN,Perry IN,0.1353
18,3500,18125,IN,Pike IN,0.0865
18,3500,18147,IN,Spencer IN,0.1398
18,3600,18043,IN,Floyd IN,0.5426
18,3600,18061,IN,Harrison IN,0.2674
18,3600,18175,IN,Washington IN,0.19
18,3700,18019,IN,Clark IN,1
