Name,Subsidized units available,% Minority,%White Non-Hispanic
Tipton County,11,0,0
Switzerland County,10,0,0
Starke County,5,0,0
Pulaski County,8,0,0
Newton County,4,0,0
LaGrange County,7,0,0
Warren County,34,0,100
Wabash County,26,0,100
Steuben County,14,0,100
Owen County,36,0,100
Ohio County,20,0,100
Martin County,57,0,100
Lawrence County,229,0,100
Greene County,301,0,100
Franklin County,19,0,100
Perry County,234,1,99
Washington County,115,2,98
Scott County,185,2,98
Morgan County,143,2,98
Jennings County,64,2,98
Jay County,74,2,98
Daviess County,209,2,98
Ripley County,38,3,97
Parke County,135,3,97
Fayette County,259,3,97
De Kalb County,38,3,97
Carroll County,42,3,97
Blackford County,37,3,97
Spencer County,27,4,96
Pike County,29,4,96
Gibson County,90,4,96
Fulton County,98,4,96
Brown County,84,4,96
Benton County,27,4,96
Vermillion County,49,5,95
Putnam County,188,5,95
Jackson County,172,5,95
Huntington County,133,5,95
Harrison County,45,5,95
Dearborn County,176,5,95
Clay County,122,5,95
Union County,21,6,94
Kosciusko County,325,6,94
Knox County,538,6,94
Henry County,323,6,94
Dubois County,62,6,94
White County,64,7,93
Orange County,90,7,93
Montgomery County,501,7,93
Fountain County,33,7,93
Decatur County,183,7,93
Shelby County,206,8,92
Rush County,31,8,92
Sullivan County,38,9,91
Randolph County,223,9,91
Posey County,206,9,91
Hancock County,153,9,91
Clinton County,77,9,91
Cass County,314,9,91
Whitley County,34,10,90
Wells County,49,10,90
Jefferson County,134,10,90
Noble County,45,11,89
Jasper County,39,12,88
Boone County,69,12,88
Adams County,167,12,88
Warrick County,108,14,86
Marshall County,88,14,86
Crawford County,26,14,86
Bartholomew County,711,15,85
Miami County,234,17,83
Monroe County,1770,22,78
Vigo County,957,25,75
Johnson County,427,32,68
Floyd County,758,32,68
Tippecanoe County,1398,34,66
Wayne County,378,35,65
Hamilton County,327,38,62
Hendricks County,137,42,58
Howard County,817,45,55
Clark County,614,45,55
Grant County,499,50,50
Madison County,1720,51,49
Delaware County,1144,53,47
Vanderburgh County,2853,57,43
Elkhart County,993,63,37
Porter County,435,64,36
St. Joseph County,2834,82,18
Allen County,3458,82,18
La Porte County,388,83,17
Marion County,9009,88,12
Lake County,4973,95,5
