sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Adams County,18001,-1,-1,382,-1,5,22,2.0,779,223,392,10.1,5.0,21,38,26,12,3,21,6,65,20,100,79,10,32,69,35,40,26,20,12,46,16,26,5,7,1,0,1,5,10,44,76,73,38,44,18,14,6,7,63,-1,-1,-1,-1,-1,IN,-1,-1,adams in,93,7,93,0,0
9,1,All HUD,-1,Allen County,18003,-1,-1,4948,-1,6,24,2.2,11089,215,395,10.8,4.8,28,35,19,9,9,25,14,50,19,96,81,9,40,79,46,33,39,17,14,53,15,19,2,60,55,0,1,3,22,57,74,29,40,29,31,10,37,16,50,-1,-1,-1,-1,-1,IN,-1,-1,allen in,40,60,40,0,0
9,1,All HUD,-1,Bartholomew County,18005,-1,-1,1277,-1,5,23,1.8,2313,267,363,11.6,6.4,12,39,27,13,9,23,2,70,24,97,72,8,27,77,31,48,27,25,9,43,17,31,4,7,5,0,1,1,24,54,84,36,53,28,19,9,10,9,47,-1,-1,-1,-1,-1,IN,-1,-1,bartholomew in,93,7,93,0,0
9,1,All HUD,-1,Benton County,18007,-1,-1,14,-1,4,14,1.1,15,229,282,11.0,10.2,0,64,14,14,7,0,0,100,26,100,71,0,0,79,0,100,40,53,0,14,14,71,0,7,7,0,0,0,59,43,86,40,50,50,0,43,2,3,42,-1,-1,-1,-1,-1,IN,-1,-1,benton in,93,7,93,0,0
9,1,All HUD,-1,Blackford County,18009,-1,-1,154,-1,5,26,1.6,250,194,379,9.0,5.5,22,40,26,10,2,16,5,79,22,99,75,2,29,87,31,28,14,14,19,31,8,43,7,3,2,0,0,1,9,44,93,51,59,39,2,5,3,9,69,-1,-1,-1,-1,-1,IN,-1,-1,blackford in,97,3,97,0,0
9,1,All HUD,-1,Boone County,18011,-1,-1,298,-1,5,20,1.3,386,250,399,11.3,8.7,9,39,35,12,6,8,3,87,23,99,79,2,9,75,10,71,21,34,1,18,22,59,7,9,5,0,3,1,12,58,97,48,81,15,4,6,3,7,65,-1,-1,-1,-1,-1,IN,-1,-1,boone in,91,9,91,0,0
9,1,All HUD,-1,Brown County,18013,-1,-1,32,-1,5,6,2.6,83,278,488,11.3,4.4,9,38,25,22,6,19,9,72,20,100,91,22,38,81,59,55,67,35,3,75,13,9,3,9,0,6,0,3,48,63,88,-2,25,34,41,19,3,9,70,-1,-1,-1,-1,-1,IN,-1,-1,brown in,91,9,91,0,0
9,1,All HUD,-1,Carroll County,18015,-1,-1,20,-1,6,25,1.4,28,257,252,10.2,7.2,5,55,30,5,5,25,0,70,22,100,85,10,10,50,15,88,67,64,0,65,20,15,0,0,0,0,0,0,8,43,40,0,60,35,5,15,6,7,67,-1,-1,-1,-1,-1,IN,-1,-1,carroll in,100,0,100,0,0
9,1,All HUD,-1,Cass County,18017,-1,-1,593,-1,6,20,1.7,1029,221,330,10.6,6.2,17,36,28,14,5,19,9,68,25,96,66,6,24,75,28,46,26,25,13,37,13,37,9,8,4,1,0,2,18,48,76,34,60,24,15,8,11,8,61,-1,-1,-1,-1,-1,IN,-1,-1,cass in,92,8,92,0,0
9,1,All HUD,-1,Clark County,18019,-1,-1,2044,-1,5,25,1.8,3613,233,374,11.2,6.4,12,42,27,11,8,21,5,72,24,96,74,6,26,76,30,50,37,28,9,40,18,33,3,20,18,0,0,1,6,58,62,27,57,26,17,8,17,13,48,-1,-1,-1,-1,-1,IN,-1,-1,clark in,80,20,80,0,0
