sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Adams County,18001,-1,-1,396.0,-1.0,5.0,21.0,2.1,819.0,224.0,408.0,10.5,5.2,21.0,34.0,26.0,14.0,4.0,20.0,4.0,67.0,21.0,99.0,77.0,10.0,31.0,68.0,35.0,39.0,29.0,19.0,9.0,47.0,16.0,28.0,4.0,6.0,1.0,1.0,0.0,5.0,6.0,49.0,76.0,68.0,40.0,41.0,19.0,11.0,6,7,63,-1,-1,-1,-1,-1,IN,-1,-1,adams in,94.0,6.0,94.0,0,0
9,1,All HUD,-1,Allen County,18003,-1,-1,5371.0,-1.0,5.0,24.0,2.3,12190.0,224.0,409.0,11.1,4.8,27.0,33.0,20.0,11.0,9.0,27.0,14.0,48.0,20.0,96.0,80.0,9.0,41.0,80.0,47.0,31.0,40.0,16.0,15.0,53.0,15.0,17.0,2.0,62.0,57.0,0.0,2.0,4.0,16.0,57.0,76.0,29.0,37.0,30.0,33.0,12.0,37,16,50,-1,-1,-1,-1,-1,IN,-1,-1,allen in,38.0,62.0,38.0,0,0
9,1,All HUD,-1,Bartholomew County,18005,-1,-1,1326.0,-1.0,5.0,20.0,1.8,2401.0,270.0,383.0,11.7,6.5,13.0,37.0,27.0,14.0,8.0,22.0,2.0,71.0,23.0,98.0,74.0,9.0,26.0,78.0,32.0,48.0,28.0,25.0,8.0,43.0,18.0,32.0,5.0,7.0,5.0,0.0,1.0,1.0,33.0,58.0,83.0,40.0,53.0,29.0,19.0,10.0,10,10,50,-1,-1,-1,-1,-1,IN,-1,-1,bartholomew in,93.0,7.0,93.0,0,0
9,1,All HUD,-1,Benton County,18007,-1,-1,16.0,-1.0,4.0,19.0,1.6,25.0,213.0,385.0,11.0,7.0,6.0,44.0,31.0,13.0,6.0,6.0,13.0,81.0,25.0,100.0,75.0,6.0,13.0,75.0,13.0,71.0,44.0,36.0,0.0,31.0,13.0,56.0,0.0,13.0,13.0,0.0,0.0,0.0,29.0,46.0,88.0,40.0,38.0,50.0,13.0,38.0,4,5,73,-1,-1,-1,-1,-1,IN,-1,-1,benton in,87.0,13.0,87.0,0,0
9,1,All HUD,-1,Blackford County,18009,-1,-1,148.0,-1.0,5.0,22.0,1.7,250.0,192.0,387.0,9.1,5.4,22.0,41.0,26.0,9.0,1.0,15.0,7.0,76.0,22.0,97.0,74.0,3.0,31.0,86.0,34.0,31.0,13.0,14.0,21.0,26.0,12.0,41.0,8.0,1.0,0.0,0.0,0.0,1.0,-2.0,50.0,93.0,49.0,61.0,36.0,3.0,2.0,3,9,69,-1,-1,-1,-1,-1,IN,-1,-1,blackford in,99.0,1.0,99.0,0,0
9,1,All HUD,-1,Boone County,18011,-1,-1,288.0,-1.0,5.0,14.0,1.4,393.0,243.0,423.0,11.3,8.3,10.0,38.0,32.0,15.0,6.0,6.0,3.0,89.0,23.0,100.0,77.0,3.0,9.0,76.0,11.0,67.0,21.0,31.0,3.0,18.0,20.0,59.0,8.0,9.0,5.0,0.0,4.0,1.0,9.0,63.0,98.0,47.0,79.0,17.0,4.0,5.0,3,7,65,-1,-1,-1,-1,-1,IN,-1,-1,boone in,91.0,9.0,91.0,0,0
9,1,All HUD,-1,Brown County,18013,-1,-1,29.0,-1.0,4.0,3.0,2.7,79.0,299.0,535.0,12.1,4.4,0.0,41.0,24.0,31.0,3.0,24.0,3.0,72.0,22.0,100.0,79.0,24.0,38.0,79.0,62.0,50.0,67.0,32.0,3.0,69.0,17.0,10.0,3.0,10.0,0.0,7.0,0.0,3.0,21.0,83.0,86.0,-2.0,14.0,48.0,38.0,24.0,2,7,62,-1,-1,-1,-1,-1,IN,-1,-1,brown in,90.0,10.0,90.0,0,0
9,1,All HUD,-1,Carroll County,18015,-1,-1,18.0,-1.0,5.0,17.0,1.4,25.0,304.0,238.0,13.4,9.5,6.0,44.0,17.0,17.0,17.0,22.0,0.0,72.0,28.0,94.0,61.0,0.0,17.0,50.0,17.0,86.0,75.0,64.0,0.0,61.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0,39.0,0.0,56.0,39.0,6.0,22.0,6,7,67,-1,-1,-1,-1,-1,IN,-1,-1,carroll in,100.0,0.0,100.0,0,0
9,1,All HUD,-1,Cass County,18017,-1,-1,619.0,-1.0,5.0,27.0,1.7,1054.0,237.0,342.0,11.0,6.5,17.0,33.0,30.0,15.0,5.0,18.0,6.0,71.0,25.0,95.0,65.0,6.0,22.0,73.0,26.0,45.0,29.0,26.0,11.0,37.0,16.0,36.0,7.0,8.0,4.0,1.0,0.0,3.0,20.0,50.0,74.0,35.0,60.0,25.0,15.0,8.0,11,8,61,-1,-1,-1,-1,-1,IN,-1,-1,cass in,92.0,8.0,92.0,0,0
9,1,All HUD,-1,Clark County,18019,-1,-1,1994.0,-1.0,6.0,21.0,1.8,3493.0,234.0,392.0,11.7,6.7,12.0,40.0,27.0,12.0,9.0,21.0,5.0,71.0,25.0,95.0,73.0,6.0,26.0,75.0,29.0,50.0,39.0,28.0,8.0,39.0,19.0,34.0,3.0,21.0,19.0,0.0,0.0,2.0,7.0,62.0,61.0,27.0,57.0,25.0,17.0,9.0,17,13,46,-1,-1,-1,-1,-1,IN,-1,-1,clark in,79.0,21.0,79.0,0,0
9,1,All HUD,-1,Clay County,18021,-1,-1,335.0,-1.0,5.0,30.0,1.8,596.0,223.0,309.0,10.6,6.0,16.0,40.0,26.0,12.0,7.0,21.0,13.0,64.0,26.0,94.0,70.0,6.0,25.0,73.0,28.0,42.0,38.0,25.0,5.0,34.0,21.0,39.0,7.0,2.0,0.0,1.0,0.0,1.0,5.0,49.0,39.0,-2.0,65.0,21.0,14.0,1.0,3,12,57,-1,-1,-1,-1,-1,IN,-1,-1,clay in,98.0,2.0,98.0,0,0
9,1,All HUD,-1,Clinton County,18023,-1,-1,206.0,-1.0,6.0,14.0,1.6,322.0,266.0,369.0,12.0,7.7,6.0,35.0,33.0,17.0,9.0,7.0,8.0,85.0,27.0,95.0,66.0,6.0,14.0,81.0,19.0,67.0,21.0,30.0,0.0,29.0,16.0,55.0,10.0,2.0,0.0,0.0,0.0,2.0,7.0,63.0,93.0,48.0,70.0,22.0,8.0,7.0,7,9,68,-1,-1,-1,-1,-1,IN,-1,-1,clinton in,98.0,2.0,98.0,0,0
9,1,All HUD,-1,Crawford County,18025,-1,-1,119.0,-1.0,5.0,15.0,1.5,184.0,228.0,448.0,10.3,6.7,8.0,41.0,39.0,9.0,3.0,6.0,5.0,88.0,26.0,98.0,67.0,6.0,13.0,78.0,17.0,70.0,15.0,29.0,4.0,26.0,18.0,52.0,13.0,3.0,2.0,1.0,0.0,0.0,15.0,62.0,98.0,89.0,71.0,18.0,12.0,7.0,1,18,59,-1,-1,-1,-1,-1,IN,-1,-1,crawford in,97.0,3.0,97.0,0,0
9,1,All HUD,-1,Daviess County,18027,-1,-1,552.0,-1.0,5.0,26.0,1.8,987.0,216.0,331.0,10.5,5.9,21.0,34.0,23.0,14.0,7.0,18.0,6.0,73.0,25.0,94.0,66.0,8.0,28.0,78.0,33.0,37.0,13.0,17.0,12.0,37.0,16.0,36.0,6.0,2.0,1.0,0.0,0.0,1.0,7.0,44.0,49.0,35.0,58.0,25.0,17.0,5.0,5,13,58,-1,-1,-1,-1,-1,IN,-1,-1,daviess in,98.0,2.0,98.0,0,0
9,1,All HUD,-1,Dearborn County,18029,-1,-1,305.0,-1.0,5.0,16.0,1.8,553.0,220.0,463.0,11.7,6.7,21.0,34.0,26.0,10.0,10.0,11.0,6.0,74.0,21.0,96.0,80.0,9.0,24.0,78.0,31.0,45.0,29.0,23.0,13.0,32.0,12.0,42.0,8.0,3.0,3.0,0.0,0.0,0.0,27.0,66.0,79.0,46.0,56.0,30.0,14.0,9.0,4,10,55,-1,-1,-1,-1,-1,IN,-1,-1,dearborn in,97.0,3.0,97.0,0,0
9,1,All HUD,-1,Decatur County,18031,-1,-1,309.0,-1.0,6.0,15.0,1.4,446.0,265.0,322.0,11.6,8.1,7.0,39.0,35.0,13.0,6.0,8.0,1.0,87.0,28.0,95.0,61.0,5.0,10.0,72.0,13.0,65.0,14.0,28.0,3.0,29.0,14.0,54.0,7.0,1.0,0.0,0.0,0.0,1.0,23.0,54.0,61.0,24.0,69.0,20.0,11.0,13.0,4,12,60,-1,-1,-1,-1,-1,IN,-1,-1,decatur in,99.0,1.0,99.0,0,0
9,1,All HUD,-1,Dekalb County,18033,-1,-1,97.0,-1.0,6.0,6.0,1.3,130.0,277.0,308.0,12.5,9.4,5.0,27.0,36.0,27.0,5.0,3.0,1.0,96.0,29.0,98.0,57.0,4.0,11.0,86.0,14.0,57.0,12.0,19.0,0.0,20.0,4.0,76.0,21.0,2.0,0.0,0.0,0.0,2.0,-2.0,82.0,29.0,0.0,72.0,22.0,6.0,12.0,3,3,73,-1,-1,-1,-1,-1,IN,-1,-1,dekalb in,98.0,2.0,98.0,0,0
9,1,All HUD,-1,Delaware County,18035,-1,-1,2011.0,-1.0,5.0,23.0,2.1,4123.0,208.0,453.0,9.5,4.6,24.0,40.0,22.0,9.0,5.0,24.0,10.0,60.0,21.0,98.0,78.0,9.0,37.0,81.0,44.0,34.0,33.0,18.0,13.0,49.0,16.0,21.0,3.0,30.0,29.0,0.0,0.0,1.0,14.0,53.0,84.0,58.0,36.0,35.0,29.0,17.0,26,20,53,-1,-1,-1,-1,-1,IN,-1,-1,delaware in,70.0,30.0,70.0,0,0
9,1,All HUD,-1,Dubois County,18037,-1,-1,304.0,-1.0,6.0,20.0,1.3,384.0,222.0,322.0,11.2,8.9,7.0,42.0,35.0,12.0,4.0,11.0,1.0,86.0,25.0,98.0,73.0,2.0,8.0,71.0,9.0,78.0,9.0,34.0,4.0,24.0,21.0,51.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,56.0,55.0,23.0,89.0,7.0,4.0,1.0,5,7,65,-1,-1,-1,-1,-1,IN,-1,-1,dubois in,100.0,0.0,100.0,0,0
