gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,IN Indiana,IN Adams County 18001,9,Summary of All HUD Programs,1,A,Adams County,18001,327.0,90,308,97,5.84771907726204,18,2.05869668025635,755.00549430814,247.655594640395,439.082068609893,10618.0518561006,5157.65724884663,19,31,28,14,8,23,3,74,24,97,72,9,34,75,38,40,35,21,10,44,20,26,2,6,2,1,0,5,4.75,57.5765426427049,75,137.946406823733,42,35,23,13,16,8,73,A,A,A,-1,-1,IN,-1,A,adams in,94,6,94,0,0
County,IN Indiana,IN Adams County 18001,9,Public Housing,2,A,Adams County,18001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,adams in,-1,-1,-1,0,0
County,IN Indiana,IN Adams County 18001,9,Housing Choice Vouchers,3,A,Adams County,18001,194.0,91,185,100,5.24327786637175,16,1.93983492852301,343.128445127812,292.803420418866,342.606028405459,12263.911155252,6322.14162912809,10,31,29,21,9,31,3,66,28,95,63,6,33,75,35,43,42,25,4,45,23,28,2,10,1,0,0,9,4.75,72.8075908819326,87,165.045085163386,32,47,22,25,16,9,73,A,A,A,-1,-1,IN,-1,A,adams in,90,10,90,0,0
County,IN Indiana,IN Adams County 18001,9,Mod Rehab,4,A,Adams County,18001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,adams in,-1,-1,-1,0,0
County,IN Indiana,IN Adams County 18001,9,Section 8 NC/SR,5,A,Adams County,18001,133.0,89,123,92,6.41087140216487,20,2.16943908270117,411.877049180328,205.591780007369,526.503237133765,9084.61986291346,4187.54319277875,28,32,28,6,7,16,2,82,20,98,80,11,35,75,41,38,26,17,15,42,18,24,1,3,2,1,1,2,-1.0,43.3859148825731,64,103.667540198829,51,24,25,2,17,8,74,A,A,A,-1,-1,IN,-1,A,adams in,97,3,97,0,0
County,IN Indiana,IN Adams County 18001,9,Section 236,6,A,Adams County,18001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,adams in,-1,-1,-1,0,0
County,IN Indiana,IN Adams County 18001,9,Multi-Family Other,7,A,Adams County,18001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,adams in,-1,-1,-1,0,0
County,IN Indiana,IN Adams County 18001,9,LIHTC,8,A,Adams County,18001,235.0,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,adams in,-1,-1,-1,0,0
County,IN Indiana,IN Allen County 18003,9,Summary of All HUD Programs,1,A,Allen County,18003,5745.0,94,5012,99,5.13500194024396,11,2.18511796012758,11492.0340121037,234.549556105943,464.551197197872,9472.25006268399,4334.8918619162,29,31,21,11,8,22,14,61,19,98,80,3,44,78,44,34,47,19,9,55,18,18,2,68,64,1,2,3,36.4761026162854,66.0714344202808,79,111.515761744283,39,27,34,16,24,48,61,A,A,A,-1,-1,IN,-1,A,allen in,32,68,32,0,0
County,IN Indiana,IN Allen County 18003,9,Housing Choice Vouchers,3,A,Allen County,18003,3127.0,92,2912,100,4.65327543329335,9,2.60983840950494,7530.15597848825,263.693079636721,501.435894038461,10057.9622017931,3853.86396535601,29,28,20,12,11,28,23,45,19,97,79,2,60,88,60,25,73,15,6,69,16,9,0,81,76,1,1,4,38.1482669105819,72.0586868339015,95,139.098998475526,13,36,51,27,24,50,68,A,A,A,-1,-1,IN,-1,A,allen in,19,81,19,0,0
County,IN Indiana,IN Allen County 18003,9,Public Housing,2,A,Allen County,18003,747.0,96,720,100,5.34643221202852,13,2.10555555555556,1516.0,203.2875,361.0,8978.51111111111,4264.20052770449,31,34,18,9,7,21,10,68,19,97,82,7,31,67,32,43,71,25,8,45,26,20,1,68,56,1,8,4,31.7630036630037,54.7350462962963,56,72.6625,57,13,30,6,20,39,64,A,A,A,-1,-1,IN,-1,A,allen in,32,68,32,0,0
County,IN Indiana,IN Allen County 18003,9,Mod Rehab,4,A,Allen County,18003,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,allen in,-1,-1,-1,0,0
County,IN Indiana,IN Allen County 18003,9,Section 8 NC/SR,5,A,Allen County,18003,936.0,97,902,96,6.13626522474077,15,1.35040743104705,1314.25695103296,212.653985764499,458.784873982012,9487.49540015998,7025.6540226558,23,36,25,13,3,9,0,91,21,99,76,1,16,68,16,52,22,30,12,28,19,42,7,38,35,1,1,4,-1.0,66.5138670465677,65,57.0966141866747,84,11,5,1,29,39,38,A,A,A,-1,-1,IN,-1,A,allen in,62,38,62,0,0
County,IN Indiana,IN Allen County 18003,9,Section 236,6,A,Allen County,18003,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,allen in,-1,-1,-1,0,0
County,IN Indiana,IN Allen County 18003,9,Multi-Family Other,7,A,Allen County,18003,935.0,96,478,97,5.19517624844699,16,1.66243147254026,1131.62108258243,175.771645610539,428.39614079793,7490.03580699481,4505.47040928536,36,35,18,7,3,18,2,80,16,99,86,2,30,65,30,50,46,30,18,46,19,17,1,60,58,0,1,1,-1.0,52.0515279685415,55,42.9001435722358,66,25,9,2,26,57,57,A,A,A,-1,-1,IN,-1,A,allen in,40,60,40,0,0
County,IN Indiana,IN Allen County 18003,9,LIHTC,8,A,Allen County,18003,2771.0,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,allen in,-1,-1,-1,0,0
County,IN Indiana,IN Bartholomew County 18005,9,Summary of All HUD Programs,1,A,Bartholomew County,18005,1565.0,94,1198,96,5.35530294722055,12,1.7061135721298,2193.06658583998,305.154402094267,382.395587298911,12538.8304621658,7349.35274356512,9,34,29,17,12,16,2,80,25,96,70,4,24,83,26,60,36,33,5,40,20,35,5,9,5,1,1,1,34.7415970725018,68.0124363901084,81,120.033777077625,54,27,19,15,13,14,66,A,A,A,-1,-1,IN,-1,A,bartholomew in,91,9,91,0,0
County,IN Indiana,IN Bartholomew County 18005,9,Housing Choice Vouchers,3,A,Bartholomew County,18005,663.0,95,603,95,4.81836152139193,8,1.7014254702242,1076.00959010483,346.28280639387,366.840707042752,12525.3337903444,7361.67055774353,5,37,31,16,11,16,4,77,25,98,73,5,21,85,24,70,74,47,2,45,27,26,1,11,8,1,1,1,24.8421768707483,70.5006211425661,93,134.571276539413,45,32,23,27,14,15,66,A,A,A,-1,-1,IN,-1,A,bartholomew in,89,11,89,0,0
County,IN Indiana,IN Bartholomew County 18005,9,Public Housing,2,A,Bartholomew County,18005,157.0,97,149,98,5.10894854586132,11,2.59731543624162,394.791946308725,278.610738255035,330.000000000002,13580.6711409396,5228.7338501292,16,32,19,12,20,35,0,65,24,92,71,6,57,87,56,37,44,17,1,72,15,12,0,10,7,1,1,2,65.90625,63.4422818791948,84,151.536,21,34,46,10,11,11,82,A,A,A,-1,-1,IN,-1,A,bartholomew in,90,10,90,0,0
County,IN Indiana,IN Bartholomew County 18005,9,Mod Rehab,4,A,Bartholomew County,18005,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,bartholomew in,-1,-1,-1,0,0
County,IN Indiana,IN Bartholomew County 18005,9,Section 8 NC/SR,5,A,Bartholomew County,18005,395.0,93,256,96,6.25428259345444,15,1.16146413697113,312.433852845233,282.583578447555,462.75836431227,13549.4210363919,11665.8109407718,5,27,33,21,15,6,0,94,29,94,58,1,7,80,8,67,10,22,5,13,10,72,15,3,2,0,1,0,-1.0,70.1007308737925,100,81.149508671182,88,10,2,3,8,12,57,A,A,A,-1,-1,IN,-1,A,bartholomew in,97,3,97,0,0
County,IN Indiana,IN Bartholomew County 18005,9,Section 236,6,A,Bartholomew County,18005,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,bartholomew in,-1,-1,-1,0,0
County,IN Indiana,IN Bartholomew County 18005,9,Multi-Family Other,7,A,Bartholomew County,18005,350.0,89,190,94,5.93802267536104,20,1.76651377836723,409.831196581197,237.159982408635,364.258620689656,10721.2738703765,6069.17081636696,17,35,23,18,7,17,1,82,22,97,76,6,29,77,33,43,18,20,17,33,17,33,5,7,2,4,0,3,-1.0,61.8027083947343,26,85.432718579235,60,28,11,1,18,16,64,A,A,A,-1,-1,IN,-1,A,bartholomew in,93,7,93,0,0
County,IN Indiana,IN Bartholomew County 18005,9,LIHTC,8,A,Bartholomew County,18005,691.0,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,bartholomew in,-1,-1,-1,0,0
County,IN Indiana,IN Benton County 18007,9,Summary of All HUD Programs,1,A,Benton County,18007,33.0,87,27,94,3.89423485023829,7,1.75074664740674,51.8861983471074,288.907772662248,458.790567842433,11635.7676093061,6646.17443451419,7,39,32,14,7,11,7,82,24,100,75,4,29,79,21,80,62,43,0,39,14,46,14,14,11,0,0,4,6.68333333333333,62.5238094308563,97,206.407407407408,43,36,21,29,10,5,86,A,A,A,-1,-1,IN,-1,A,benton in,86,14,86,0,0
County,IN Indiana,IN Benton County 18007,9,Housing Choice Vouchers,3,A,Benton County,18007,33.0,87,27,94,3.81481481481482,7,1.77777777777778,50.8561983471074,290.740740740741,460.25925925926,11606.6666666667,6528.75,7,41,30,15,7,11,7,81,24,100,74,4,30,78,22,80,67,44,0,41,15,44,11,11,7,0,0,4,6.68333333333333,62.179012345679,100,206.407407407408,41,37,22,30,10,5,86,A,A,A,-1,-1,IN,-1,A,benton in,89,11,89,0,0
County,IN Indiana,IN Benton County 18007,9,Public Housing,2,A,Benton County,18007,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,benton in,-1,-1,-1,0,0
County,IN Indiana,IN Benton County 18007,9,Mod Rehab,4,A,Benton County,18007,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,benton in,-1,-1,-1,0,0
County,IN Indiana,IN Benton County 18007,9,Section 8 NC/SR,5,A,Benton County,18007,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,benton in,-1,-1,-1,0,0
County,IN Indiana,IN Benton County 18007,9,Section 236,6,A,Benton County,18007,,-1,-1,-1,6.1,0,1.0,1.03,238.0,418.0,12444.0,12444.0,0,0,100,0,0,0,0,100,28,100,100,0,0,100,0,-1,0,0,0,0,0,100,100,100,100,0,0,0,-1.0,72.1,0,-1.0,100,0,0,0,7,3,89,A,A,A,-1,-1,IN,-1,A,benton in,0,100,0,0,0
County,IN Indiana,IN Benton County 18007,9,Multi-Family Other,7,A,Benton County,18007,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,benton in,-1,-1,-1,0,0
County,IN Indiana,IN Benton County 18007,9,LIHTC,8,A,Benton County,18007,44.0,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,benton in,-1,-1,-1,0,0
County,IN Indiana,IN Blackford County 18009,9,Summary of All HUD Programs,1,A,Blackford County,18009,155.0,95,149,97,5.46290396875295,17,1.67526349988453,257.411851591349,209.424856881567,434.31054958531,9462.02907739621,5648.08406441636,24,37,22,11,5,12,1,87,24,95,71,9,24,80,30,46,21,24,9,35,21,36,4,2,0,1,1,1,20.4,41.7076258014399,92,65.2678918069181,61,39,0,3,16,3,73,A,A,A,-1,-1,IN,-1,A,blackford in,98,2,98,0,0
County,IN Indiana,IN Blackford County 18009,9,Housing Choice Vouchers,3,A,Blackford County,18009,13.0,87,11,94,4.79393939393939,9,1.18181818181818,13.7735537190083,283.727272727273,254.818181818182,10606.2727272727,8974.53846153846,0,64,18,18,0,0,0,100,28,91,82,0,0,64,0,83,40,62,0,9,45,45,9,0,0,0,0,0,20.4,62.4606060606061,100,121.090909090909,64,36,0,18,14,3,80,A,A,A,-1,-1,IN,-1,A,blackford in,100,0,100,0,0
County,IN Indiana,IN Blackford County 18009,9,Public Housing,2,A,Blackford County,18009,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,blackford in,-1,-1,-1,0,0
County,IN Indiana,IN Blackford County 18009,9,Mod Rehab,4,A,Blackford County,18009,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,blackford in,-1,-1,-1,0,0
County,IN Indiana,IN Blackford County 18009,9,Section 8 NC/SR,5,A,Blackford County,18009,130.0,97,129,99,5.39193126022913,17,1.78183306055647,231.638297872341,203.705400981997,472.676923076923,9405.23453355155,5278.4038761826,29,30,23,12,6,14,2,84,24,95,68,10,28,85,36,36,17,18,10,35,18,37,4,3,0,1,1,1,-1.0,40.481663938898,100,60.2633387888707,57,43,0,2,16,3,72,A,A,A,-1,-1,IN,-1,A,blackford in,97,3,97,0,0
County,IN Indiana,IN Blackford County 18009,9,Section 236,6,A,Blackford County,18009,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,blackford in,-1,-1,-1,0,0
County,IN Indiana,IN Blackford County 18009,9,Multi-Family Other,7,A,Blackford County,18009,12.0,83,9,75,6.88148148148148,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8966.0,-4,-4,-4,-4,-4,-4,-4,-4,24,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,34.8333333333333,-4,-4.0,-4,-4,-4,-4,8,3,75,A,A,A,-1,-1,IN,-1,A,blackford in,100,0,100,0,0
County,IN Indiana,IN Blackford County 18009,9,LIHTC,8,A,Blackford County,18009,111.0,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IN,-1,A,blackford in,-1,-1,-1,0,0
