Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2017-12-31 00:00:00,County,IN Indiana,IN Howard County 18067,9,S236/BMIR,7,,Howard County,18067,161,-5,82,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,IN,,,howard in,-5,-5,0,0
2017-12-31 00:00:00,County,IN Indiana,IN Vigo County 18167,9,202/PRAC,8,,Vigo County,18167,51,95,50,100,6,22,1.2,60,304,266,13553,11294,-1,30,44,16,10,6,-1,94,33,94,44,-1,-1,58,-1,-1,2,2,-1,-1,-1,100,6,22,18,4,-1,58,-1,-1,-1,0,2,-1,51,100,42,100,-1,-1,-1,38,24,44,,,,,,IN,,,vigo in,22,58,20,0
2017-12-31 00:00:00,County,IN Indiana,IN Lake County 18089,9,811/PRAC,9,,Lake County,18089,111,93,102,99,6,14,1.0,103,247,233,10382,10282,1,51,37,11,1,-1,-1,93,23,100,81,-1,-1,53,-1,100,100,100,3,45,38,14,1,23,17,-1,1,61,1,3,1,5,2,-1,62,-1,-1,90,10,-1,10,13,54,52,,,,,,IN,,,lake in,23,61,16,0
2017-12-31 00:00:00,County,IN Indiana,IN Blackford County 18009,9,Project Based Section 8,5,,Blackford County,18009,130,88,115,100,5,26,1.6,186,223,483,10211,6314,19,38,23,14,6,10,1,90,24,96,72,5,27,83,31,35,24,19,10,32,16,43,3,2,1,1,-1,83,-1,-1,-1,0,1,-1,48,100,75,61,39,-1,4,15,3,76,,,,,,IN,,,blackford in,2,83,15,0
2017-12-31 00:00:00,County,IN Indiana,IN Steuben County 18151,9,Project Based Section 8,5,,Steuben County,18151,69,90,66,100,7,26,1.1,71,241,418,10265,9542,9,48,27,13,3,2,-1,95,25,97,74,-1,3,55,2,85,28,59,2,24,36,38,5,6,2,3,-1,80,-1,-1,2,2,3,-1,39,-1,-1,100,-1,-1,-1,15,7,65,,,,,,IN,,,steuben in,6,80,14,0
2017-12-31 00:00:00,County,IN Indiana,IN Huntington County 18069,9,Project Based Section 8,5,,Huntington County,18069,128,89,120,100,6,28,1.6,195,251,630,10937,6730,14,35,28,16,8,21,-1,74,24,97,70,4,25,71,26,59,15,29,10,41,21,28,2,2,1,1,-1,88,-1,-1,-1,0,1,-1,55,100,90,67,26,8,2,12,5,72,,,,,,IN,,,huntington in,2,88,10,0
2017-12-31 00:00:00,County,IN Indiana,IN Madison County 18095,9,Project Based Section 8,5,,Madison County,18095,537,94,530,100,7,22,1.3,697,257,533,11091,8434,7,38,34,15,6,6,-1,89,27,95,64,2,13,72,14,48,18,24,7,18,18,57,6,16,14,0,1,78,-1,1,0,2,1,-1,63,55,99,81,12,7,3,23,18,60,,,,,,IN,,,madison in,16,78,6,0
2017-12-31 00:00:00,County,IN Indiana,IN Decatur County 18031,9,Project Based Section 8,5,,Decatur County,18031,179,93,182,100,7,21,1.0,189,297,360,13696,13189,1,29,31,24,14,-1,-1,99,34,87,43,-1,-1,73,-1,97,14,29,1,4,15,81,11,3,1,1,1,92,-1,-1,1,1,1,-1,70,43,92,100,-1,-1,-1,17,5,71,,,,,,IN,,,decatur in,3,92,5,0
2017-12-31 00:00:00,County,IN Indiana,IN Adams County 18001,9,Summary of All HUD Programs,1,,Adams County,18001,371,83,318,100,5,24,2.0,625,245,449,10487,5336,17,32,23,17,10,20,1,73,23,96,71,7,31,79,35,35,41,22,10,41,18,31,2,10,7,-1,0,90,-1,2,1,3,0,13,62,72,132,44,37,19,15,17,9,70,,,,,,IN,,,adams in,10,90,0,0
2017-12-31 00:00:00,County,IN Indiana,IN Adams County 18001,9,Housing Choice Vouchers,3,,Adams County,18001,189,81,153,100,5,13,1.8,268,263,346,10825,6180,11,33,25,22,9,16,2,72,24,98,67,2,26,76,26,42,42,27,2,39,22,37,3,7,3,-1,-1,93,-1,4,-1,4,0,13,82,84,135,37,50,13,28,16,9,69,,,,,,IN,,,adams in,7,93,0,0
